geo,time,se_ter_cuat_do_fe_zs
alb,2012,0.10887
are,2017,0.46541
are,2018,0.5658
are,2019,0.60918
arm,2011,0.20256
arm,2015,0.23688
arm,2017,0.21008
arm,2020,0.47987
aus,2013,0.80995
aus,2014,0.84598
aus,2015,0.97543
aus,2016,0.8944
aus,2017,0.99741
aus,2018,1.0754
aus,2019,1.21665
aus,2020,1.38123
aut,2014,0.52092
aut,2015,0.51187
aut,2016,0.53339
aut,2017,0.6397
aut,2019,0.81388
bel,2013,0.36516
bel,2014,0.30195
bel,2015,0.38234
bel,2016,0.43075
bel,2017,0.45015
bel,2019,0.42947
bfa,2014,0
bfa,2018,0.00987
bgd,2011,0.04039
bgd,2012,0.04229
bgd,2013,0.05226
bgd,2014,0.05826
bgd,2015,0.10075
bgd,2016,0.10619
bgd,2017,0.11669
bgd,2018,0.12874
bgd,2019,0.13922
bgd,2020,0.17369
bhr,2010,0.14593
bhr,2016,0.18489
bhr,2017,0.18979
bhr,2018,0.19411
bhr,2020,0.21904
bhs,2010,0.39315
bih,2015,0.05256
bih,2016,0.13804
bih,2018,0.17444
bih,2020,0.13165
blr,2009,1.09473
blr,2019,0.26484
bmu,2010,0.64932
bmu,2016,1.17559
bol,2012,0.20538
bol,2015,0.15652
bol,2019,0.11156
bra,2016,0.17207
bra,2017,0.1786
bra,2018,0.2086
brn,2011,0.15337
btn,2012,0.03113
btn,2017,0.11378
can,2016,0.6877
che,2014,1.88708
che,2015,1.86067
che,2016,1.84342
che,2018,2.06025
che,2019,2.137
cod,2016,0.01429
cpv,2015,0.08157
cri,2018,0.307
cri,2020,0.1263
cub,2012,0.38097
cym,2015,0.91529
cyp,2013,0.37128
cyp,2014,0.48656
cyp,2015,0.43204
cyp,2016,0.45507
cyp,2018,0.73989
cyp,2020,0.8503
cze,2014,0.32557
cze,2015,0.44362
cze,2016,0.48445
cze,2017,0.45946
cze,2019,0.45189
deu,2014,0.79496
deu,2015,0.83465
deu,2016,0.84386
deu,2018,0.86777
dnk,2015,0.45121
dnk,2016,0.66927
dnk,2018,0.61213
dnk,2020,0.93458
dom,2016,0
egy,2017,0.23784
esp,2016,0.5594
esp,2018,0.58154
esp,2020,0.74611
est,2020,0.84592
fin,2012,0.80957
fin,2013,0.84879
fin,2014,0.88457
fin,2015,0.9155
fin,2017,0.98894
fin,2019,1.07499
fji,2017,0.04811
fra,2014,0.49268
fra,2015,0.55684
fra,2016,0.61236
fra,2017,0.63697
fra,2019,0.64812
gbr,2013,0.62962
gbr,2014,0.64961
gbr,2017,0.8246
gbr,2020,0.88009
geo,2012,0.13865
geo,2014,0.20802
geo,2016,0.37008
geo,2017,0.54525
geo,2019,0.45951
gin,2014,0.02163
gin,2018,0.02664
grc,2014,0.32591
grc,2015,0.33121
grc,2016,0.34247
grc,2020,0.45442
grl,2012,0.11116
grl,2014,0.09756
grl,2015,0.10928
grl,2018,0.08163
grl,2019,0.08769
gtm,2012,0
gtm,2013,0
gtm,2014,0
gtm,2019,0
hun,2013,0.46771
hun,2014,0.54127
hun,2015,0.69128
hun,2016,0.59417
hun,2020,0.54996
idn,2015,0.02043
idn,2016,0.0279
idn,2018,0.02802
idn,2020,0.02946
irl,2011,0.63296
irl,2017,0.85173
irn,2012,0.18152
irn,2013,0.20168
irn,2014,0.19282
irn,2016,0.29516
isl,2019,1.28269
isl,2020,0.9524
isr,2013,1.03311
isr,2014,1.09616
isr,2015,1.14957
ita,2020,0.37629
jor,2018,0.24267
jor,2020,0.33101
kgz,2009,0.02584
khm,2014,0.00655
khm,2015,0
kor,2010,0.25459
kor,2015,0.38933
lca,2010,0.20272
ltu,2013,0.43531
ltu,2014,0.44292
ltu,2015,0.49396
ltu,2016,0.48828
ltu,2017,0.60546
ltu,2020,0.81793
lva,2013,0.53847
lva,2014,0.49041
lva,2015,0.37989
lva,2016,0.32492
lva,2018,0.95123
mda,2013,0.05376
mda,2014,0.07465
mda,2015,0.20998
mda,2018,0.17393
mda,2019,0.16241
mdg,2018,0.23434
mex,2010,0.09891
mex,2013,0.05535
mex,2014,0.04421
mex,2015,0.16699
mex,2016,0.05435
mex,2017,0.05501
mex,2018,0.05797
mex,2020,0.25796
mhl,2011,0.06283
mkd,2020,0.21789
mli,2015,0.10172
mli,2016,0.01746
mli,2018,0.00981
mli,2020,0.01443
mlt,2013,0.2143
mlt,2014,0.10327
mlt,2015,0.15691
mlt,2016,0.14511
mlt,2018,0.266
mlt,2020,0.37478
mmr,2019,0.0537
mng,2010,0.21194
mng,2020,0.19535
moz,2017,0.02148
mrt,2013,0.06254
mys,2016,0.21448
mys,2019,0.25817
ner,2012,0.12995
nld,2013,0.31836
