geo,time,sh_uhc_oopc_10_zs
afg,2007,4.83753
afg,2013,14.63133
afg,2016,23.84132
ago,2008,12.25976
ago,2018,35.52586
alb,1996,7.38646
alb,2002,23.36561
alb,2005,19.51402
alb,2008,13.90679
alb,2012,16.72465
are,2019,0.44
arg,1996,16.40015
arg,2004,16.90258
arg,2017,9.56731
arm,1999,15.35312
arm,2001,11.99441
arm,2002,11.47464
arm,2003,10.60732
arm,2004,16.45503
arm,2005,12.03623
arm,2006,10.83256
arm,2007,8.30388
arm,2008,8.26417
arm,2009,9.74234
arm,2010,17.51972
arm,2011,12.79564
arm,2012,13.89678
arm,2013,16.05122
arm,2014,19.47494
arm,2015,22.42575
arm,2016,19.28705
arm,2017,20.97595
aus,2009,2.3334
aus,2015,2.46651
aut,1999,4.31074
aze,2002,6.97322
aze,2003,6.99131
aze,2004,7.6283
aze,2005,8.12186
bdi,1998,2.35843
bdi,2006,12.45675
bdi,2013,3.28793
bel,2009,11.44744
ben,2003,11.10617
ben,2011,6.67301
ben,2015,5.53896
bfa,1998,10.98398
bfa,2003,8.45508
bfa,2009,3.52213
bfa,2014,3.12957
bgd,2000,14.84626
bgd,2005,12.3372
bgd,2010,14.22404
bgd,2016,24.42483
bgr,1995,2.09169
bgr,1997,1.768
bgr,2000,8.81388
bgr,2001,7.28048
bgr,2005,10.33527
bgr,2010,12.8421
bgr,2015,13.06995
bgr,2016,22.28678
bgr,2017,21.15524
bgr,2018,21.27513
bhr,2005,3.23
bhr,2015,4.88
bih,2001,14.10151
bih,2004,7.13646
bih,2007,10.2528
bih,2011,8.55873
bih,2015,8.17694
blr,2000,2.7
blr,2001,4.1
blr,2002,3.8
blr,2003,4
blr,2004,3.3
blr,2005,2.3
blr,2006,2.9
blr,2007,3.4
blr,2008,4.1
blr,2009,3.5
blr,2010,4.4
blr,2011,4.6
blr,2012,5.7
blr,2013,7
blr,2014,6.5
blr,2015,8.3
blr,2016,9.5
blr,2017,10.2
blr,2018,10
blr,2019,9.3
blr,2020,13.5
blz,2018,6.2
bol,1999,11.83056
bol,2000,11.06449
bol,2001,7.90336
bol,2002,8.23398
bol,2013,10.12308
bol,2014,6.25122
bol,2015,6.01566
bol,2018,4.25646
bol,2019,4.557
bra,1996,13.18305
bra,2008,15.07099
bra,2017,11.8119
brb,2016,16.37449
btn,2000,1.37097
btn,2003,5.37614
btn,2007,3.4262
btn,2012,4.00818
btn,2017,3.98469
bwa,1993,8.54257
bwa,2009,1.00337
caf,2008,6.74757
can,2000,3.3
can,2001,2.9
can,2002,3
can,2003,3.3
can,2004,3.2
can,2005,3.7
can,2006,4
can,2007,4
can,2008,4.3
can,2009,4.4
can,2014,3.5
can,2015,3.3
can,2016,3.4
can,2017,3.8
can,2019,3.5
chl,1996,12.16433
chl,2006,9.19484
chl,2011,11.3328
chl,2016,14.61313
chn,1995,5.78695
chn,2002,12.2723
chn,2007,18.44475
chn,2013,18.82328
chn,2016,23.9798
civ,1985,17.7689
civ,1986,16.7716
civ,1987,11.29209
civ,1988,12.31025
civ,1992,13.24315
civ,1998,19.77118
civ,2002,18.46969
civ,2008,17.44369
civ,2014,12.4271
cmr,1996,23.81574
cmr,2007,8.01288
cmr,2014,10.71002
cod,2004,5.80602
cod,2012,4.81975
cog,2011,4.58063
col,1997,21.30848
col,2008,20.01177
col,2016,8.19215
com,2014,8.81449
cpv,2001,2.81498
cpv,2007,2.047
cri,1992,1.25979
cri,2004,4.3616
cri,2012,8.08643
cri,2018,7.40556
cym,2015,0.03236
cyp,2009,16.05152
cyp,2015,14.74258
cze,1999,0.51501
cze,2010,2.21941
deu,2010,1.52847
dji,2002,1.14045
dji,2012,2.2533
dji,2017,1.46535
dnk,1997,2.31842
dnk,2010,2.93015
dom,2007,17.65889
dom,2018,8.16748
ecu,2011,18.47073
ecu,2013,10.30897
egy,1997,7.6564
egy,2008,12.552
egy,2012,26.20184
egy,2015,31.2157
egy,2017,31.14374
esp,1996,3.94561
esp,2006,5.42075
esp,2007,5.39604
esp,2008,5.84136
esp,2009,5.53518
esp,2010,5.69591
esp,2011,5.65922
esp,2012,5.62917
esp,2013,5.92804
esp,2014,6.39422
esp,2015,7.02349
esp,2016,7.27895
esp,2017,7.08634
esp,2018,7.06367
esp,2019,7.86852
est,1995,3.00888
est,2000,6.62551
est,2001,6.7656
est,2002,7.15234
est,2003,10.04479
est,2004,11.57043
est,2005,10.79251
est,2006,14.58167
est,2007,12.76024
est,2010,8.79013
eth,1999,1.57884
eth,2004,0.81836
eth,2011,1.87901
eth,2015,2.11677
fin,1998,7.52137
fin,2006,7.11505
fin,2012,6.28066
fin,2016,6.72405
fji,2008,0.78177
gab,2005,5.6661
gab,2017,3.83424
gbr,1995,0.40846
gbr,1999,0.80645
gbr,2000,1.99655
gbr,2005,2.02689
gbr,2010,1.73001
gbr,2013,1.63713
gbr,2014,2.03447
gbr,2016,2.08805
gbr,2017,2.19681
gbr,2018,2.27441
geo,1997,8.00347
geo,1998,6.79726
geo,1999,8.0013
geo,2000,12.37981
geo,2001,13.94963
geo,2002,13.76678
geo,2003,12.04843
geo,2004,11.76487
geo,2005,15.03594
geo,2006,16.2931
geo,2007,17.74407
geo,2008,22.12052
geo,2009,26.05968
geo,2010,24.95896
geo,2011,23.97163
geo,2012,23.30754
geo,2013,24.61247
geo,2017,31.20792
gha,1991,4.7332
gha,1998,5.9668
gha,2005,3.11277
gha,2012,1.47564
gha,2016,1.32546
gin,2002,9.67055
gin,2007,4.30273
gin,2012,6.96915
gmb,2003,0.42996
gmb,2010,0.60781
gmb,2015,0.19749
gnb,2002,5.48607
gnb,2010,6.25837
grc,2010,14.63678
grc,2016,16.89378
gtm,2000,3.68286
gtm,2011,9.36376
gtm,2014,11.45392
hnd,2004,1.13895
hrv,1999,1.48563
hrv,2004,2.39456
hrv,2008,2.2739
hrv,2009,2.46357
hrv,2010,2.79948
hti,2012,9.43376
hti,2013,11.5431
hun,1993,4.54916
hun,1998,6.03293
hun,1999,6.96045
hun,2000,8.26001
hun,2001,8.34188
hun,2002,9.6985
hun,2003,12.36843
hun,2004,10.26821
hun,2005,10.61658
hun,2006,10.09031
hun,2007,11.53812
hun,2010,7.37811
idn,1999,3.89743
idn,2001,2.5649
idn,2002,2.29393
idn,2004,2.06261
idn,2005,2.13944
idn,2006,1.82253
idn,2007,2.53881
idn,2009,3.49505
idn,2010,3.44817
idn,2011,3.87479
idn,2012,3.4461
idn,2013,3.74481
idn,2014,4.38086
idn,2015,3.60567
idn,2016,4.31296
idn,2017,4.51766
ind,1995,7.30046
ind,2000,15.4145
ind,2001,14.8566
ind,2003,15.41352
ind,2004,14.56051
ind,2006,16.83674
ind,2007,12.97608
ind,2009,13.96573
ind,2011,17.91162
ind,2017,17.32188
irl,1999,2.02138
irl,2009,5.59299
irn,2005,11.31348
irn,2007,11.41254
irn,2008,12.59518
irn,2009,13.72238
irn,2010,13.72441
irn,2011,14.12122
irn,2012,13.8651
irn,2013,15.81171
irn,2014,15.95711
irn,2015,17.03172
irn,2016,15.77679
irn,2017,16.85715
irn,2018,17
irn,2019,15.34651
irq,2006,3.29152
irq,2012,3.70281
