geo,time,dc_oda_tldc_cd
aus,1965,2640000
aus,1966,3240000
aus,1967,2430000
aus,1968,4070000
aus,1969,4230000
aus,1970,5100000
aus,1971,6900000
aus,1972,16590000
aus,1973,11340000
aus,1974,43500000
aus,1975,31860000
aus,1976,16870000
aus,1977,19670000
aus,1978,39320000
aus,1979,66230000
aus,1980,59160000
aus,1981,76330000
aus,1982,117020000
aus,1983,72230000
aus,1984,89450000
aus,1985,51960000
aus,1986,58760000
aus,1987,75040000
aus,1988,77090000
aus,1989,119370000
aus,1990,95250000
aus,1991,86030000
aus,1992,94060000
aus,1993,93930000
aus,1994,128760000
aus,1995,128610000
aus,1996,132450000
aus,1997,114260000
aus,1998,101720000
aus,1999,153710000
aus,2000,197080000
aus,2001,142520000
aus,2002,162420000
aus,2003,193790000
aus,2004,282520000
aus,2005,317160000
aus,2006,334070000
aus,2007,511590000
aus,2008,631930000
aus,2009,568140000
aus,2010,852100000
aus,2011,1118050000
aus,2012,1247560000
aus,2013,994760000
aus,2014,885840000
aus,2015,678750000
aus,2016,534410000
aut,1962,30000
aut,1963,130000
aut,1964,250000
aut,1965,1840000
aut,1966,630000
aut,1967,1280000
aut,1968,40000
aut,1969,40000
aut,1970,960000
aut,1971,1150000
aut,1972,530000
aut,1973,670000
aut,1974,2800000
aut,1975,2140000
aut,1976,1770000
aut,1977,2760000
aut,1978,3710000
aut,1979,5060000
aut,1980,8500000
aut,1981,12430000
aut,1982,8480000
aut,1983,7110000
aut,1984,10080000
aut,1985,10620000
aut,1986,9260000
aut,1987,18210000
aut,1988,36530000
aut,1989,31050000
aut,1990,57490000
aut,1991,49980000
aut,1992,68650000
aut,1993,61330000
aut,1994,63930000
aut,1995,66220000
aut,1996,63100000
aut,1997,49030000
aut,1998,60410000
aut,1999,52250000
aut,2000,60680000
aut,2001,69890000
aut,2002,123660000
aut,2003,61380000
aut,2004,52800000
aut,2005,111750000
aut,2006,69700000
aut,2007,50200000
aut,2008,106700000
aut,2009,97960000
aut,2010,202760000
aut,2011,93870000
aut,2012,53150000
aut,2013,105920000
aut,2014,156980000
aut,2015,41120000
