global,time,dc_dac_canl_cd
world,1960,44869998.93188
world,1961,42290000.91553
world,1962,40419998.16895
world,1963,75639999.38965
world,1964,110760002.13623
world,1965,96910003.66211
world,1966,179600006.10352
world,1967,167860000.61035
world,1968,139949996.94824
world,1969,155879989.62402
world,1970,257859985.35156
world,1971,289510009.76562
world,1972,331500000
world,1973,345690002.44141
world,1974,496470001.2207
world,1975,606940002.44141
world,1976,523270019.53125
world,1977,475630004.88281
world,1978,648400024.41406
world,1979,592140014.64844
world,1980,653779968.26172
world,1981,742289978.02734
world,1982,823440002.44141
world,1983,846830017.08984
world,1984,1031109985.35156
world,1985,994969970.70312
world,1986,1033640014.64844
world,1987,1245699951.17188
world,1988,1564390014.64844
world,1989,1566609985.35156
world,1990,1684330078.125
world,1991,1864609985.35156
world,1992,1908130004.88281
world,1993,1642469970.70313
world,1994,1443560058.59375
world,1995,1581130004.88281
world,1996,1513930053.71094
world,1997,1395689941.40625
world,1998,1355839965.82031
world,1999,1318789916.99219
world,2000,1303170043.94531
world,2001,1322579956.05469
world,2002,1581660034.17969
world,2003,1419349975.58594
world,2004,2063870117.1875
world,2005,2827330078.125
world,2006,2530139892.57813
world,2007,3144300048.82813
world,2008,3331919921.875
world,2009,3135649902.34375
world,2010,3885699951.17188
world,2011,4053969970.70313
world,2012,3918239990.23438
world,2013,3471699951.17188
world,2014,3240919921.875
world,2015,2948189941.40625
world,2016,2633120117.1875
world,2017,3102949951.17188
world,2018,3452929931.64063
world,2019,2988239990.23438
