geo,time,fr_inr_risk
ago,2004,30.1575
ago,2005,36.09146
ago,2006,11.65081
ago,2010,11.72357
ago,2011,11.83143
ago,2012,13.20918
ago,2013,12.74402
ago,2014,12.10297
ago,2015,9.67804
ago,2016,0.6886
ago,2017,-0.54182
ago,2018,7.54555
ago,2019,6.21099
ago,2020,3.15886
ago,2021,0.03804
alb,1994,9.69
alb,1995,6.18
alb,1996,6.15333
alb,1997,0.11417
alb,1999,4.07833
alb,2000,11.29836
alb,2001,11.93291
alb,2002,5.81712
alb,2003,5.46111
alb,2004,4.96782
alb,2005,7.55326
alb,2006,7.45082
alb,2007,8.16725
alb,2008,6.77791
alb,2009,6.38765
alb,2010,6.99624
alb,2011,6.97005
alb,2012,5.7287
alb,2013,5.61861
alb,2014,4.8575
alb,2015,5.1375
alb,2016,5.67167
alb,2017,5
alb,2018,4.6225
alb,2020,5.15167
alb,2021,4.97333
arm,2001,6.09608
arm,2002,6.38733
arm,2003,8.91726
arm,2004,13.36269
arm,2005,13.9338
arm,2006,11.65992
arm,2007,11.42688
arm,2008,9.3617
arm,2009,9.34486
arm,2010,8.6146
arm,2011,8.22797
arm,2012,7.43423
arm,2013,6.69774
arm,2014,8.60702
arm,2015,4.69454
arm,2016,7.5255
arm,2017,7.67789
arm,2018,6.57465
arm,2019,6.10505
arm,2020,5.79773
arm,2021,3.96307
atg,1982,3.92
atg,1983,4.62
atg,1984,4.48
atg,1985,4.06
atg,1986,4.9
atg,1987,3.64
atg,1988,2.38
atg,1989,3.64
atg,1990,3.64
atg,1991,5.65
atg,1992,5.7
atg,1993,5.67586
atg,1994,6.14676
atg,1995,5.69585
atg,1996,5.25919
atg,1997,4.98259
atg,1998,5.19511
atg,1999,5.07188
atg,2000,5.17155
atg,2001,4.62438
atg,2002,4.38791
atg,2003,5.82198
atg,2004,4.96439
atg,2005,4.39394
atg,2006,4.37059
atg,2007,4.1052
atg,2008,4.4141
atg,2009,3.69037
atg,2010,4.74935
atg,2011,4.41445
atg,2012,4.0322
atg,2013,3.95235
atg,2014,4.07184
atg,2015,4.84008
atg,2016,4.96333
atg,2017,6.645
atg,2018,6.99653
aus,1995,2.85619
aus,1996,2.71274
aus,1997,1.87643
aus,1998,1.84652
aus,1999,1.80822
aus,2000,1.74058
aus,2001,2.04148
aus,2002,1.91247
aus,2009,2.87332
aus,2010,2.83792
aus,2011,3.18146
aus,2012,3.48146
aus,2013,3.35104
aze,1998,5.75
aze,1999,1.17833
aze,2000,2.92333
aze,2001,3.19583
aze,2002,3.25167
aze,2003,7.45917
aze,2004,11.09792
aze,2005,9.51333
aze,2006,7.825
aze,2007,8.49167
aze,2008,9.31208
aze,2009,16.7225
aze,2010,18.87083
aze,2011,16.70667
aze,2012,15.91708
aze,2013,16.32
aze,2014,15.9675
aze,2016,3.41939
aze,2017,2.21583
bgd,2006,4.14083
bgd,2007,5.03
bgd,2008,5.13083
bgd,2009,7.03375
bgd,2010,7.71917
bgd,2011,9.44417
bgd,2012,3.17167
bgd,2013,4.92264
bgd,2014,5.7646
bgd,2015,5.94857
bgd,2016,7.02024
bgd,2017,6.18854
bgd,2018,7.27807
bgd,2019,3.83615
bgd,2020,3.52771
bgd,2021,6.00644
bgr,2006,6.2145
bgr,2007,6.1396
bgr,2008,6.80483
bgr,2009,6.67
bgr,2010,8.58602
bgr,2011,9.37673
bgr,2013,8.64394
bgr,2014,7.04846
bgr,2015,7.07775
bhr,1987,1.1
bhr,1988,0.415
bhr,1989,-0.66852
bhr,1991,3.47216
bhr,1992,7.94326
bhr,1993,7.51097
bhr,1994,5.90394
bhr,1995,5.63519
bhr,1996,6.82868
bhr,1997,6.51332
bhr,1998,6.27087
bhr,1999,6.26985
bhr,2000,5.04373
bhr,2001,6.91081
bhr,2002,6.6557
bhr,2003,7.16271
bhr,2004,6.34765
bhr,2005,4.25435
bhr,2006,2.94024
bhr,2007,3.40218
bhr,2008,5.69367
bhr,2009,6.88626
bhr,2010,6.41646
bhr,2011,5.83546
bhr,2012,4.82746
bhr,2013,5.08788
