global,time,ne_con_govt_kd
world,1970,4523586971648.54004
world,1971,4682031480437.33984
world,1972,4832043815801.54004
world,1973,4980390349122.55957
world,1974,5151770073052.00977
world,1975,5434805714373.66016
world,1976,5575287539469.16992
world,1977,5687199874950.58008
world,1978,5877830765735.58008
world,1979,6030505681372.04004
world,1980,6186528174618.92969
world,1981,6357139973053.88965
world,1982,6503942533936.24023
world,1983,6642819397942.11035
world,1984,6743714114130.0498
world,1985,7004239563547.25
world,1986,7240157719644.42871
world,1987,7455904852601.72949
world,1988,7610267783204.30859
world,1989,7826278210710.13965
world,1990,8015725387331.50879
world,1991,8157894068186.55078
world,1992,8258161676885.99023
world,1993,8333621968321.40918
world,1994,8404926760288.56934
world,1995,8496612313844.24023
world,1996,8604720582969.40039
world,1997,8737374281899.51855
world,1998,8922566273410.5293
world,1999,9161322560217.88867
world,2000,9372558038865.83008
world,2001,9632055677531.67969
world,2002,9912164444544.04883
world,2003,10120849508480
world,2004,10340294184821.80078
world,2005,10542372734221.69922
world,2006,10791281760170
world,2007,11066282554498.30078
world,2008,11373827400709.59961
world,2009,11760953505547.5
world,2010,11918103976592.5
world,2011,12003093502266.59961
world,2012,12100403500977
world,2013,12189815182257.59961
world,2014,12336026031666.90039
world,2015,12520729508551.5
world,2016,12725131504938.19922
world,2017,12905166768857.09961
world,2018,13149537447990.30078
world,2019,13470533370690.80078
world,2020,13695296622931.30078
