geo,time,sl_tlf_advn_ma_zs
afg,2014,87.15
afg,2017,70.11
afg,2020,65.14
ago,2004,90.69
ago,2009,82.23
ago,2011,89.76
ago,2014,75.03
alb,2007,77.17
alb,2008,75.36
alb,2009,78.8
alb,2010,77.57
alb,2011,74.75
alb,2012,71.75
alb,2013,72.94
alb,2014,73.93
alb,2015,74.28
alb,2016,72.84
alb,2017,73.37
alb,2018,72.5
alb,2019,71.91
are,2017,96.14
are,2018,96.68
arg,2004,89.37
arg,2005,89.83
arg,2006,90.16
arg,2008,89.98
arg,2009,89.09
arg,2010,89.91
arg,2011,90.48
arg,2012,88.65
arg,2013,90
arg,2014,88.25
arg,2017,86.35
arg,2018,86.04
arg,2019,86.68
arg,2020,83.65
arm,2007,73.49
arm,2008,78.45
arm,2009,66.48
arm,2010,83.94
arm,2011,78.72
arm,2012,69.18
arm,2013,82.93
arm,2014,86.11
arm,2015,86.31
arm,2016,85.4
arm,2017,84.22
arm,2018,79.55
arm,2019,80.54
arm,2020,74.6
aus,2009,91.79
aus,2010,91.79
aus,2011,92.11
aus,2012,92.24
aus,2013,88.03
aus,2014,86.45
aus,2015,86.76
aus,2016,86.68
aus,2017,86.26
aut,1995,86.77
aut,1996,84.43
aut,1997,86.7
aut,1998,82.8
aut,1999,76.71
aut,2000,78.24
aut,2001,78.69
aut,2002,77.54
aut,2003,76.6
aut,2004,75.46
aut,2005,75.46
aut,2006,75.72
aut,2007,77.01
aut,2008,75.61
aut,2009,75.37
aut,2010,75.73
aut,2011,75.45
aut,2012,75.7
aut,2013,75.93
aut,2014,76.17
aut,2015,76.49
aut,2016,76
aut,2017,76.76
aut,2018,76.62
aut,2019,76.71
aut,2020,76.59
bdi,2014,78.14
bel,1992,86.67
bel,1993,84.96
bel,1994,85.56
bel,1995,85.71
bel,1996,85.05
bel,1997,85.19
bel,1998,83.36
bel,1999,83.78
bel,2000,84.25
bel,2001,82.17
bel,2002,80.96
bel,2003,80.81
bel,2004,82.7
bel,2005,82.29
bel,2006,80.77
bel,2007,80.96
bel,2008,79.67
bel,2009,78.45
bel,2010,78.06
bel,2011,77.05
bel,2012,76.63
bel,2013,76.95
bel,2014,76.37
bel,2015,75.65
bel,2016,74.89
bel,2017,75.72
bel,2018,75.52
bel,2019,75.45
bel,2020,75.66
ben,2011,69.88
ben,2018,47.95
bfa,2014,63.42
bfa,2018,75.52
bgd,2006,83.98
bgd,2010,90.56
bgd,2013,91.03
bgd,2016,88.69
bgd,2017,89.68
bgr,2000,74.49
bgr,2001,73.81
bgr,2002,73.16
bgr,2003,73.7
bgr,2004,74.02
bgr,2005,72.82
bgr,2006,73.31
bgr,2007,74.69
bgr,2008,76.45
bgr,2009,76.42
bgr,2010,75.41
bgr,2011,73.74
bgr,2012,74.13
bgr,2013,74.73
bgr,2014,75.64
bgr,2015,76.12
bgr,2016,75.72
bgr,2017,76.46
bgr,2018,76.89
bgr,2019,78.93
bgr,2020,78.03
bih,2006,75.63
bih,2007,76.73
bih,2008,76.66
bih,2009,78.09
bih,2010,76.45
bih,2011,80.25
bih,2012,74.91
bih,2013,78.66
bih,2014,78.48
bih,2015,75.21
bih,2016,76.81
bih,2017,77.89
bih,2018,73.17
bih,2019,72.08
bih,2020,78.01
blr,2020,85.98
blz,2012,90.77
blz,2013,89.14
blz,2014,90.12
blz,2015,90.35
blz,2016,89.86
blz,2017,87.47
blz,2019,90.1
bol,1999,90.41
bol,2000,88.09
bol,2001,89.55
bol,2002,92.69
bol,2004,77.01
bol,2005,91.28
bol,2006,90.66
bol,2007,92.91
bol,2008,89.13
bol,2009,91.39
bol,2011,87.99
bol,2012,90.56
bol,2013,89.26
bol,2014,86.72
bol,2015,86.25
bol,2016,85.28
bol,2017,86.14
bol,2018,86.99
bol,2019,89.07
bol,2020,85.28
bra,1995,90.35
bra,1996,89.12
bra,1997,90.44
bra,1998,89.79
bra,1999,88.51
bra,2001,88.89
bra,2002,89.28
bra,2003,88.76
bra,2004,88.02
bra,2005,88.39
bra,2006,88.92
bra,2007,88.31
bra,2008,88.4
bra,2009,88.99
bra,2011,88.12
bra,2012,86.67
bra,2013,84.03
bra,2014,84.75
bra,2015,88.03
bra,2016,88.54
bra,2017,88.39
bra,2018,87.99
bra,2019,88.21
bra,2020,84.63
brb,2015,77.78
brb,2016,78.02
brb,2017,80.67
brb,2018,78.67
brb,2019,77.4
brn,2014,88.41
brn,2017,81.68
brn,2018,84.86
brn,2019,84.19
btn,2014,64.74
btn,2015,69.14
bwa,2006,73.39
bwa,2009,90.02
bwa,2010,75.14
bwa,2019,77.8
bwa,2020,79.92
can,1990,87.06
can,1991,86.6
can,1992,85.24
can,1993,85.2
can,1994,84.45
can,1995,83.97
can,1996,83.38
can,1997,83.06
can,1998,83.26
can,1999,82.91
can,2000,82.83
can,2001,82.4
can,2002,82.39
can,2003,82.6
can,2004,82.13
can,2005,81.72
can,2006,81.23
can,2007,80.82
can,2008,80.9
can,2009,80.45
can,2010,80.1
can,2011,79.41
can,2012,78.92
can,2013,78.96
can,2014,78.51
can,2015,78.72
can,2016,78.11
can,2017,77.66
can,2018,77.25
can,2019,77.41
can,2020,75.81
can,2021,76.87
che,1996,90.32
che,1997,89.74
che,1998,85.83
che,1999,85.95
che,2000,86.04
che,2001,86.83
che,2002,85.85
che,2003,85.77
che,2004,85.24
che,2005,85.15
che,2006,85.03
che,2007,84.54
che,2008,84.25
che,2009,84.08
che,2010,82.92
che,2011,83.1
che,2012,82.78
che,2013,82.46
che,2014,81.79
che,2015,81.49
che,2016,81.77
che,2017,81.38
che,2018,81.93
che,2019,82.31
che,2020,81.65
chl,1998,93.54
chl,2000,94.43
chl,2003,92.73
chl,2006,93.76
chl,2009,91.37
chl,2010,89.63
chl,2011,89.82
chl,2012,90.29
chl,2013,90.02
chl,2014,89.41
chl,2015,90.24
chl,2016,89.24
chl,2017,87.98
chl,2018,87.64
chl,2019,87.71
chl,2020,85.11
civ,2012,78.66
civ,2013,86.27
civ,2016,67.26
civ,2017,47.18
cmr,2007,88.67
cmr,2014,80.42
cod,2005,85.56
cod,2012,70.39
cog,2005,78.5
cog,2009,31.8
col,2002,86.29
col,2003,86.67
col,2004,85.58
col,2005,84.81
col,2007,78.81
col,2008,79.59
col,2009,80.93
col,2010,81.54
col,2011,82.86
col,2012,84.03
col,2013,83.52
col,2014,83.91
col,2015,83.69
col,2016,83.41
col,2017,82.62
col,2018,81.95
col,2019,81.61
com,2004,77.26
com,2014,85.09
cpv,2015,74.69
cpv,2017,73.76
cpv,2018,73.49
cpv,2019,71.68
cri,2001,86.57
cri,2002,86.84
cri,2003,87.5
cri,2004,87.78
cri,2005,86.99
cri,2006,90.15
cri,2007,88.34
cri,2008,86.33
cri,2009,85.34
cri,2010,81.6
cri,2011,79.79
cri,2012,82.96
cri,2013,83.44
cri,2014,83.69
cri,2015,81.44
cri,2016,80.02
cri,2017,79.67
cri,2018,79.51
cri,2019,83.06
cri,2020,80.19
cub,2009,89.47
cub,2010,88.66
cym,2011,93.52
cym,2012,91.69
cym,2014,90.99
cym,2015,88.71
cyp,2000,89.35
cyp,2001,90.1
cyp,2002,88.63
cyp,2003,89.78
cyp,2004,89.69
cyp,2005,88.42
cyp,2006,89.5
cyp,2007,87.9
cyp,2008,87.08
cyp,2009,85.7
cyp,2010,85.91
cyp,2011,85.1
cyp,2012,86.54
cyp,2013,85.92
cyp,2014,85.45
cyp,2015,84.78
cyp,2016,82.72
cyp,2017,82.88
cyp,2018,84.68
cyp,2019,85.31
cyp,2020,83.86
cze,1998,83.44
cze,1999,81.95
cze,2000,81.21
cze,2001,81.97
cze,2002,81.6
cze,2003,81.58
cze,2004,81.53
cze,2005,82.43
cze,2006,80.84
cze,2007,80.79
cze,2008,81.1
cze,2009,80.24
cze,2010,80.5
cze,2011,80.75
cze,2012,79.78
cze,2013,80.75
cze,2014,80.44
cze,2015,80.75
cze,2016,80.96
cze,2017,80.95
cze,2018,81.83
cze,2019,81.76
cze,2020,81.65
deu,1992,83.43
deu,1993,83.38
deu,1994,82.66
deu,1995,82.73
deu,1996,82.39
deu,1997,81.36
deu,1999,77.26
deu,2000,77.11
deu,2001,76.52
deu,2002,75.94
deu,2003,75.59
deu,2004,74.56
deu,2005,74.51
deu,2006,74.42
deu,2007,73.77
deu,2008,73.15
deu,2009,73.04
deu,2010,72.96
deu,2011,73.83
deu,2012,73.62
deu,2013,73.49
deu,2014,73.12
deu,2015,72.82
deu,2016,73.37
deu,2017,73.38
deu,2018,73.28
deu,2019,74.01
deu,2020,73.63
dji,2017,77.47
dnk,1992,92.19
dnk,1993,89.51
dnk,1994,87.95
dnk,1995,88.3
dnk,1996,87.85
dnk,1997,86.74
dnk,1998,85.16
dnk,1999,85.3
dnk,2000,85.92
dnk,2001,83.73
dnk,2002,83.17
dnk,2003,83.28
dnk,2004,82.35
dnk,2005,82.37
dnk,2006,81.94
dnk,2007,83.08
dnk,2008,81.18
dnk,2009,80.18
dnk,2010,79.63
dnk,2011,79.6
dnk,2012,79.32
dnk,2013,78.24
dnk,2014,78.11
dnk,2015,78.39
dnk,2016,78.31
dnk,2017,78.22
dnk,2018,79.1
dnk,2019,79.15
dnk,2020,78.11
dom,2000,92.43
