global,time,ne_con_govt_zs
world,1970,15.69663
world,1971,16.11636
world,1972,16.09449
world,1973,15.69761
world,1974,16.05181
world,1975,17.08873
world,1976,16.79195
world,1977,16.61929
world,1978,16.65051
world,1979,16.49854
world,1980,16.71478
world,1981,16.65754
world,1982,17.12616
world,1983,17.10007
world,1984,16.66094
world,1985,16.65007
world,1986,16.8796
world,1987,16.93584
world,1988,16.57492
world,1989,16.52552
world,1990,16.75603
world,1991,16.91274
world,1992,16.98214
world,1993,16.90871
world,1994,16.54195
world,1995,16.48183
world,1996,16.30332
world,1997,16.08177
world,1998,16.10235
world,1999,16.11064
world,2000,15.90498
world,2001,16.28895
world,2002,16.68252
world,2003,16.93682
world,2004,16.80237
world,2005,16.65894
world,2006,16.50934
world,2007,16.46289
world,2008,16.83551
world,2009,17.94414
world,2010,17.44568
world,2011,17.21729
world,2012,17.04467
world,2013,16.97721
world,2014,16.8358
world,2015,16.66827
world,2016,16.63882
world,2017,16.44299
world,2018,16.44116
world,2019,16.52554
world,2020,17.69279
