geo,time,ny_adj_nnty_pc_kd_zg
ago,2001,18.98932
ago,2002,38.89881
ago,2003,6.29441
ago,2004,-7.54134
ago,2005,8.50646
ago,2006,13.58552
ago,2007,-9.27593
ago,2008,-23.41899
ago,2009,28.06767
ago,2010,5.23112
ago,2011,15.18305
ago,2012,8.65301
ago,2013,6.34621
ago,2014,5.2848
ago,2015,-2.7886
ago,2016,-3.45609
ago,2017,-4.87546
ago,2018,-13.06918
ago,2019,-2.93135
alb,1998,6.31365
alb,1999,15.71084
alb,2000,11.96894
alb,2001,10.97823
alb,2002,3.60643
alb,2003,5.57381
alb,2004,6.45459
alb,2005,4.31562
alb,2006,7.77325
alb,2007,4.45343
alb,2008,7.33901
alb,2009,1.2113
alb,2010,5.66119
alb,2011,0.5007
alb,2012,-0.70386
alb,2013,2.86041
alb,2014,0.85637
alb,2015,0.36703
alb,2016,3.30168
alb,2017,2.24874
alb,2018,3.96421
alb,2019,1.1583
are,2002,-5.84274
are,2003,-0.51975
are,2004,0.00528
are,2005,-5.99304
are,2006,1.91099
are,2007,-7.9147
are,2008,-8.08581
are,2009,-24.86946
are,2010,-6.41508
are,2011,11.00624
are,2012,2.36568
are,2013,6.90732
are,2014,5.47649
are,2015,-9.14709
are,2016,0.20703
are,2017,6.72071
are,2018,-3.06526
are,2019,-1.26695
arg,1971,8.49809
arg,1972,-2.38267
arg,1973,4.18517
arg,1974,1.66893
arg,1975,-1.5535
arg,1976,-3.65602
arg,1977,4.00679
arg,1978,-6.73293
arg,1979,5.21695
arg,1980,2.28782
arg,1981,-7.96117
arg,1982,-8.65428
arg,1983,3.31362
arg,1984,0.48612
arg,1985,-8.2779
arg,1986,7.25618
arg,1987,-0.31721
arg,1988,-2.16689
arg,1989,-14.40601
arg,1990,-0.92602
arg,1991,13.70727
arg,1992,12.55495
arg,1993,3.88851
arg,1994,3.56725
arg,1995,-5.84117
arg,1996,5.4732
arg,1997,6.18503
arg,1998,1.9389
arg,1999,-6.74419
arg,2000,-2.06869
arg,2001,-5.89966
arg,2002,-12.3164
arg,2003,10.128
arg,2004,-2.00504
arg,2005,6.49689
arg,2006,19.63515
arg,2007,11.32456
arg,2008,4.77845
arg,2009,-8.34899
arg,2010,10.59451
arg,2011,7.88466
arg,2012,-2.63501
arg,2013,0.88367
arg,2014,-4.49987
arg,2015,3.98954
arg,2016,-2.95499
arg,2017,4.57736
arg,2018,-6.57083
arg,2019,-5.70742
arm,1996,8.0892
arm,1997,8.09751
arm,1998,4.37803
arm,1999,3.79595
arm,2000,-0.24037
arm,2001,9.00219
arm,2002,15.41576
arm,2003,20.47629
arm,2004,10.97161
arm,2005,15.62274
arm,2006,15.51676
arm,2007,17.91108
arm,2008,10.21785
arm,2009,-21.4256
arm,2010,1.97079
arm,2011,2.71482
arm,2012,12.77738
arm,2013,2.98243
arm,2014,0.71762
arm,2015,-1.85402
arm,2016,-1.81921
arm,2017,10.02947
arm,2018,3.89796
arm,2019,5.51878
aut,1971,4.16052
aut,1972,5.77211
aut,1973,5.35394
aut,1974,1.9448
aut,1975,0.2793
aut,1976,4.58526
aut,1977,4.60871
aut,1978,0.49638
aut,1979,5.20891
aut,1980,0.77684
aut,1981,-1.04008
aut,1982,1.89076
aut,1983,3.79195
aut,1984,0.1519
aut,1985,2.12515
aut,1986,2.6095
aut,1987,1.83547
aut,1988,3.81976
aut,1989,3.38391
aut,1990,3.69617
aut,1991,1.82053
aut,1992,0.97108
aut,1993,-0.85248
aut,1994,1.99458
aut,1995,2.07543
aut,1996,2.05462
aut,1997,1.3115
aut,1998,3.23704
aut,1999,1.6895
aut,2000,3.21644
aut,2001,0.01177
aut,2002,1.7244
aut,2003,0.68049
aut,2004,2.40852
aut,2005,1.28855
aut,2006,3.56316
aut,2007,3.01551
