geo,time,sh_prv_smok_fe
afg,2000,18.4
afg,2005,14.5
afg,2010,11.4
afg,2015,9.1
afg,2018,7.9
afg,2019,7.5
afg,2020,7.2
alb,2000,10.9
alb,2005,9.4
alb,2010,8.1
alb,2015,6.9
alb,2018,6.4
alb,2019,6.2
alb,2020,6
and,2000,29.3
and,2005,29.1
and,2010,28.9
and,2015,28.6
and,2018,28.5
and,2019,28.3
and,2020,28.3
arg,2000,28.4
arg,2005,26
arg,2010,23.6
arg,2015,21.5
arg,2018,20.3
arg,2019,19.9
arg,2020,19.6
arm,2000,2.2
arm,2005,2
arm,2010,1.8
arm,2015,1.7
arm,2018,1.6
arm,2019,1.5
arm,2020,1.5
aus,2000,22.2
aus,2005,18.9
aus,2010,16
aus,2015,13.5
aus,2018,12.2
aus,2019,11.9
aus,2020,11.5
aut,2000,47.8
aut,2005,40.4
aut,2010,34.5
aut,2015,29.3
aut,2018,26.6
aut,2019,25.6
aut,2020,25
aze,2000,0.3
aze,2005,0.3
aze,2010,0.2
aze,2015,0.2
aze,2018,0.1
aze,2019,0.1
aze,2020,0.1
bdi,2000,16.4
bdi,2005,12.7
bdi,2010,9.9
bdi,2015,7.8
bdi,2018,6.7
bdi,2019,6.4
bdi,2020,6.1
bel,2000,27.7
bel,2005,25.9
bel,2010,24.1
bel,2015,22.5
bel,2018,21.6
bel,2019,21.4
bel,2020,21
ben,2000,5.1
ben,2005,4
ben,2010,3.1
ben,2015,2.4
ben,2018,2.1
ben,2019,2
ben,2020,1.9
bfa,2000,22.7
bfa,2005,16.6
bfa,2010,12.2
bfa,2015,8.8
bfa,2018,7.3
bfa,2019,6.9
bfa,2020,6.4
bgd,2000,48.5
bgd,2005,37.7
bgd,2010,28.9
bgd,2015,22.2
bgd,2018,18.8
bgd,2019,17.9
bgd,2020,17.1
bgr,2000,35.8
bgr,2005,36.1
bgr,2010,36.5
bgr,2015,36.7
bgr,2018,37
bgr,2019,37.1
bgr,2020,37.1
bhr,2000,8.1
bhr,2005,7
bhr,2010,6
bhr,2015,5.2
bhr,2018,4.8
bhr,2019,4.6
bhr,2020,4.5
bhs,2000,4.2
bhs,2005,3.7
bhs,2010,3.2
bhs,2015,2.8
bhs,2018,2.6
bhs,2019,2.5
bhs,2020,2.4
bih,2000,35
bih,2005,33.2
bih,2010,31.2
bih,2015,29.8
bih,2018,28.8
bih,2019,28.3
bih,2020,28
blr,2000,15.6
blr,2005,15.1
blr,2010,14.6
blr,2015,14
blr,2018,13.7
blr,2019,13.6
blr,2020,13.5
blz,2000,3.5
blz,2005,2.9
blz,2010,2.5
blz,2015,2.1
blz,2018,1.9
blz,2019,1.9
blz,2020,1.8
bol,2000,27.6
bol,2005,17.9
bol,2010,11.6
bol,2015,7.5
bol,2018,5.8
bol,2019,5.3
bol,2020,4.8
bra,2000,17.9
bra,2005,15.2
bra,2010,13
bra,2015,11
bra,2018,10.1
bra,2019,9.7
bra,2020,9.4
brb,2000,3.2
brb,2005,2.8
brb,2010,2.4
brb,2015,2.1
brb,2018,2
brb,2019,1.9
brb,2020,1.9
brn,2000,4.7
brn,2005,4
brn,2010,3.3
brn,2015,2.8
brn,2018,2.5
