geo,time,sh_xpd_ehex_ch_zs
afg,2002,13.73297
afg,2003,6.65036
afg,2004,9.93714
afg,2005,15.71057
afg,2006,18.48849
afg,2007,16.17665
afg,2008,18.47561
afg,2009,21.80339
afg,2010,15.52872
afg,2011,21.13861
afg,2012,21.1719
afg,2013,22.91738
afg,2014,21.98382
afg,2015,16.44546
afg,2016,18.94782
afg,2017,19.42013
afg,2018,19.79253
afg,2019,12.41164
ago,2000,0.51365
ago,2001,1.4306
ago,2002,1.27742
ago,2003,1.03923
ago,2004,1.92935
ago,2005,3.03783
ago,2006,5.85646
ago,2007,2.69764
ago,2008,2.4888
ago,2009,3.82744
ago,2010,3.24645
ago,2011,2.86123
ago,2012,2.17543
ago,2013,2.56596
ago,2014,3.17015
ago,2015,2.67032
ago,2016,3.64164
ago,2017,3.11479
ago,2018,3.33444
ago,2019,3.17048
alb,2000,1.3606
alb,2001,3.65985
alb,2002,2.82458
alb,2003,8.18007
alb,2004,5.69245
alb,2005,5.3988
alb,2006,6.06361
alb,2007,5.46033
alb,2008,2.72849
alb,2009,2.06983
alb,2010,2.51306
alb,2011,1.10563
alb,2012,1.03252
alb,2013,1.24365
alb,2014,0.72081
alb,2015,0.92881
alb,2016,1.19822
alb,2017,2.05902
alb,2018,1.34841
are,2000,0
are,2001,0
are,2002,0
are,2003,0
are,2004,0
are,2005,0
are,2006,0
are,2007,0
are,2008,0
are,2009,0
are,2010,0
are,2011,0
are,2012,0
are,2013,0
are,2014,0
are,2015,0
are,2016,0
are,2017,0
are,2018,0
are,2019,0
arg,2000,0.03063
arg,2001,0.20074
arg,2002,1.96734
arg,2003,0.34346
arg,2004,6.29008
arg,2005,1.18308
arg,2006,0.32622
arg,2007,0.22942
arg,2008,0.9257
arg,2009,0.28787
arg,2010,0.31599
arg,2011,0.58027
arg,2012,0.52099
arg,2013,0.44593
arg,2014,0.52839
arg,2015,0.28386
arg,2016,0.30856
arg,2017,0.43379
arg,2018,0.30256
arg,2019,0.25068
arm,2000,12.77933
arm,2001,18.01124
arm,2002,7.93094
arm,2003,5.22895
arm,2004,5.45582
arm,2005,11.67522
arm,2006,11.57289
