geo,time,gc_tax_totl_cn
afg,2006,24250612198.98
afg,2007,25646905181.79
afg,2008,31355872125.7044
afg,2009,51882246429.27
afg,2010,66593592311.2775
afg,2011,75823714797.65421
afg,2012,79297407099.23901
afg,2013,81114839641
afg,2014,80965841103.06828
afg,2015,92750755156.87
afg,2016,116209545034.17
afg,2017,127240659217.53
ago,1999,2797837874
ago,2000,26311270993
ago,2001,57648356492
ago,2002,103353000000
ago,2003,228200000000
ago,2004,355630000000
ago,2005,551316000000
ago,2006,984460000000
ago,2007,1076320000000
ago,2008,1704030000000
ago,2009,1024060000000
ago,2010,1278470000000
ago,2011,1691010000000
ago,2012,1812070000000
ago,2013,1871680000000
ago,2014,1939827249314.42969
ago,2015,1534813668876.62012
ago,2016,1610688479594.56006
ago,2017,1868949099858.53003
ago,2018,2471738951326.29004
ago,2019,3060457302239.02002
alb,1995,30167000000
alb,1996,29629954000
alb,1997,32817102000
alb,1998,56068290000
alb,2002,100635310000
alb,2003,116544760000
alb,2004,132520460000
alb,2011,234398630000
alb,2012,233018460000
alb,2013,222802900000
alb,2014,255367830000
alb,2015,265573270000
alb,2016,259012440000
alb,2017,292877950000
alb,2018,303547340000
alb,2019,306985340000
are,1997,2872000000
are,1998,2990000000
are,1999,3481000000
are,2011,4139235254.74
are,2012,5004550466.9
are,2013,5307334205
are,2014,5266555942.6
are,2015,759347330.52
are,2016,570323390.73
are,2017,941124350.67
are,2018,919656176.04
are,2019,14924513139
arg,1990,3334800000
arg,1991,9059800000
arg,1992,12573700000
arg,1993,18956200000
arg,1994,20920700000
arg,1995,20782800000
arg,1996,22239500000
arg,1997,25449700000
arg,1998,26996600000
arg,1999,25732900000
arg,2000,27347800000
arg,2001,25055700000
arg,2002,30692100000
arg,2003,47059282177.48
arg,2004,63553873916.38
arg,2005,76331000000
arg,2006,92200500000
arg,2007,111658500000
arg,2008,153108100000
arg,2009,154531600000
arg,2010,213581700000
arg,2011,275943500000
arg,2012,341684800000
arg,2013,416961600000
arg,2014,577467060000
arg,2015,734578650000
arg,2016,995383800000
arg,2017,1166188900000
arg,2018,1473359000000
arg,2019,2283987271109.47021
arm,2004,267043777700
arm,2005,321531856485.29999
arm,2006,382384726600
arm,2007,502705361964.5
arm,2008,618079775884.5
arm,2009,518556617311.40002
arm,2010,590658379399.93994
arm,2011,650540284311
arm,2012,746274000000
arm,2013,983389805236.5
arm,2014,1042943423026
arm,2015,1055694002803
arm,2016,1078187054313
arm,2017,1156338063844
arm,2018,1255761498131
arm,2019,1458190451561
aus,1972,7948000000
aus,1973,8479000000
aus,1974,10900000000
aus,1975,14162000000
aus,1976,16920000000
aus,1977,19755000000
aus,1978,21438000000
aus,1979,23477000000
aus,1980,27478000000
aus,1981,32700000000
aus,1982,37961000000
aus,1983,41131000000
aus,1984,44902000000
aus,1985,52971000000
aus,1986,58840000000
aus,1987,66469000000
aus,1988,75073000000
aus,1989,83393000000
aus,1990,90774000000
aus,1991,92737000000
aus,1992,87365000000
aus,1993,88759000000
aus,1994,93359000000
aus,1995,104919000000
aus,1996,115698000000
aus,1997,124557000000
aus,1998,130981000000
aus,1999,139378000000
aus,2000,152575000000
aus,2001,175845000000
aus,2002,178129000000
aus,2003,195155000000
aus,2004,209613000000
aus,2005,229089000000
aus,2006,245016000000
aus,2007,261794000000
aus,2008,285561000000
aus,2009,277782000000
aus,2010,267099000000
aus,2011,288287000000
aus,2012,316642000000
aus,2013,337344000000
aus,2014,350220000000
aus,2015,355227000000
aus,2016,369251000000
aus,2017,388558000000
aus,2018,427289000000
aus,2019,455632000000
aut,1972,6629215932.79216
aut,1973,7642275241.09213
aut,1974,8794139662.6527
aut,1975,9132068341.53325
aut,1976,10004142351.5476
aut,1977,11143652391.2996
aut,1978,12296243541.2019
aut,1979,13324564144.6771
aut,1980,14333263082.927
aut,1981,15579602188.9058
aut,1982,16073050732.9055
aut,1983,16977100789.9537
aut,1984,18747411030.2828
aut,1985,18887669600.2267
aut,1986,19748115956.7742
aut,1987,20216129008.8152
aut,1988,22209544850.0396
aut,1989,22788020610.0158
aut,1990,24732745652.34769
aut,1991,26790113587.6398
aut,1992,29476101538.48389
aut,1993,30472446094.9253
aut,1994,30995690500.9338
aut,1995,43445940000
aut,1996,47351170000
aut,1997,50573650000
aut,1998,52797300000
aut,1999,54280970000
aut,2000,56018470000
aut,2001,61671100000
aut,2002,61162960000
aut,2003,61784320000
aut,2004,63758610000
aut,2005,64824590000
aut,2006,67091210000
aut,2007,72107670000
aut,2008,76605820000
aut,2009,72659580000
aut,2010,74807510000
aut,2011,78859470000
aut,2012,82620990000
aut,2013,85561440000
aut,2014,88010190000
aut,2015,92354240000
aut,2016,90900970000
aut,2017,93900010000
aut,2018,97998870000
aut,2019,101697080000
aze,1994,95770200
aze,1995,383104000
aze,1996,269173600
aze,1997,337742600
aze,1998,436245200
aze,1999,480700800
aze,2008,6591000000
aze,2009,5022200000
aze,2010,5162800000
aze,2011,6366900000
aze,2012,6995500000
aze,2013,7789600000
aze,2014,8387400000
aze,2015,8485000000
aze,2016,8795200000
aze,2017,9259300000
aze,2018,10388951000
aze,2019,11644700000
bdi,1973,2520000000
bdi,1974,2903000000
bdi,1975,2936000000
bdi,1976,4397000000
bdi,1977,6642000000
bdi,1978,8219000000
bdi,1979,9926000000
bdi,1980,10765000000
bdi,1981,10125000000
bdi,1991,32087000000
bdi,1992,34117000000
bdi,1993,34023000000
bdi,1994,36498000000
bdi,1995,41673000000
bdi,1996,35358000000
bdi,1997,39149000000
bdi,1998,57419330000
bdi,1999,61922750000
bel,1995,53932400000
bel,1996,55778700000
bel,1997,59537100000
bel,1998,63187700000
bel,1999,65446100000
bel,2000,69926000000
bel,2001,70806100000
bel,2002,70260500000
bel,2003,70515500000
bel,2004,75801700000
bel,2005,78970700000
bel,2006,82223500000
bel,2007,85178100000
bel,2008,88829800000
bel,2009,82396300000
bel,2010,88854000000
bel,2011,93753800000
bel,2012,99726300000
bel,2013,102898600000
bel,2014,105323000000
bel,2015,101485700000
bel,2016,98241500000
bel,2017,104351400000
bel,2018,110442000000
bel,2019,108125000000
ben,1976,21791000000
ben,1977,23905000000
ben,1978,25697000000
ben,1979,27225000000
bfa,2002,242778222156
bfa,2003,271103148478.89999
bfa,2004,324603571361.70001
bfa,2005,338646215911
bfa,2006,368679754283
bfa,2007,411682290052
bfa,2008,444671069165
bfa,2009,494578784550
bfa,2010,565750000000
bfa,2011,695634000000
bfa,2012,890778000000
bfa,2013,992610000000
bfa,2014,940681612702
bfa,2015,928991340559.84802
bfa,2016,1075300000000
bfa,2017,1250051305170
bfa,2018,1349720677436.80005
bfa,2019,1469247734439.83008
bgd,2001,192607560000
bgd,2002,210297090000
bgd,2003,242612470000
bgd,2004,270086140000
bgd,2005,304745986000
bgd,2006,339724591000
bgd,2007,380310894000
bgd,2008,481320971000
bgd,2009,528671033000
bgd,2010,624846429000
bgd,2011,795482000000
bgd,2012,952275500000
bgd,2013,1074524500000
bgd,2014,1160313600000
bgd,2015,1288181670000
bgd,2016,1518860000000
bgr,1990,10818000
bgr,1991,30307000
bgr,1992,33942000
bgr,1993,45474000
bgr,1994,111632000
bgr,1995,156395000
bgr,1996,299309000
bgr,1997,2813728000
bgr,1998,4269325000
bgr,1999,4228466000
bgr,2000,4792168000
bgr,2001,5311283000
bgr,2002,5210915000
bgr,2003,7243942000
bgr,2004,8674727000
bgr,2005,9548149000
bgr,2006,11235579000
bgr,2007,14522003000
bgr,2008,16136459000
bgr,2009,13891750000
bgr,2010,13795981000
bgr,2011,14326025000
bgr,2012,15601583000
bgr,2013,16388235000
bgr,2014,16435580000
bgr,2015,18131664000
bgr,2016,19274721000
bgr,2017,20572235000
bgr,2018,22138949000
bgr,2019,24355087000
bhr,1974,56400000
bhr,1975,61400000
bhr,1976,48300000
bhr,1977,56300000
bhr,1978,56200000
bhr,1979,61400000
bhr,1980,39900000
bhr,1981,49000000
bhr,1982,56700000
bhr,1983,75900000
bhr,1984,83900000
bhr,1985,80900000
bhr,1986,73800000
bhr,1987,67800000
bhr,1988,67900000
bhr,1989,75200000
bhr,1990,82500000
bhr,1991,87500000
bhr,1992,96300000
bhr,1993,104600000
bhr,1994,108300000
bhr,1995,105500000
bhr,1996,115700000
bhr,1997,121700000
bhr,1998,131700000
bhr,1999,124800000
bhr,2000,127200000
bhr,2001,138500000
bhr,2002,129100000
bhr,2003,137700000
bhr,2004,208500000
bhs,1990,438900000
bhs,1991,424300000
bhs,1992,479800000
bhs,1993,476000000
bhs,1994,544800000
bhs,1995,594800000
bhs,1996,615300000
bhs,1997,658264000
bhs,1998,681443000
bhs,1999,793258000
bhs,2000,862461000
bhs,2001,820100000
bhs,2002,799224000
bhs,2003,823900000
bhs,2004,853763000
bhs,2005,983788000
bhs,2006,1143646000
bhs,2007,1206123000
bhs,2008,1275895000
bhs,2009,1123177000
bhs,2010,1086537486.05
bhs,2011,1310268350.42
bhs,2012,1290668564.4
bhs,2013,1233120929.29
bhs,2014,1257267989.35
bhs,2015,1503543948.08
bhs,2016,1679252103
bhs,2017,1840965190.41
bhs,2018,1835674000
bhs,2019,2198698000
bih,2005,3509962721.37
bih,2006,4350400905.82
bih,2007,4823949756.42
bih,2008,5180963259.33
bih,2009,4698398594.79
bih,2010,4993262488.64
bih,2011,5326432261
bih,2012,5369765873
bih,2013,5289217551
bih,2014,5410978730.78
bih,2015,5699003690.42
bih,2016,5966385796.87174
bih,2017,6356617720.25
bih,2018,6836219544.64
bih,2019,7094923814.23
blr,1992,1890
blr,1993,26240
blr,1994,440380
blr,1995,2414420
blr,1996,3606530
blr,1997,7606070
blr,1998,12015610
blr,1999,50451980
blr,2000,151847000
blr,2001,270558000
blr,2002,371191000
blr,2003,646762640
blr,2004,918416700
blr,2005,1311079700
blr,2006,1761558200
blr,2007,2305411800
blr,2008,3290636667.7
blr,2009,2647085700
blr,2010,2782247049.51
blr,2011,4457840000
blr,2012,8029690000
blr,2013,8957020000
blr,2014,10231733730
blr,2015,12743002304.98
blr,2016,13091791831.6
blr,2017,13767364091
blr,2018,17947442346.2
blr,2019,17921398553.17
blz,1990,176836000
blz,1991,184212000
blz,1992,206628000
blz,1993,218590000
blz,1994,231371000
blz,1995,232589000
blz,1996,250638000
blz,1997,257214000
blz,1998,271441000
blz,1999,255013000
blz,2000,296677000
blz,2001,326111000
blz,2002,359961000
blz,2003,379795000
blz,2004,416017000
blz,2005,474746000
blz,2006,530429000
blz,2007,591664000
blz,2008,593959000
blz,2009,601126000
blz,2010,659344000
blz,2011,671122000
blz,2012,704064096.84
blz,2013,751862396.09
blz,2014,849419290.42
blz,2015,864329903.14
blz,2016,924672689.13
blz,2017,967444231.6
bol,1985,195400000
bol,1986,610300000
bol,1987,710200000
bol,1988,786700000
bol,1989,900600000
bol,1990,1117500000
bol,1991,1517700000
bol,1992,1959200000
bol,1993,2327600000
bol,1994,2776200000
bol,1995,3134000000
bol,1996,4614700000
bol,1997,5255600000
bol,1998,6342800000
bol,1999,5797900000
bol,2000,6403200000
bol,2001,6337870000
bol,2002,7473057692.3
bol,2003,8030864313.94
bol,2004,10455300000
bol,2005,12489538389.62
bol,2006,15428463542.931
bol,2007,17475369491.8954
bra,2010,553715366061.06494
bra,2011,649950650203.849
bra,2012,690068977886.65198
bra,2013,753118558834.12097
bra,2014,779587999258.52612
bra,2015,817208787504.56995
bra,2016,859555124151.26685
bra,2017,895973454781.547
bra,2018,976401719652.45789
bra,2019,1017440878980.5
brb,2003,1620375000
brb,2004,1775600000
brb,2005,2042267000
brb,2006,2132761547.32
brb,2007,2426717861
brb,2008,2433534913
brb,2009,2207266284
brb,2010,2238991503
brb,2011,2417521474
brb,2012,2256243148
brb,2013,2158077436
brb,2014,2208882866
brb,2015,2394447508
brb,2016,2655964506
btn,1982,76500000
btn,1983,105000000
btn,1984,138600000
btn,1985,135900000
btn,1986,171500000
btn,1988,235900000
btn,1989,232500000
btn,1990,231700000
btn,1991,281600000
btn,1992,328200000
btn,1993,447100000
btn,1994,503300000
btn,1995,649800000
btn,1996,844200000
btn,1997,868900000
btn,1998,1246390000
btn,1999,1265800000
btn,2000,1977100000
btn,2001,1916900000
btn,2002,2414588000
btn,2003,2713560000
btn,2004,2446597000
btn,2005,3014127000
btn,2006,3673222000
btn,2007,3718873000
btn,2008,4607218000
btn,2009,5654082000
btn,2010,9528495680
btn,2011,11474687302
btn,2012,14329633506
btn,2013,15151183529
btn,2014,15943695000
btn,2015,17046312561.61
btn,2016,18829682592.579
btn,2017,20012782000
