geo,time,sp_pop_brth_mf
abw,1962,1.05
abw,1967,1.05
abw,1972,1.05
abw,1977,1.05
abw,1982,1.05
abw,1987,1.05
abw,1990,1.05
abw,1992,1.05
abw,1997,1.05
abw,2002,1.05
abw,2007,1.05
abw,2008,1.05
abw,2009,1.05
abw,2010,1.05
abw,2011,1.05
abw,2012,1.05
abw,2013,1.05
abw,2014,1.05
abw,2015,1.05
abw,2016,1.05
abw,2017,1.05
abw,2018,1.05
abw,2019,1.05
abw,2020,1.05
afg,1962,1.06
afg,1967,1.06
afg,1972,1.06
afg,1977,1.06
afg,1982,1.06
afg,1987,1.06
afg,1990,1.06
afg,1992,1.06
afg,1997,1.06
afg,2002,1.06
afg,2007,1.06
afg,2008,1.06
afg,2009,1.06
afg,2010,1.06
afg,2011,1.06
afg,2012,1.06
afg,2013,1.06
afg,2014,1.06
afg,2015,1.06
afg,2016,1.06
afg,2017,1.06
afg,2018,1.06
afg,2019,1.06
afg,2020,1.06
ago,1962,1.02
ago,1967,1.02
ago,1972,1.02
ago,1977,1.02
ago,1982,1.02
ago,1987,1.02
ago,1990,1.02
ago,1992,1.02
ago,1997,1.02
ago,2002,1.02
ago,2007,1.02
ago,2008,1.022
ago,2009,1.024
ago,2010,1.026
ago,2011,1.028
ago,2012,1.03
ago,2013,1.03
ago,2014,1.03
ago,2015,1.03
ago,2016,1.03
ago,2017,1.03
ago,2018,1.03
ago,2019,1.03
ago,2020,1.03
alb,1962,1.06
alb,1967,1.062
alb,1972,1.066
alb,1977,1.074
alb,1982,1.085
alb,1987,1.08
alb,1990,1.084
alb,1992,1.086
alb,1997,1.094
alb,2002,1.116
alb,2007,1.122
alb,2008,1.118
alb,2009,1.113
alb,2010,1.109
alb,2011,1.104
alb,2012,1.1
alb,2013,1.097
alb,2014,1.094
alb,2015,1.092
alb,2016,1.089
alb,2017,1.086
alb,2018,1.085
alb,2019,1.084
alb,2020,1.084
are,1962,1.045
are,1967,1.045
are,1972,1.045
are,1977,1.045
are,1982,1.045
are,1987,1.045
are,1990,1.045
are,1992,1.045
are,1997,1.045
are,2002,1.045
are,2007,1.045
are,2008,1.045
are,2009,1.045
are,2010,1.045
are,2011,1.045
are,2012,1.045
are,2013,1.045
are,2014,1.045
are,2015,1.045
are,2016,1.045
are,2017,1.045
are,2018,1.045
are,2019,1.045
are,2020,1.045
arg,1962,1.04
arg,1967,1.04
arg,1972,1.04
arg,1977,1.04
arg,1982,1.04
arg,1987,1.04
arg,1990,1.04
arg,1992,1.04
arg,1997,1.04
arg,2002,1.04
arg,2007,1.04
arg,2008,1.04
arg,2009,1.04
arg,2010,1.04
arg,2011,1.04
arg,2012,1.04
arg,2013,1.04
arg,2014,1.04
arg,2015,1.04
arg,2016,1.04
arg,2017,1.04
arg,2018,1.04
arg,2019,1.04
arg,2020,1.04
arm,1962,1.064
arm,1967,1.064
arm,1972,1.057
arm,1977,1.052
arm,1982,1.05
arm,1987,1.058
arm,1990,1.069
arm,1992,1.077
arm,1997,1.151
arm,2002,1.173
arm,2007,1.151
arm,2008,1.148
arm,2009,1.146
arm,2010,1.143
arm,2011,1.141
arm,2012,1.138
arm,2013,1.133
arm,2014,1.128
arm,2015,1.123
arm,2016,1.118
arm,2017,1.113
arm,2018,1.109
arm,2019,1.106
arm,2020,1.102
atg,1962,1.03
atg,1967,1.03
atg,1972,1.03
atg,1977,1.03
atg,1982,1.03
atg,1987,1.03
atg,1990,1.03
atg,1992,1.03
atg,1997,1.03
atg,2002,1.03
atg,2007,1.03
atg,2008,1.03
atg,2009,1.03
atg,2010,1.03
atg,2011,1.03
atg,2012,1.03
atg,2013,1.03
atg,2014,1.03
atg,2015,1.03
atg,2016,1.03
atg,2017,1.03
atg,2018,1.03
atg,2019,1.03
atg,2020,1.03
aus,1962,1.058
aus,1967,1.055
aus,1972,1.053
aus,1977,1.056
aus,1982,1.055
aus,1987,1.054
aus,1990,1.055
aus,1992,1.056
aus,1997,1.054
aus,2002,1.055
aus,2007,1.056
aus,2008,1.056
aus,2009,1.056
aus,2010,1.057
aus,2011,1.057
aus,2012,1.057
aus,2013,1.057
aus,2014,1.056
aus,2015,1.056
aus,2016,1.055
aus,2017,1.055
aus,2018,1.055
aus,2019,1.055
aus,2020,1.055
aut,1962,1.055
aut,1967,1.055
aut,1972,1.055
aut,1977,1.055
aut,1982,1.055
aut,1987,1.055
aut,1990,1.055
aut,1992,1.055
aut,1997,1.055
aut,2002,1.055
aut,2007,1.055
aut,2008,1.055
aut,2009,1.055
aut,2010,1.055
aut,2011,1.055
aut,2012,1.055
aut,2013,1.055
aut,2014,1.055
aut,2015,1.055
aut,2016,1.055
aut,2017,1.055
aut,2018,1.055
aut,2019,1.055
aut,2020,1.055
aze,1962,1.062
aze,1967,1.062
aze,1972,1.062
aze,1977,1.062
aze,1982,1.062
aze,1987,1.062
aze,1990,1.073
aze,1992,1.08
aze,1997,1.13
aze,2002,1.17
aze,2007,1.166
aze,2008,1.164
aze,2009,1.163
aze,2010,1.161
aze,2011,1.16
aze,2012,1.158
aze,2013,1.151
aze,2014,1.145
aze,2015,1.138
aze,2016,1.132
aze,2017,1.125
aze,2018,1.124
aze,2019,1.123
aze,2020,1.121
bdi,1962,1.03
bdi,1967,1.03
bdi,1972,1.03
bdi,1977,1.03
bdi,1982,1.03
bdi,1987,1.03
bdi,1990,1.03
bdi,1992,1.03
bdi,1997,1.03
bdi,2002,1.03
bdi,2007,1.03
bdi,2008,1.03
bdi,2009,1.03
bdi,2010,1.03
bdi,2011,1.03
bdi,2012,1.03
bdi,2013,1.03
bdi,2014,1.03
bdi,2015,1.03
bdi,2016,1.03
bdi,2017,1.03
bdi,2018,1.03
bdi,2019,1.03
bdi,2020,1.03
bel,1962,1.059
bel,1967,1.059
bel,1972,1.058
bel,1977,1.059
bel,1982,1.057
bel,1987,1.058
bel,1990,1.054
bel,1992,1.051
bel,1997,1.043
bel,2002,1.05
bel,2007,1.05
bel,2008,1.05
bel,2009,1.05
bel,2010,1.05
bel,2011,1.05
bel,2012,1.05
bel,2013,1.05
bel,2014,1.05
bel,2015,1.05
bel,2016,1.05
bel,2017,1.05
bel,2018,1.05
bel,2019,1.05
bel,2020,1.05
ben,1962,1.041
ben,1967,1.041
ben,1972,1.041
ben,1977,1.041
ben,1982,1.041
ben,1987,1.041
ben,1990,1.041
ben,1992,1.041
ben,1997,1.041
ben,2002,1.041
ben,2007,1.041
ben,2008,1.041
ben,2009,1.041
ben,2010,1.041
ben,2011,1.041
ben,2012,1.041
ben,2013,1.041
ben,2014,1.041
ben,2015,1.041
ben,2016,1.041
ben,2017,1.041
ben,2018,1.041
ben,2019,1.041
ben,2020,1.041
bfa,1962,1.046
bfa,1967,1.046
bfa,1972,1.046
bfa,1977,1.046
bfa,1982,1.046
bfa,1987,1.046
bfa,1990,1.046
bfa,1992,1.046
bfa,1997,1.046
bfa,2002,1.046
bfa,2007,1.046
bfa,2008,1.046
bfa,2009,1.046
bfa,2010,1.046
bfa,2011,1.046
bfa,2012,1.046
bfa,2013,1.046
bfa,2014,1.046
bfa,2015,1.046
bfa,2016,1.046
bfa,2017,1.046
bfa,2018,1.046
bfa,2019,1.046
bfa,2020,1.046
bgd,1962,1.049
bgd,1967,1.049
bgd,1972,1.049
bgd,1977,1.049
bgd,1982,1.049
bgd,1987,1.049
bgd,1990,1.049
bgd,1992,1.049
bgd,1997,1.049
bgd,2002,1.049
bgd,2007,1.049
bgd,2008,1.049
bgd,2009,1.049
bgd,2010,1.049
bgd,2011,1.049
bgd,2012,1.049
bgd,2013,1.049
bgd,2014,1.049
bgd,2015,1.049
bgd,2016,1.049
bgd,2017,1.049
bgd,2018,1.049
bgd,2019,1.049
bgd,2020,1.049
bgr,1962,1.058
bgr,1967,1.062
bgr,1972,1.061
bgr,1977,1.061
bgr,1982,1.061
bgr,1987,1.06
bgr,1990,1.055
bgr,1992,1.052
bgr,1997,1.058
bgr,2002,1.064
bgr,2007,1.057
bgr,2008,1.058
bgr,2009,1.058
bgr,2010,1.059
bgr,2011,1.059
bgr,2012,1.06
bgr,2013,1.06
bgr,2014,1.06
bgr,2015,1.06
bgr,2016,1.06
bgr,2017,1.06
bgr,2018,1.06
bgr,2019,1.06
bgr,2020,1.06
bhr,1962,1.05
bhr,1967,1.05
bhr,1972,1.05
bhr,1977,1.05
bhr,1982,1.05
bhr,1987,1.048
bhr,1990,1.046
bhr,1992,1.045
bhr,1997,1.042
bhr,2002,1.04
bhr,2007,1.038
bhr,2008,1.037
bhr,2009,1.037
bhr,2010,1.036
bhr,2011,1.036
bhr,2012,1.035
bhr,2013,1.036
bhr,2014,1.036
bhr,2015,1.037
bhr,2016,1.037
bhr,2017,1.038
bhr,2018,1.038
bhr,2019,1.039
bhr,2020,1.039
bhs,1962,1.057
bhs,1967,1.057
bhs,1972,1.057
bhs,1977,1.057
bhs,1982,1.057
bhs,1987,1.057
bhs,1990,1.057
bhs,1992,1.057
bhs,1997,1.057
bhs,2002,1.057
bhs,2007,1.057
bhs,2008,1.057
bhs,2009,1.057
bhs,2010,1.057
bhs,2011,1.057
bhs,2012,1.057
bhs,2013,1.057
bhs,2014,1.057
bhs,2015,1.057
bhs,2016,1.057
bhs,2017,1.057
bhs,2018,1.057
bhs,2019,1.057
bhs,2020,1.057
bih,1962,1.065
bih,1967,1.065
bih,1972,1.065
bih,1977,1.065
bih,1982,1.065
bih,1987,1.065
bih,1990,1.065
bih,1992,1.065
bih,1997,1.065
bih,2002,1.065
bih,2007,1.065
bih,2008,1.063
bih,2009,1.06
bih,2010,1.058
bih,2011,1.055
bih,2012,1.053
bih,2013,1.055
bih,2014,1.058
bih,2015,1.06
bih,2016,1.063
bih,2017,1.065
bih,2018,1.062
bih,2019,1.059
bih,2020,1.056
blr,1962,1.06
blr,1967,1.057
blr,1972,1.056
blr,1977,1.053
blr,1982,1.052
blr,1987,1.06
blr,1990,1.063
blr,1992,1.065
blr,1997,1.066
blr,2002,1.061
blr,2007,1.063
blr,2008,1.063
blr,2009,1.063
blr,2010,1.064
blr,2011,1.064
blr,2012,1.064
blr,2013,1.064
blr,2014,1.064
blr,2015,1.063
blr,2016,1.063
blr,2017,1.063
blr,2018,1.063
blr,2019,1.063
blr,2020,1.063
blz,1962,1.03
blz,1967,1.03
blz,1972,1.03
blz,1977,1.03
blz,1982,1.03
blz,1987,1.03
blz,1990,1.03
blz,1992,1.03
blz,1997,1.03
blz,2002,1.03
blz,2007,1.03
blz,2008,1.03
blz,2009,1.03
blz,2010,1.03
blz,2011,1.03
blz,2012,1.03
blz,2013,1.03
blz,2014,1.03
blz,2015,1.03
blz,2016,1.03
blz,2017,1.03
blz,2018,1.03
blz,2019,1.03
blz,2020,1.03
bol,1962,1.05
bol,1967,1.05
bol,1972,1.05
bol,1977,1.05
bol,1982,1.05
bol,1987,1.05
bol,1990,1.05
bol,1992,1.05
bol,1997,1.05
bol,2002,1.05
bol,2007,1.05
bol,2008,1.05
bol,2009,1.05
bol,2010,1.05
bol,2011,1.05
bol,2012,1.05
bol,2013,1.05
bol,2014,1.05
bol,2015,1.05
bol,2016,1.05
bol,2017,1.05
bol,2018,1.05
bol,2019,1.05
bol,2020,1.05
bra,1962,1.05
bra,1967,1.05
bra,1972,1.05
bra,1977,1.05
bra,1982,1.05
bra,1987,1.05
bra,1990,1.05
bra,1992,1.05
bra,1997,1.05
bra,2002,1.05
