geo,time,nv_agr_totl_cn
abw,1995,11960000
abw,1996,12000000
abw,1997,11790000
abw,1998,12160000
abw,1999,11820000
abw,2000,13750000
abw,2001,13925000
abw,2002,13977000
abw,2003,14522000
abw,2004,15623000
abw,2005,16132000
abw,2006,17089000
abw,2007,18969000
abw,2008,18709000
abw,2009,19699000
afg,2002,70365619000
afg,2003,82829840700
afg,2004,74240830400
afg,2005,95884540600
afg,2006,99667031800
afg,2007,146135462000
afg,2008,128206854700
afg,2009,179210501500
afg,2010,190345675000
afg,2011,201903599800
afg,2012,250931898100
afg,2013,259770060700
afg,2014,260435536800
afg,2015,252307521300
afg,2016,314782645600
afg,2017,339621177400
afg,2018,292661422900
afg,2019,378773321200
afg,2020,414992202600
ago,1995,999000
ago,1996,58709000
ago,1997,157696000
ago,1998,329984000
ago,1999,1080100000
ago,2000,5192600000
ago,2001,16077100000
ago,2002,38855489600
ago,2003,82372811000
ago,2004,122990460900
ago,2005,163063995600
ago,2006,218540540700
ago,2007,262446015200
ago,2008,319235655100
ago,2009,369286721800
ago,2010,475984636000
ago,2011,613851558700
ago,2012,742009231600
ago,2013,858663871900
ago,2014,1081029771700
ago,2015,1272620091500
ago,2016,1627015680800
ago,2017,2029673372800
ago,2018,2205969861000
ago,2019,2172834679700
ago,2020,3204393590000
alb,1996,121743000000
alb,1997,104511000000
alb,1998,110781000000
alb,1999,114974000000
alb,2000,122871000000
alb,2001,127994000000
alb,2002,134462000000
alb,2003,148955000000
alb,2004,151496000000
alb,2005,151547000000
alb,2006,154547000000
alb,2007,165623000000
alb,2008,181954000000
alb,2009,192117000000
alb,2010,222589000000
alb,2011,237062000000
alb,2012,250126000000
alb,2013,264140000000
alb,2014,278924000000
alb,2015,283709000000
alb,2016,292287000000
alb,2017,294966000000
alb,2018,301641000000
alb,2019,311130000000
alb,2020,309305570000
are,1975,315000000
are,1976,414000000
are,1977,471000000
are,1978,579000000
are,1979,652000000
are,1980,793000000
are,1981,993000000
are,1982,1096000000
are,1983,1148000000
are,1984,1293000000
are,1985,1380000000
are,1986,1476000000
are,1987,1527000000
are,1988,1595000000
are,1989,1816000000
are,1990,1970000000
are,1991,2456000000
are,1992,2745000000
are,1993,3024000000
are,1994,3985000000
are,1995,4313000000
are,1996,4841000000
are,1997,5800000000
are,1998,6061000000
are,1999,7236000000
are,2000,8670000000
are,2001,8492000000
are,2002,8886000000
are,2003,8803000000
are,2004,9041000000
are,2005,9256000000
are,2006,8926000000
are,2007,9251000000
are,2008,9585000000
are,2009,9655000000
are,2010,8125000000
are,2011,8653000000
are,2012,8789000000
are,2013,9223000000
are,2014,9468000000
are,2015,9746000000
are,2016,10176000000
are,2017,10912000000
are,2018,11144656700
are,2019,11448434472.5131
are,2020,12106772445.7109
arg,1965,0.06218
arg,1966,0.0618
arg,1967,0.07989
arg,1968,0.08995
arg,1969,0.10049
arg,1970,0.11567
arg,1971,0.18088
arg,1972,0.30523
arg,1973,0.56523
arg,1974,0.66698
arg,1975,1.27743
arg,1976,8.34285
arg,1977,22.9598
arg,1978,53.1772
arg,1979,150.63499
arg,1980,244
arg,1981,484
arg,1982,2097
arg,1983,9480
arg,1984,66010
arg,1985,405000
arg,1986,778800
arg,1987,1888600
arg,1988,9971000
arg,1989,311948992
arg,1990,5599000064
arg,1991,12149999600
arg,1992,13577400300
arg,1993,12148850100
arg,1994,13084820500
arg,1995,13808477800
arg,1996,15269958100
arg,1997,15293015300
arg,1998,15702922200
arg,1999,12638962300
arg,2000,13300482400
arg,2001,12275651800
arg,2002,31903936300
arg,2003,38824560700
arg,2004,40567693200
arg,2005,46246274100
arg,2006,49652058300
arg,2007,66846137400
arg,2008,84142075400
arg,2009,65811090800
arg,2010,118516719000
arg,2011,152504095800
arg,2012,152517431100
arg,2013,202670381800
arg,2014,307380495400
arg,2015,307055423900
arg,2016,515458471200
arg,2017,557702899400
arg,2018,669101652100
arg,2019,1114316919400
arg,2020,1630310180000
arm,2012,764237500000
arm,2013,839821100000
arm,2014,872631100000
arm,2015,868671000000
arm,2016,830553400000
arm,2017,834354600000
arm,2018,838913800000
arm,2019,754157800000
arm,2020,693176200000
atg,1977,10401115
atg,1978,10664507
atg,1979,10536607
atg,1980,10894680
atg,1981,11808038
atg,1982,11979184
atg,1983,13176538
atg,1984,11462113
atg,1985,13841523
atg,1986,14674462
atg,1987,17379720
atg,1988,19026500
atg,1989,20215339
atg,1990,22090000
atg,1991,23150000
atg,1992,24300000
atg,1993,25220000
atg,1994,25090000
atg,1995,25610000
atg,1996,27640000
atg,1997,31590000
atg,1998,32750000
atg,1999,34500000
atg,2000,35630000
atg,2001,34870000
atg,2002,38060000
atg,2003,40420000
atg,2004,39980000
atg,2005,48510000
atg,2006,51640000
atg,2007,56920000
atg,2008,57250000
atg,2009,49470000
atg,2010,50660000
atg,2011,59380000
atg,2012,61520000
atg,2013,64350000
atg,2014,55870000
atg,2015,58190000
atg,2016,60820000
atg,2017,71090000
atg,2018,75270000
atg,2019,78980000
atg,2020,81920000
aus,1990,16974000000
aus,1991,13173000000
aus,1992,12882000000
aus,1993,14452000000
aus,1994,15578000000
aus,1995,14925000000
aus,1996,17875000000
aus,1997,17979000000
aus,1998,17848000000
aus,1999,18952000000
aus,2000,20612000000
aus,2001,24739000000
aus,2002,29839000000
aus,2003,23184000000
aus,2004,26451000000
aus,2005,26702000000
aus,2006,27293000000
aus,2007,24017000000
aus,2008,27623000000
aus,2009,29018000000
aus,2010,28744000000
aus,2011,32505000000
aus,2012,34017000000
aus,2013,35119000000
aus,2014,35503000000
aus,2015,38569000000
aus,2016,39856000000
aus,2017,47545000000
aus,2018,45296000000
aus,2019,41199000000
aus,2020,39738000000
aut,1976,2859892000
aut,1977,2730386000
aut,1978,2890855000
aut,1979,3080739000
aut,1980,3337897000
aut,1981,3261416000
aut,1982,3221639000
aut,1983,3212485000
aut,1984,3541421000
aut,1985,3270916000
aut,1986,3545807000
aut,1987,3647891000
aut,1988,3647345000
aut,1989,3854225000
aut,1990,4260048000
aut,1991,4145639000
aut,1992,3822035000
aut,1993,3547562000
aut,1994,4006836000
aut,1995,3812270000
aut,1996,3618820000
aut,1997,3596100000
aut,1998,3521170000
aut,1999,3510750000
aut,2000,3518740000
aut,2001,3684320000
aut,2002,3543360000
aut,2003,3459230000
aut,2004,3578210000
aut,2005,3199820000
aut,2006,3490260000
aut,2007,4022240000
aut,2008,3942940000
aut,2009,3303340000
aut,2010,3749980000
aut,2011,4347740000
aut,2012,4297200000
aut,2013,4064170000
aut,2014,4000220000
aut,2015,3889520000
aut,2016,3970580000
aut,2017,4471260000
aut,2018,4355890000
aut,2019,4259740000
aut,2020,4172180000
aze,1990,77700
aze,1991,162900
aze,1992,1256100
aze,1993,8512400
aze,1994,121199200
aze,1995,540800000
aze,1996,682100000
aze,1997,635700000
aze,1998,624400000
aze,1999,694600000
aze,2000,758900000
aze,2001,788700000
aze,2002,846000000
aze,2003,888000000
aze,2004,937300000
aze,2005,1137900000
aze,2006,1329400000
aze,2007,1901000000
aze,2008,2246000000
aze,2009,2179500000
aze,2010,2344600000
aze,2011,2643500000
aze,2012,2813700000
aze,2013,3122200000
aze,2014,3139200000
aze,2015,3359300000
aze,2016,3386800000
aze,2017,3944100000
aze,2018,4174800000
aze,2019,4664200000
aze,2020,5016300000
bdi,1970,13875800000
bdi,1971,14327700000
bdi,1972,13124200000
bdi,1973,15420100000
bdi,1974,16594900000
bdi,1975,20323800000
bdi,1976,23002500000
bdi,1977,27388900000
bdi,1978,29637200000
bdi,1979,37911200000
bdi,1980,47655400000
bdi,1981,50708600000
bdi,1982,47977500000
bdi,1983,53834100000
bdi,1984,64592100000
bdi,1985,77656300000
bdi,1986,72057400000
bdi,1987,70679800000
bdi,1988,73270400000
bdi,1989,83285000000
bdi,1990,98988000000
bdi,1991,102978000000
bdi,1992,108298199000
bdi,1993,107500000000
bdi,1994,95200000000
bdi,1995,105000000000
bdi,1996,140445204500
bdi,1997,145422150300
bdi,1998,178243893600
bdi,1999,216931175000
bdi,2000,276698103100
bdi,2001,319198460500
bdi,2002,332904081600
bdi,2003,363929238700
bdi,2004,422217326900
bdi,2005,493545000000
bdi,2006,532313000000
bdi,2007,512565000000
bdi,2008,726325000000
bdi,2009,804752000000
bdi,2010,961166000000
bdi,2011,1034898000000
bdi,2012,1192188000000
bdi,2013,1462746000000
bdi,2014,1463000000000
bdi,2015,1497161000000
bdi,2016,1544757900000
bdi,2017,1565803000000
bdi,2018,1570845000000
bdi,2019,1606584709600
bdi,2020,1775442980100
bel,1995,2750300000
bel,1996,2846400000
bel,1997,3004800000
bel,1998,2921000000
bel,1999,2607800000
bel,2000,3015000000
bel,2001,2932400000
bel,2002,2823100000
bel,2003,2894800000
bel,2004,3036200000
bel,2005,2606300000
bel,2006,2950000000
bel,2007,3049700000
bel,2008,2505600000
bel,2009,2235700000
bel,2010,2778400000
bel,2011,2436400000
bel,2012,3016900000
bel,2013,2676200000
bel,2014,2570500000
bel,2015,2860300000
bel,2016,2702800000
bel,2017,2960000000
bel,2018,2774300000
bel,2019,3183900000
bel,2020,2915600000
ben,1960,25600018400
ben,1961,26700013600
ben,1962,25900009500
ben,1963,27200012300
ben,1964,30100023300
ben,1965,31700000800
ben,1966,33600000000
ben,1967,31700000800
ben,1968,31399989200
ben,1969,33100009500
ben,1970,33500000300
ben,1971,31700000800
ben,1972,35399999500
ben,1973,37800001500
ben,1974,42100011000
ben,1975,44300001300
ben,1976,55399989200
ben,1977,58700001300
ben,1978,72399978500
ben,1979,88300003300
ben,1980,105200001000
ben,1981,114600001500
ben,1982,135399997400
ben,1983,138400006100
ben,1984,153000001500
ben,1985,148200996900
ben,1986,155795996700
ben,1987,156270002200
ben,1988,165914001400
ben,1989,181426995200
ben,1990,184929027300
ben,1991,196381040700
ben,1992,201756234100
ben,1993,219753120000
ben,1994,286531460000
ben,1995,358355168100
ben,1996,431261064000
ben,1997,473730641200
ben,1998,529771180200
ben,1999,555294925100
ben,2000,588513429300
ben,2001,672576483700
ben,2002,738553912800
ben,2003,758567710800
ben,2004,865737321600
ben,2005,924215141800
ben,2006,978665512400
ben,2007,1054564645600
ben,2008,1171050243800
ben,2009,1235639393700
ben,2010,1219193558700
ben,2011,1299965819200
ben,2012,1465814333000
ben,2013,1562666804300
ben,2014,1680399640000
ben,2015,1776930000000
ben,2016,1944206000000
ben,2017,2101151062100
ben,2018,2223292527700
ben,2019,2266234112500
ben,2020,2442214172200
bfa,1960,31181307900
bfa,1961,32906360800
bfa,1962,35208364000
bfa,1963,37164220400
bfa,1964,38889971700
bfa,1965,36704018400
bfa,1966,38659874800
bfa,1967,37049172000
bfa,1968,36013719600
bfa,1969,39810375700
bfa,1970,38659874800
bfa,1971,40646737900
bfa,1972,46520303600
bfa,1973,44215296000
bfa,1974,55731327000
bfa,1975,58150379500
bfa,1976,67706552300
bfa,1977,78991482900
bfa,1978,100293779500
bfa,1979,109275693100
bfa,1980,115918594000
bfa,1981,143819767800
bfa,1982,158655234000
bfa,1983,168398503900
bfa,1984,181795340300
bfa,1985,236474007600
bfa,1986,207045001200
bfa,1987,198114000900
bfa,1988,222431002600
bfa,1989,230523994100
bfa,1990,236003000300
bfa,1991,263497007100
bfa,1992,255971999700
bfa,1993,273890000900
bfa,1994,346700906500
bfa,1995,394531733500
bfa,1996,481353302000
bfa,1997,482002141200
bfa,1998,605038051300
bfa,1999,568533927500
bfa,2000,525227779700
bfa,2001,629028274500
bfa,2002,662705913400
bfa,2003,713708594000
bfa,2004,672188930100
bfa,2005,867569486400
bfa,2006,862967194000
bfa,2007,797125582000
bfa,2008,1151389949200
bfa,2009,1031362770600
bfa,2010,1207696100900
bfa,2011,1311834205600
bfa,2012,1523497759400
bfa,2013,1569800466200
bfa,2014,1631189823100
bfa,2015,1583254000000
bfa,2016,1651431000000
bfa,2017,1686227000000
bfa,2018,1853254000000
bfa,2019,1741864012400
bfa,2020,1899110925800
bgd,1960,11793436700
bgd,1961,13409423400
bgd,1962,13907277800
bgd,1963,14591488000
bgd,1964,13794376700
bgd,1965,14975080600
bgd,1966,16675402900
bgd,1967,19446248600
bgd,1968,19238127800
bgd,1969,22531312600
bgd,1970,23551507700
bgd,1971,21437665600
bgd,1972,22490504700
bgd,1973,35638759500
bgd,1974,56452065500
bgd,1975,106947426600
bgd,1976,77995830000
bgd,1977,73006402700
bgd,1978,108945642300
bgd,1979,124262283900
bgd,1980,92161938824.34941
bgd,1981,105721179181.35001
bgd,1982,116726983209.77299
bgd,1983,129893797308.04401
bgd,1984,164131816450.75
bgd,1985,191187861859.45599
bgd,1986,211442104187.617
bgd,1987,246037240722.20901
bgd,1988,259718979779.51697
bgd,1989,282356878849.177
bgd,1990,316967876158.18298
bgd,1991,350088815000
bgd,1992,364813995500
bgd,1993,342522932200
bgd,1994,361896731400
bgd,1995,416440214100
bgd,1996,441903000000
bgd,1997,478878000000
bgd,1998,512576000000
bgd,1999,558550000000
bgd,2000,609990000000
bgd,2001,636523000000
bgd,2002,646919000000
bgd,2003,690117000000
bgd,2004,738491000000
bgd,2005,793121000000
bgd,2006,869847280900
bgd,2007,979002858100
bgd,2008,1106210058400
bgd,2009,1205999159400
bgd,2010,1355910000000
bgd,2011,1539507000000
bgd,2012,1707063000000
bgd,2013,1857525000000
bgd,2014,2062758000000
bgd,2015,2240810000000
bgd,2016,2433902000000
bgd,2017,2650253000000
bgd,2018,2942347000000
