global,time,sl_tlf_cact_ne_zs
world,2000,64.41401
world,2001,65.09669
world,2005,64.28008
world,2006,64.32591
world,2009,64.34791
world,2010,61.77086
world,2011,64.00494
world,2012,61.87752
world,2013,64.17734
world,2015,64.40629
