global,time,en_atm_meth_kt_ce
world,1990,6898360
world,1991,6875120
world,1992,6810430
world,1993,6789110
world,1994,6763240
world,1995,6773440
world,1996,6790740
world,1997,6749630
world,1998,6758180
world,1999,6808320
world,2000,6859450
world,2001,6913060
world,2002,6973040
world,2003,7062720
world,2004,7168060
world,2005,7225520
world,2006,7359290
world,2007,7473250
world,2008,7585770
world,2009,7591370
world,2010,7704390
world,2011,7807040
world,2012,7869970
world,2013,7880460
world,2014,7957650
world,2015,8021410
world,2016,8068580
world,2017,8137390
world,2018,8174420
