global,time,nv_srv_totl_kd_zg
world,1998,3.29688
world,1999,3.59269
world,2000,4.18698
world,2001,2.79799
world,2002,2.66345
world,2003,2.68519
world,2004,3.89054
world,2005,4.21259
world,2006,4.14259
world,2007,4.32058
world,2008,2.34657
world,2009,-0.17053
world,2010,3.4424
world,2011,3.21429
world,2012,2.85864
world,2013,2.70525
world,2014,3.0466
world,2015,3.14999
world,2016,2.84606
world,2017,3.34725
world,2018,3.31871
world,2019,2.95452
