geo,time,sh_uhc_nop1_zs
afg,2007,0.47312
afg,2013,4.71793
afg,2016,4.4375
ago,2008,2.13084
ago,2018,5.44312
alb,1996,0.48638
alb,2002,0.64418
alb,2005,0.49563
alb,2008,0.01062
alb,2012,0.35485
arg,2004,0.32962
arm,1999,2.07267
arm,2001,2.03982
arm,2002,1.40367
arm,2003,0.98274
arm,2004,0.56125
arm,2005,0.29765
arm,2006,0.50516
arm,2007,0.27778
arm,2008,0.09527
arm,2009,0.19996
arm,2010,0.60738
arm,2011,0.28182
arm,2012,0.18222
arm,2013,0.15213
arm,2014,0.41631
arm,2015,0.27236
arm,2016,0.44124
arm,2017,0.22297
aus,2009,0
aus,2015,0
aut,1999,0
aze,2002,0
aze,2003,0
aze,2004,0
aze,2005,0
bdi,1998,0.46644
bdi,2006,2.00064
bdi,2013,0.83981
bel,2009,0
ben,2003,3.392
ben,2011,2.10901
ben,2015,1.62421
bfa,1998,1.78503
bfa,2003,1.77934
bfa,2009,1.13726
bfa,2014,1.94837
bgd,2000,5.37779
bgd,2005,2.86657
bgd,2010,3.36318
bgd,2016,3.7185
bgr,1995,0
bgr,1997,0.04312
bgr,2000,0.02524
bgr,2001,0.16515
bgr,2005,0
bgr,2010,0
bgr,2015,0
bgr,2016,0
bgr,2017,0.11151
bgr,2018,0
bih,2001,0.15781
bih,2004,0
bih,2007,0
bih,2011,0
bih,2015,0.00872
blr,2000,0.07735
blr,2001,0
blr,2002,0.10931
blr,2003,0.06643
blr,2004,0.12948
blr,2005,0
blr,2006,0
blr,2007,0
blr,2008,0
blr,2009,0
blr,2010,0
blr,2011,0
blr,2012,0
blr,2013,0
blr,2014,0
blr,2015,0
blr,2016,0
bol,1999,0.94552
bol,2000,2.32153
bol,2001,1.14667
bol,2002,0.6475
bol,2013,0.29644
bol,2014,0.14053
bol,2015,0.21339
bol,2018,0.22457
bol,2019,0.14162
bra,1996,0.55501
bra,2008,0.74296
bra,2017,0.18367
brb,2016,0.33677
btn,2000,0.14946
btn,2003,0.86494
btn,2007,0.96433
btn,2012,0.03844
btn,2017,1.16555
bwa,1993,0.87501
bwa,2009,0.2568
caf,2008,1.3077
can,2000,0
can,2001,0
can,2002,0.1
can,2003,0
can,2004,0
can,2005,0
can,2006,0.1
can,2007,0.1
can,2008,0
can,2009,0.1
can,2014,0
can,2015,0.1
can,2016,0.1
can,2017,0.1
can,2019,0.2
chl,1996,0.10514
chl,2006,0.03367
chl,2011,0
chl,2016,0
chn,1995,1.01382
chn,2002,1.88852
chn,2007,3.61365
