geo,time,fx_own_totl_ma_zs
mex,2014,39.40008
mex,2017,41.09883
mkd,2011,75.87132
mkd,2014,79.73727
mkd,2017,80.36464
mli,2011,9.56305
mli,2014,25.63769
mli,2017,45.4576
mlt,2011,96.56859
mlt,2014,97.0911
mlt,2017,97.77604
mmr,2014,28.59667
mmr,2017,26.00771
mne,2011,52.15089
mne,2014,61.89439
mne,2017,69.18687
mng,2011,72.84185
mng,2014,90.29777
mng,2017,90.81245
moz,2017,51.06656
mrt,2011,23.30327
mrt,2014,24.84032
mrt,2017,26.28593
mus,2011,85.81564
mus,2014,84.58604
mus,2017,92.70597
mwi,2011,16.17185
mwi,2014,22.46835
mwi,2017,37.94211
mys,2011,69.21938
mys,2014,83.01298
mys,2017,87.91629
nam,2014,61.12337
nam,2017,80.59995
ner,2011,1.5908
ner,2014,9.05681
ner,2017,19.94246
nga,2011,33.27689
nga,2014,54.36248
nga,2017,51.40734
nic,2011,15.70303
nic,2014,24.7134
nic,2017,37.42213
nld,2011,98.9706
nld,2014,99.41924
nld,2017,99.4387
nor,2014,100
nor,2017,99.49265
npl,2011,29.55825
npl,2014,36.72448
npl,2017,49.98134
nzl,2011,99.42394
nzl,2014,99.86443
nzl,2017,98.99389
omn,2011,83.74987
pak,2011,17.28153
pak,2014,20.97236
pak,2017,34.60766
pan,2011,26.54854
pan,2014,47.01884
pan,2017,50.85904
per,2011,23.44542
per,2014,35.65865
per,2017,50.97298
phl,2011,19.0031
phl,2014,24.40195
phl,2017,30.0197
pol,2011,72.37171
pol,2014,83.2598
pol,2017,85.37514
pri,2014,73.70377
prt,2011,85.13703
prt,2014,88.8363
prt,2017,94.2271
pry,2011,20.67566
pry,2017,51.22441
pse,2011,28.66607
pse,2014,27.33755
pse,2017,34.436
qat,2011,68.57001
rou,2011,48.53238
rou,2014,65.15222
rou,2017,62.39824
rus,2011,48.78087
rus,2014,63.79952
rus,2017,75.30353
rwa,2011,37.50872
rwa,2014,49.04363
rwa,2017,55.74546
sau,2011,72.72114
sau,2014,75.32588
sau,2017,80.53699
sdn,2011,9.4464
sdn,2014,20.22383
sen,2011,6.23654
sen,2014,19.9265
sen,2017,46.72496
sgp,2011,98.23234
sgp,2014,96.64381
sgp,2017,99.68266
sle,2011,18.04779
sle,2014,18.93057
sle,2017,24.7719
slv,2011,17.61582
slv,2014,41.87103
slv,2017,37.57714
som,2014,43.56793
srb,2011,62.10524
srb,2014,83.22865
srb,2017,72.87623
ssd,2017,12.50307
svk,2011,80.33153
svk,2014,74.28571
svk,2017,85.32002
svn,2011,96.0618
svn,2014,97.52731
svn,2017,98.15512
swe,2011,98.97025
swe,2014,99.68082
swe,2017,99.48123
swz,2011,29.73595
syr,2011,26.76665
tcd,2011,11.46306
tcd,2014,17.45853
tcd,2017,29.03079
tgo,2011,11.18664
tgo,2014,21.49432
tgo,2017,53.0494
tha,2011,72.70007
tha,2014,81.24292
tha,2017,83.69138
tjk,2011,2.9585
tjk,2014,13.89533
tjk,2017,52.09381
tkm,2011,0
tkm,2017,45.71255
tto,2011,81.98603
tto,2017,88.22463
tun,2014,34.24934
tun,2017,45.73113
tur,2011,82.05688
tur,2014,69.1571
tur,2017,82.99456
tza,2011,20.79485
tza,2014,45.44748
tza,2017,51.55357
uga,2011,25.78301
uga,2014,52.35566
uga,2017,66.077
ukr,2011,43.87786
ukr,2014,54.01789
ukr,2017,65.02908
ury,2011,23.21251
ury,2014,50.56156
ury,2017,67.60585
usa,2011,91.98194
usa,2014,92.36126
usa,2017,93.57034
uzb,2011,23.81781
uzb,2014,42.19218
uzb,2017,38.33317
ven,2011,53.05916
ven,2014,61.10891
ven,2017,77.30595
vnm,2011,24.00456
vnm,2014,29.81834
vnm,2017,31.2051
yem,2011,6.36483
yem,2014,11.3917
zaf,2011,56.38004
zaf,2014,70.26761
zaf,2017,68.39532
zmb,2011,19.39292
zmb,2014,38.13509
zmb,2017,51.68092
zwe,2011,42.54557
zwe,2014,35.9539
zwe,2017,59.2275
