geo,time,ms_mil_xpnd_cd
afg,1970,2939585.50125
afg,1973,3341271.55123
afg,1974,3581366.35143
afg,1975,4203664.56865
afg,1976,5393251.21595
afg,1977,6127288.06333
afg,2004,125111557.45705
afg,2005,122727193.13487
afg,2006,131346231.26952
afg,2007,219580214.2962
afg,2008,240532594.62099
afg,2009,251869514.82034
afg,2010,298146852.5196
afg,2011,325807003.65799
afg,2012,238583385.37432
afg,2013,217194107.1133
afg,2014,268227074.23581
afg,2015,199518614.8319
afg,2016,185878310.06238
afg,2017,191407113.2444
afg,2018,198074728.57441
afg,2019,225835643.86938
afg,2020,279576954.92519
ago,1978,343271609.06478
ago,1979,504712881.87713
ago,1980,497359449.16104
ago,1981,618891637.14152
ago,1982,668493883.28097
ago,1983,778628250.55151
ago,1984,1066247743.83314
ago,1985,1146467009.82686
ago,1986,1156494418.07607
ago,1987,1487398890.30015
ago,1988,1469382980.14573
ago,1989,1948559395.68153
ago,1990,1751153151.94866
ago,1991,1031247788.04428
ago,1992,794138821.16166
ago,1993,1774397876.82742
ago,1994,594991178.69445
ago,1995,233843714.8893
ago,1996,159741933.4682
ago,1997,456780475.0262
ago,1998,170278292.56868
ago,1999,1066588789.23285
ago,2000,583621333.59892
ago,2001,404299139.99066
ago,2002,438686245.41123
ago,2003,670021164.43249
ago,2004,817533582.15208
ago,2005,1365055398.69044
ago,2006,1970309115.18376
ago,2007,2032432883.4343
ago,2008,3163591147.40902
ago,2009,3311193245.27722
ago,2010,3500794836.44649
ago,2011,3639496373.5446
ago,2012,4144634851.46856
ago,2013,6090751702.00884
ago,2014,6846249313.34052
ago,2015,3608299114.61674
ago,2016,2764054937.15976
ago,2017,3062872913.9838
ago,2018,1983613748.00089
ago,2019,1470938717.28754
ago,2020,993594404.62588
alb,1992,31559657.48176
alb,1993,39289843.4285
alb,1994,49649504.93166
alb,1995,50907521.77783
alb,1996,45713356.10867
alb,1997,29825491.99976
alb,1998,33638047.4398
alb,1999,42784205.21312
alb,2000,45362503.39227
alb,2001,53232045.16152
alb,2002,58649352.50259
alb,2003,76142881.76067
alb,2004,100922358.43549
alb,2005,110140852.68593
alb,2006,140983900.65992
alb,2007,194840309.24084
alb,2008,255677957.8185
alb,2009,182736862.49778
alb,2010,185893241.99507
alb,2011,197006789.23634
alb,2012,183204695.66021
alb,2013,180015508.82087
alb,2014,178120368.02776
alb,2015,132350667.59083
alb,2016,130853162.62028
alb,2017,144382688.71993
alb,2018,175886688.57587
alb,2019,197225913.31889
alb,2020,222022691.27344
are,1997,3335766741.48489
are,1998,4010347174.94894
are,1999,4233083730.42886
are,2000,5875833900.61266
are,2001,5797957794.41797
are,2002,5354118447.92376
are,2003,5834717494.89449
are,2004,6816882232.81144
are,2005,6604220558.20286
are,2006,7165418652.14432
are,2007,8460993873.38325
are,2008,11571681415.9292
are,2009,13836351259.3601
are,2010,17504697072.8387
are,2011,19181756296.8005
are,2012,19024098025.8679
are,2013,23561061946.90269
are,2014,22755071477.1954
arg,1962,305162407.20367
arg,1963,242219771.18882
arg,1964,245740498.03408
arg,1965,252407602.89443
arg,1966,279225436.28974
arg,1967,251930719.05226
arg,1968,337142857.14286
arg,1969,442857142.85714
arg,1970,445713893.87789
arg,1971,519719484.17288
arg,1972,766000000
arg,1973,1294000000
arg,1974,1626000000
arg,1975,798359535.20164
arg,1976,2050248958.80214
arg,1977,2058223941.63377
arg,1978,3103989946.59127
arg,1979,5057062803.25292
arg,1980,6477389013.47732
arg,1981,5882767126.46132
arg,1982,2279872697.46359
arg,1983,2848053181.38652
arg,1984,2527749814.85341
arg,1985,2027221261.23072
arg,1986,2449545720.61181
arg,1987,2485659655.83174
arg,1988,2696341658.47862
arg,1989,1440922190.20173
arg,1990,2050907629.17129
arg,1991,2858778842.10019
arg,1992,3254455191.68378
arg,1993,3368550452.17659
arg,1994,3754724686.88939
arg,1995,3801950487.62191
arg,1996,3379138769.76541
arg,1997,3340670335.16758
arg,1998,3398699349.67484
arg,1999,3461730865.43272
arg,2000,3266633316.65833
arg,2001,3183591795.89795
arg,2002,1114172482.91036
arg,2003,1374873734.32668
arg,2004,1465809188.24616
arg,2005,1699579151.82907
arg,2006,1847553129.83947
arg,2007,2296448241.88781
arg,2008,2788980204.56974
arg,2009,2981852290.09382
arg,2010,3475348407.46349
arg,2011,4051930104.57065
arg,2012,4563217858.77234
arg,2013,5137974300.9699
arg,2014,4979442724.4582
arg,2015,5482616700.96393
arg,2016,4509647660.05234
arg,2017,5459643672.45401
arg,2018,3842852365.3176
arg,2019,3132654926.06745
arg,2020,2907185374.14966
arm,1993,9829763.86601
arm,1995,52228583.81702
arm,1996,52410268.54828
arm,1997,64062121.19051
arm,1998,66757573.05685
arm,1999,68234148.56596
arm,2000,68052142.06544
arm,2001,66247626.4597
arm,2002,64106405.65236
arm,2003,76587998.88728
arm,2004,98070488.19854
arm,2005,140738102.67716
arm,2006,188189116.43111
arm,2007,280108688.34392
arm,2008,395994365.44225
arm,2009,359499343.48703
arm,2010,395011507.78783
arm,2011,390871433.90219
arm,2012,380571678.89607
arm,2013,444551859.50111
arm,2014,457807021.79135
arm,2015,447379807.50682
