global,time,sl_uem_1524_zs
world,1991,10.6711
world,1992,11.00087
world,1993,11.62153
world,1994,12.21472
world,1995,12.69394
world,1996,12.92434
world,1997,13.03439
world,1998,13.45343
world,1999,13.76389
world,2000,13.61053
world,2001,13.82482
world,2002,14.17266
world,2003,14.36883
world,2004,14.16616
world,2005,14.20701
world,2006,13.79015
world,2007,13.38191
world,2008,13.3795
world,2009,14.38374
world,2010,14.38338
world,2011,14.44544
world,2012,14.69407
world,2013,14.89048
world,2014,14.83262
world,2015,15.1642
world,2016,15.47476
world,2017,15.45291
world,2018,15.3741
world,2019,15.28207
world,2020,17.20533
