geo,time,en_atm_hfcg_kt_ce
ago,1990,0
ago,2000,0.7
ago,2005,19.3
ago,2008,26.5
ago,2010,31
alb,1990,0
alb,2000,15.5
alb,2005,61.8
alb,2008,86.9
alb,2010,105
are,1990,0
are,2000,0
are,2005,0
are,2008,0
are,2010,0
arg,1990,206.3
arg,2000,63
arg,2005,218.1
arg,2008,340
arg,2010,506
arm,1990,0
arm,2000,42
arm,2005,332.2
arm,2008,469.6
arm,2010,565
aus,1990,612.5
aus,2000,2545.7
aus,2005,5145.6
aus,2008,6857.4
aus,2010,7992
aut,1990,30.9
aut,2000,1018.4
aut,2005,1891.2
aut,2008,2468.9
aut,2010,2835
aze,1990,0
aze,2000,8.5
aze,2005,55.4
aze,2008,73.1
aze,2010,86
bel,1990,0.5
bel,2000,997.7
bel,2005,1882.6
bel,2008,2471.1
bel,2010,2657
ben,1990,0
ben,2000,0
ben,2005,0
ben,2008,0
ben,2010,0
bgd,1990,0
bgd,2000,0
bgd,2005,0
bgd,2008,0
bgd,2010,0
bgr,1990,0
bgr,2000,103.1
bgr,2005,361.6
bgr,2008,508
bgr,2010,648
bhr,1990,0
bhr,2000,0
bhr,2005,0
bhr,2008,0
bhr,2010,0
bih,1990,0
bih,2000,79.8
bih,2005,422.5
bih,2008,617.6
bih,2010,755
blr,1990,0
blr,2000,107.7
blr,2005,440.2
blr,2008,612.1
blr,2010,516
bol,1990,0
bol,2000,0
bol,2005,0
bol,2008,0
bol,2010,0
bra,1990,1930.7
bra,2000,147.4
bra,2005,1793.4
bra,2008,2707.5
bra,2010,3336
brn,1990,0
brn,2000,100.7
brn,2005,255.6
brn,2008,354.9
brn,2010,427
bwa,1990,0
bwa,2000,0
bwa,2005,0
bwa,2008,0
bwa,2010,0
can,1990,418.5
can,2000,6202.8
can,2005,11928.4
can,2008,15474.8
can,2010,21577
che,1990,0.3
che,2000,848.2
che,2005,1613.8
che,2008,2116.4
che,2010,2277
chl,1990,0
chl,2000,0
chl,2005,0
chl,2008,0
chl,2010,0
chn,1990,5970.1
chn,2000,38094
chn,2005,146690
chn,2008,152999
chn,2010,183870
civ,1990,0
civ,2000,0
civ,2005,0
civ,2008,0
civ,2010,0
cmr,1990,0
cmr,2000,0
cmr,2005,0
cmr,2008,0
cmr,2010,0
cod,1990,0
cod,2000,0
cod,2005,0
cod,2008,0
cod,2010,0
cog,1990,0
cog,2000,0.8
cog,2005,4.7
cog,2008,6.7
cog,2010,8
col,1990,0
col,2000,0
col,2005,0
col,2008,0
col,2010,0
cri,1990,0
cri,2000,25.2
cri,2005,61.5
cri,2008,83.2
cri,2010,98
cub,1990,0
cub,2000,34.2
cub,2005,127.8
cub,2008,185.9
cub,2010,226
cyp,1990,0
cyp,2000,78.4
cyp,2005,188.3
cyp,2008,256.1
cyp,2010,304
cze,1990,0.1
cze,2000,399.5
cze,2005,1078.7
cze,2008,1459
cze,2010,3613
deu,1990,2581.5
deu,2000,11277.6
deu,2005,14684.6
deu,2008,19466.8
deu,2010,19780
dnk,1990,0.3
dnk,2000,662.2
dnk,2005,1249.5
dnk,2008,1629.6
dnk,2010,1693
dom,1990,0
dom,2000,0
dom,2005,0
dom,2008,0
dom,2010,0
dza,1990,0
dza,2000,60.5
dza,2005,166.8
dza,2008,230.2
dza,2010,275
ecu,1990,0
ecu,2000,19.7
ecu,2005,62.2
ecu,2008,86.7
ecu,2010,104
egy,1990,0
egy,2000,94.7
egy,2005,315.4
egy,2008,439.7
egy,2010,527
eri,1990,0
eri,2000,0
eri,2005,0
eri,2008,0
eri,2010,0
esp,1990,1950.3
esp,2000,3296.8
esp,2005,6300.3
esp,2008,8600.9
esp,2010,9968
est,1990,0
est,2000,7.8
est,2005,33.8
est,2008,47.6
est,2010,58
eth,1990,0
eth,2000,3.6
eth,2005,10.3
eth,2008,13.3
eth,2010,16
fin,1990,0.1
fin,2000,378.2
fin,2005,754.9
fin,2008,1003.2
fin,2010,1203
fra,1990,4654.3
fra,2000,9406.4
fra,2005,12734.7
fra,2008,16851.1
fra,2010,18867
gab,1990,0
gab,2000,2.9
gab,2005,8.4
gab,2008,11.8
gab,2010,14
gbr,1990,2617.8
gbr,2000,6332.5
gbr,2005,9043.4
gbr,2008,11796
gbr,2010,13279
geo,1990,0
geo,2000,2.5
geo,2005,11.8
geo,2008,16.7
geo,2010,20
gha,1990,0
gha,2000,1.9
gha,2005,7.8
gha,2008,11.2
gha,2010,13
gib,1990,0
gib,2000,0
gib,2005,0
gib,2008,0
gib,2010,0
grc,1990,507.2
grc,2000,2368.4
grc,2005,1911.4
grc,2008,1000.3
grc,2010,1204
gtm,1990,0.1
gtm,2000,157.6
gtm,2005,477.8
gtm,2008,665.8
gtm,2010,797
hkg,1990,0
hkg,2000,0
hkg,2005,0
hkg,2008,0
hkg,2010,0
hnd,1990,0
hnd,2000,0
hnd,2005,0
hnd,2008,0
hnd,2010,0
hrv,1990,0
hrv,2000,16.3
hrv,2005,47.5
hrv,2008,66.3
hrv,2010,78
hti,1990,0
hti,2000,0
hti,2005,0
hti,2008,0
hti,2010,0
hun,1990,0.1
hun,2000,428.2
hun,2005,1191.4
hun,2008,1652.9
hun,2010,1749
idn,1990,0
idn,2000,0
idn,2005,0
idn,2008,0
idn,2010,0
ind,1990,1702.1
ind,2000,8107.2
ind,2005,9845.2
ind,2008,13553.7
ind,2010,13425
irl,1990,1.2
