global,time,er_fsh_prod_mt
world,1960,36819360
world,1961,40578240
world,1962,44050083
world,1963,45244047.1
world,1964,49989504.1
world,1965,51257966.4
world,1966,55360381.8
world,1967,58936342
world,1968,62428544
world,1969,61141372
world,1970,67412833
world,1971,67848380
world,1972,63951403
world,1973,64732237
world,1974,68411940
world,1975,68160736
world,1976,71736517
world,1977,71365632
world,1978,73709110
world,1979,74298328.5
world,1980,75604495
world,1981,78127363.033
world,1982,80334531.738
world,1983,81035539.376
world,1984,87846404.861
world,1985,90734456.097
world,1986,97605975.021
world,1987,99566884.741
world,1988,104597701.186
world,1989,106089534.033
world,1990,102874756.451
world,1991,103226563.865
world,1992,107627075.599
world,1993,112216974.861
world,1994,121159878.186
world,1995,124928828.171
world,1996,128950267.368
world,1997,128760311.509
world,1998,123338426.064
world,1999,132416866.13
world,2000,136488432.45
world,2001,136282794.154
world,2002,139688317.297
world,2003,139830434.216
world,2004,148746929.409
world,2005,151518162.009
world,2006,152829754.389
world,2007,156495951.973
world,2008,159493839.451
world,2009,163312149.755
world,2010,166876013.869
world,2011,175816233.951
world,2012,180532909.305
world,2013,188864093.606
world,2014,193445421.811
world,2015,199741128.597
