geo,time,ny_adj_dres_gn_zs
abw,1986,0.00024
abw,1987,0.00021
abw,1988,0.00014
abw,1989,0.00012
abw,1990,0.00036
abw,1991,0.00038
abw,1992,0.0003
abw,1993,0.00018
abw,1994,0.00015
abw,1995,0.0002
abw,1996,0.00014
abw,1997,0.00016
abw,1998,0.00017
abw,1999,0.00016
abw,2000,0.00019
abw,2001,0.00021
abw,2002,0.00022
abw,2003,0.00024
abw,2004,0.00026
abw,2005,0.00031
abw,2006,0.00039
abw,2007,0.00044
abw,2008,0.00042
abw,2009,0.00044
abw,2010,0.00114
abw,2011,0.00102
abw,2012,0.00101
abw,2013,0.00116
abw,2014,0.00175
abw,2015,0.00134
abw,2016,0.00192
abw,2017,0.00169
afg,1970,0.0874
afg,1971,0.1168
afg,1972,0.14737
afg,1973,0.30874
afg,1974,0.45852
afg,1975,0.71729
afg,1976,0.9034
afg,1977,0.9079
afg,1978,0.76773
afg,1979,1.2234
afg,1980,1.27752
afg,1981,1.00301
afg,2009,0.19685
afg,2010,0.27245
afg,2011,0.32792
afg,2012,0.32565
afg,2013,0.22609
afg,2014,0.22941
afg,2015,0.22111
afg,2016,0.30879
afg,2017,0.2718
afg,2018,0.35408
afg,2019,0.32683
ago,1985,10.84937
ago,1986,5.37557
ago,1987,15.17337
ago,1988,15.87154
ago,1989,18.43759
ago,1990,26.7041
ago,1991,14.26439
ago,1992,56.83396
ago,1993,47.43077
ago,1994,64.79437
ago,1995,36.16973
ago,1996,44.33171
ago,1997,33.05336
ago,1998,14.56525
ago,1999,35.30389
ago,2000,45.26094
ago,2001,29.55509
ago,2002,18.78964
ago,2003,15.72212
ago,2004,29.98468
ago,2005,36.24995
ago,2006,35.5574
ago,2007,39.45408
ago,2008,51.59891
ago,2009,25.83981
ago,2010,34.6627
ago,2011,34.49078
ago,2012,30.34417
ago,2013,25.58393
ago,2014,19.57928
ago,2015,8.4986
ago,2016,8.39024
ago,2017,13.29864
ago,2018,22.40689
ago,2019,21.1435
alb,1984,13.23869
alb,1985,13.30321
alb,1986,6.07107
alb,1987,8.71792
alb,1988,7.61699
alb,1989,9.81374
alb,1990,7.7941
alb,1991,6.40537
alb,1992,7.33433
alb,1993,1.23557
alb,1994,0.68273
alb,1995,0.5209
alb,1996,0.5006
alb,1997,0.50721
alb,1998,0.07076
alb,1999,0.13643
alb,2000,0.29271
alb,2001,0.21437
alb,2002,0.22934
alb,2003,0.23081
alb,2004,0.24871
