global,time,se_prm_enrr
world,1970,89.05163
world,1971,89.18244
world,1972,90.15673
world,1973,92.90977
world,1974,93.93351
world,1975,95.27007
world,1976,95.87581
world,1977,95.87271
world,1978,94.65501
world,1979,95.2126
world,1980,96.55138
world,1981,97.44742
world,1982,97.92505
world,1983,98.03859
world,1984,98.41323
world,1985,98.79847
world,1986,100.17433
world,1987,99.38595
world,1988,99.9619
world,1989,100.13685
world,1990,99.78284
world,1991,99.10159
world,1992,98.46091
world,1993,98.36852
world,1994,98.26873
world,1995,98.34087
world,1996,97.58106
world,1997,97.05165
world,1998,97.71351
world,1999,97.94384
world,2000,98.77677
world,2001,99.53415
world,2002,99.85161
world,2003,101.37375
world,2004,101.8882
world,2005,102.20212
world,2006,102.28886
world,2007,103.05093
world,2008,103.42608
world,2009,103.30896
world,2010,102.71695
world,2011,103.09752
world,2012,103.77976
world,2013,104.0229
world,2014,102.76805
world,2015,102.41901
world,2016,103.97262
world,2017,103.88764
world,2018,101.50698
world,2019,101.71454
