global,time,gc_xpn_intp_zs
world,2003,8.77946
world,2004,7.86108
world,2005,6.47443
world,2006,6.34445
world,2007,5.93731
world,2008,5.64971
world,2009,5.44211
world,2010,5.422
world,2011,5.17384
world,2012,5.64756
world,2013,5.55301
world,2014,5.6732
world,2015,5.84722
world,2016,6.30365
world,2017,6.42172
world,2018,6.49895
world,2019,5.90116
