geo,time,sg_gen_parl_zs
afg,2005,27.30924
afg,2006,27.30924
afg,2007,27.68595
afg,2008,27.68595
afg,2009,27.30924
afg,2010,27.71084
afg,2011,27.71084
afg,2012,27.71084
afg,2013,27.71084
afg,2014,27.71084
afg,2015,27.71084
afg,2016,27.71084
afg,2017,27.71084
afg,2019,27.86885
afg,2020,27.01613
afg,2021,27.01613
ago,1997,9.54545
ago,1998,15.45455
ago,1999,15.45455
ago,2000,15.45455
ago,2001,15.45455
ago,2002,15.45455
ago,2003,15.45455
ago,2004,15
ago,2005,15
ago,2006,15
ago,2007,15
ago,2008,37.27273
ago,2009,38.63636
ago,2010,38.63636
ago,2011,38.18182
ago,2012,34.09091
ago,2013,34.09091
ago,2014,36.81818
ago,2015,36.81818
ago,2016,36.81818
ago,2017,30.45455
ago,2018,30.45455
ago,2019,30
ago,2020,30
ago,2021,29.54545
alb,1999,5.16129
alb,2000,5.16129
alb,2001,5.71429
alb,2002,5.71429
alb,2003,5.71429
alb,2004,6.42857
alb,2005,7.14286
alb,2006,7.14286
alb,2007,7.14286
alb,2008,7.14286
alb,2009,16.42857
alb,2010,16.42857
alb,2011,15.71429
alb,2012,15.71429
alb,2013,17.85714
alb,2014,20
alb,2015,20.71429
alb,2016,22.85714
alb,2017,27.85714
alb,2018,27.85714
alb,2019,29.5082
alb,2020,29.5082
alb,2021,35.71429
and,1997,7.14286
and,1998,7.14286
and,1999,7.14286
and,2000,7.14286
and,2001,14.28571
and,2002,14.28571
and,2003,14.28571
and,2004,14.28571
and,2005,28.57143
and,2006,28.57143
and,2007,28.57143
and,2008,25
and,2009,35.71429
and,2010,35.71429
and,2011,50
and,2012,50
and,2013,50
and,2014,50
and,2015,39.28571
and,2016,32.14286
and,2017,32.14286
and,2018,32.14286
and,2019,46.42857
and,2020,46.42857
and,2021,46.42857
are,1997,0
are,1998,0
are,1999,0
are,2000,0
are,2001,0
are,2002,0
are,2003,0
are,2004,0
are,2005,0
are,2006,5
