global,time,sl_emp_totl_sp_fe_zs
world,1991,48.69976
world,1992,48.67011
world,1993,48.35381
world,1994,48.28094
world,1995,48.09585
world,1996,47.97434
world,1997,47.90497
world,1998,47.77938
world,1999,47.80037
world,2000,47.84793
world,2001,47.66505
world,2002,47.4059
world,2003,47.27943
world,2004,47.25607
world,2005,47.29998
world,2006,47.14602
world,2007,47.07996
world,2008,46.75852
world,2009,46.19156
world,2010,45.80459
world,2011,45.62785
world,2012,45.36828
world,2013,45.19272
world,2014,45.14321
world,2015,45.08102
world,2016,44.99026
world,2017,44.98362
world,2018,44.99633
world,2019,45.13033
world,2020,42.95536
world,2021,43.35385
