global,time,sh_hiv_incd_tl
world,1990,2000000
world,1991,2300000
world,1992,2500000
world,1993,2700000
world,1994,2900000
world,1995,3000000
world,1996,3000000
world,1997,3000000
world,1998,3000000
world,1999,3000000
world,2000,2900000
world,2001,2800000
world,2002,2700000
world,2003,2600000
world,2004,2500000
world,2005,2400000
world,2006,2400000
world,2007,2300000
world,2008,2200000
world,2009,2200000
world,2010,2100000
world,2011,2100000
world,2012,2000000
world,2013,1900000
world,2014,1800000
world,2015,1800000
world,2016,1700000
world,2017,1700000
world,2018,1600000
world,2019,1500000
world,2020,1500000
