geo,time,sh_dth_ncom_zs
afg,2000,32.00976
afg,2010,40.81916
afg,2015,44.21905
afg,2019,49.78108
ago,2000,20.20885
ago,2010,25.8444
ago,2015,29.93844
ago,2019,31.74944
alb,2000,84.14235
alb,2010,90.59935
alb,2015,92.91781
alb,2019,93.94089
are,2000,68.84191
are,2010,66.97371
are,2015,71.64002
are,2019,77.09962
arg,2000,80.72655
arg,2010,79.96267
arg,2015,78.29577
arg,2019,76.69446
arm,2000,89.08712
arm,2010,90.80043
arm,2015,90.77387
arm,2019,88.62775
atg,2000,79.84035
atg,2010,80.98076
atg,2015,83.50511
atg,2019,84.79281
aus,2000,89.76907
aus,2010,90.45689
aus,2015,89.57342
aus,2019,89.11435
aut,2000,91.65834
aut,2010,91.79369
aut,2015,91.94876
aut,2019,90.98471
aze,2000,76.05465
aze,2010,84.96055
aze,2015,88.19609
aze,2019,90.24817
bdi,2000,19.93177
bdi,2010,29.72798
bdi,2015,33.59066
bdi,2019,36.76389
bel,2000,85.99627
bel,2010,86.49123
bel,2015,85.90185
bel,2019,85.98113
ben,2000,29.19524
ben,2010,33.93341
ben,2015,36.88726
ben,2019,38.97653
bfa,2000,21.14139
bfa,2010,27.00594
bfa,2015,32.30122
bfa,2019,34.7652
bgd,2000,43.11246
bgd,2010,59.4312
bgd,2015,63.70385
bgd,2019,70.25567
bgr,2000,92.84689
bgr,2010,94.85887
bgr,2015,95.16782
bgr,2019,95.31108
bhr,2000,81.96471
bhr,2010,83.46594
bhr,2015,84.42779
bhr,2019,86.09901
bhs,2000,60.07083
bhs,2010,74.15951
bhs,2015,72.64645
bhs,2019,75.43404
bih,2000,90.57037
bih,2010,93.3441
bih,2015,93.87008
bih,2019,94.42366
blr,2000,87.3541
blr,2010,89.11146
blr,2015,91.78186
blr,2019,92.67684
blz,2000,61.50709
blz,2010,62.21992
blz,2015,61.67496
blz,2019,65.21881
bol,2000,53.1978
bol,2010,64.61627
bol,2015,70.254
bol,2019,72.6759
bra,2000,69.13977
bra,2010,73.01843
bra,2015,73.36986
bra,2019,74.7377
brb,2000,80.63473
brb,2010,81.53779
brb,2015,81.77142
brb,2019,82.79027
brn,2000,80.09466
brn,2010,81.70661
brn,2015,80.13706
brn,2019,84.66903
btn,2000,47.12856
btn,2010,63.52392
btn,2015,69.43156
btn,2019,72.74332
bwa,2000,26.77889
bwa,2010,38.16812
bwa,2015,44.53866
bwa,2019,45.71033
caf,2000,26.6897
caf,2010,28.62041
caf,2015,30.36897
caf,2019,31.91812
can,2000,89.76981
can,2010,88.73608
can,2015,88.6364
can,2019,89.80863
che,2000,88.47221
che,2010,90.69575
che,2015,89.70838
che,2019,89.55292
chl,2000,79.0722
chl,2010,83.48089
chl,2015,84.67857
chl,2019,85.12513
chn,2000,81.0438
chn,2010,86.44677
chn,2015,88.34131
chn,2019,89.63308
civ,2000,24.03322
civ,2010,30.05408
civ,2015,32.96195
civ,2019,35.6599
cmr,2000,27.37982
cmr,2010,31.33536
cmr,2015,33.48177
cmr,2019,37.72626
cod,2000,23.29013
cod,2010,28.44709
cod,2015,31.04915
cod,2019,34.13207
cog,2000,30.7848
cog,2010,36.74082
cog,2015,36.34804
cog,2019,38.57351
col,2000,58.04257
col,2010,68.3483
col,2015,73.32447
col,2019,75.64571
com,2000,35.33054
com,2010,38.13658
com,2015,42.46934
com,2019,44.68188
cpv,2000,53.65569
cpv,2010,62.17037
cpv,2015,65.75252
cpv,2019,70.12046
cri,2000,78.91655
cri,2010,81.24268
cri,2015,81.02474
cri,2019,81.99299
cub,2000,81.25204
cub,2010,85.024
cub,2015,83.66721
cub,2019,83.30729
cyp,2000,89.51382
cyp,2010,90.44745
cyp,2015,90.72454
cyp,2019,89.86165
cze,2000,90.37959
cze,2010,89.92217
cze,2015,89.92785
cze,2019,89.39672
deu,2000,91.86924
deu,2010,91.50067
deu,2015,91.04625
deu,2019,90.59833
dji,2000,31.4491
dji,2010,39.89819
dji,2015,46.31272
dji,2019,51.77463
dnk,2000,90.62567
dnk,2010,89.83422
dnk,2015,90.13471
dnk,2019,89.65784
