geo,time,vc_ihr_psrc_p5
abw,1990,0
abw,1995,7.46975
abw,1999,2.24696
abw,2001,4.30608
abw,2002,5.2636
abw,2003,4.12303
abw,2004,2.02544
abw,2005,5.99832
abw,2006,4.95884
abw,2007,2.96367
abw,2008,4.93282
abw,2009,3.94275
abw,2010,3.93449
abw,2011,1.95982
abw,2012,3.89997
abw,2013,5.81593
abw,2014,1.92723
afg,2009,3.92677
afg,2010,3.36811
afg,2011,4.08734
afg,2012,6.25133
afg,2015,9.78392
afg,2016,6.55116
afg,2017,6.6784
afg,2018,6.65556
ago,2011,4.35579
ago,2012,4.84708
alb,1992,4.00507
alb,1993,5.97772
alb,1994,3.55949
alb,1995,8.32015
alb,1996,8.77788
alb,1997,43.03577
alb,1998,21.2171
alb,1999,17.03654
alb,2000,4.18631
alb,2001,7.02943
alb,2002,6.90938
alb,2003,5.3239
alb,2004,4.21915
alb,2005,4.98897
alb,2006,3.10151
alb,2007,3.46079
alb,2008,3.09723
alb,2009,2.85902
alb,2010,4.30796
alb,2011,4.84873
alb,2012,5.38761
alb,2013,4.27028
alb,2014,4.03963
alb,2015,2.21413
alb,2016,2.73695
alb,2017,2.01098
alb,2018,2.28949
and,2004,1.31158
and,2007,0
and,2008,1.19245
and,2009,0
and,2010,0
and,2011,1.19402
and,2012,0
and,2013,0
and,2014,0
and,2015,0
are,2003,1.21231
are,2004,0.66362
are,2005,1.22052
are,2006,0.73583
are,2010,0.78363
are,2011,0.57004
are,2012,0.75479
are,2013,0.61971
are,2014,0.66202
are,2015,0.64775
are,2016,0.70505
are,2017,0.46378
arg,2001,8.39422
arg,2002,9.47408
arg,2003,7.78988
arg,2004,6.07399
arg,2005,5.65141
arg,2006,5.37289
arg,2007,5.39004
arg,2008,5.91565
arg,2009,6.52623
arg,2010,5.82946
arg,2011,6.07689
arg,2012,6.34173
arg,2013,7.28031
arg,2014,7.5708
arg,2015,6.58612
arg,2016,6.03331
arg,2017,5.20972
arg,2018,5.32448
arm,1990,5.03086
arm,1991,5.30633
arm,1992,8.85902
arm,1993,7.96881
arm,1994,4.78124
arm,1995,3.60545
arm,1996,3.59824
arm,1997,3.19175
arm,1998,2.99161
arm,1999,2.91355
arm,2000,2.96456
arm,2001,2.8846
arm,2002,2.27424
arm,2003,2.51828
arm,2004,2.76601
arm,2005,1.94548
arm,2006,2.67045
arm,2007,2.62564
arm,2008,3.33607
arm,2009,3.35862
arm,2010,1.94626
arm,2011,2.46825
arm,2012,2.25363
