geo,time,ny_gdp_mktp_kd_zg
abw,1987,16.07843
abw,1988,18.64865
abw,1989,12.12984
abw,1990,3.9614
abw,1991,7.96287
abw,1992,5.88235
abw,1993,7.30769
abw,1994,8.2039
abw,1995,2.54714
abw,1996,1.18579
abw,1997,7.04687
abw,1998,1.99199
abw,1999,1.23804
abw,2000,7.61659
abw,2001,-2.97126
abw,2002,-3.27365
abw,2003,1.97555
abw,2004,7.91156
abw,2005,1.21435
abw,2006,1.05061
abw,2007,1.80023
abw,2008,-0.09071
abw,2009,-10.51975
abw,2010,-3.68503
abw,2011,3.44605
abw,2012,-1.36986
abw,2013,4.19823
abw,2014,0.3
abw,2015,5.7
abw,2016,2.1
abw,2017,2
afg,2003,8.83228
afg,2004,1.41412
afg,2005,11.22971
afg,2006,5.3574
afg,2007,13.82632
afg,2008,3.92498
afg,2009,21.39053
afg,2010,14.36244
afg,2011,0.42635
afg,2012,12.75229
afg,2013,5.60074
afg,2014,2.72454
afg,2015,1.45131
afg,2016,2.26031
afg,2017,2.647
afg,2018,1.18923
afg,2019,3.9116
afg,2020,-2.3511
ago,1981,-4.4
ago,1982,0
ago,1983,4.2
ago,1984,6
ago,1985,3.5
ago,1986,2.9
ago,1987,4.08275
ago,1988,6.12889
ago,1989,0.04162
ago,1990,-3.4501
ago,1991,0.99136
ago,1992,-5.83828
ago,1993,-23.98342
ago,1994,1.33936
ago,1995,15
ago,1996,13.54437
ago,1997,7.27428
ago,1998,4.69115
ago,1999,2.18149
ago,2000,3.05462
ago,2001,4.206
ago,2002,13.66569
ago,2003,2.98985
ago,2004,10.95286
ago,2005,15.02892
ago,2006,11.54768
ago,2007,14.01002
ago,2008,11.16614
ago,2009,0.85871
ago,2010,4.40393
ago,2011,3.47198
ago,2012,8.54219
ago,2013,4.95454
ago,2014,4.82263
ago,2015,0.94357
ago,2016,-2.58005
ago,2017,-0.14721
ago,2018,-2.00363
ago,2019,-0.62464
ago,2020,-5.39999
alb,1981,5.74564
alb,1982,2.9486
alb,1983,1.10494
alb,1984,-1.2516
alb,1985,1.78064
alb,1986,5.63724
alb,1987,-0.78784
alb,1988,-1.42004
alb,1989,9.83655
alb,1990,-9.57564
alb,1991,-28.00214
alb,1992,-7.18711
alb,1993,9.55941
alb,1994,8.30287
alb,1995,13.32233
alb,1996,9.1
alb,1997,-10.91998
alb,1998,8.82942
alb,1999,12.8908
alb,2000,6.94622
alb,2001,8.29331
alb,2002,4.53652
alb,2003,5.52864
alb,2004,5.51467
alb,2005,5.52642
alb,2006,5.90266
alb,2007,5.98326
alb,2008,7.50004
alb,2009,3.35429
alb,2010,3.70694
alb,2011,2.54541
alb,2012,1.41724
alb,2013,1.00202
alb,2014,1.77445
alb,2015,2.21873
alb,2016,3.31498
alb,2017,3.80223
alb,2018,4.01936
alb,2019,2.11342
alb,2020,-3.9554
and,1971,4.64947
and,1972,8.14974
and,1973,7.78847
and,1974,5.61879
and,1975,0.54221
and,1976,3.30379
and,1977,2.83858
and,1978,1.463
and,1979,0.04156
and,1980,2.20873
and,1981,-0.13247
and,1982,1.24646
and,1983,1.77012
and,1984,1.78469
and,1985,2.32143
and,1986,3.25332
and,1987,5.54712
and,1988,5.09433
and,1989,4.82703
and,1990,3.78139
and,1991,2.546
and,1992,0.92921
and,1993,-1.03148
and,1994,2.38318
and,1995,2.7575
and,1996,4.64974
and,1997,9.06767
and,1998,3.19479
and,1999,4.09908
and,2000,3.52836
and,2001,8.11936
and,2002,4.54636
and,2003,8.6942
and,2004,8.13568
and,2005,5.3978
and,2006,4.80869
and,2007,1.55319
and,2008,-5.55919
and,2009,-5.30285
and,2010,-1.97496
and,2011,-0.00807
and,2012,-4.97444
and,2013,-3.5476
and,2014,2.50447
and,2015,1.43414
and,2016,3.70968
and,2017,0.34607
and,2018,1.58877
and,2019,2.01555
and,2020,-11.95269
are,1976,16.52686
are,1977,21.43933
are,1978,-1.5896
are,1979,20.92357
are,1980,23.87477
are,1981,4.65918
are,1982,-6.71932
are,1983,-4.74582
are,1984,4.01695
are,1985,-3.59448
are,1986,-14.95814
are,1987,3.38198
are,1988,-2.61891
are,1989,12.33789
are,1990,18.32799
are,1991,0.86008
are,1992,3.34494
are,1993,1.26119
are,1994,6.89615
are,1995,6.68789
are,1996,5.7984
are,1997,8.1904
are,1998,0.29199
are,1999,2.90221
are,2000,10.8527
are,2001,1.39909
are,2002,2.43346
are,2003,8.80054
are,2004,9.56644
are,2005,4.85514
are,2006,9.83732
are,2007,3.18439
are,2008,3.19184
are,2009,-5.24292
are,2010,1.60285
are,2011,6.92851
are,2012,4.48379
are,2013,5.05308
are,2014,4.41009
are,2015,5.06033
are,2016,2.98422
are,2017,2.37355
are,2018,1.18986
are,2019,3.41154
are,2020,-6.1345
arg,1961,5.42784
arg,1962,-0.85202
arg,1963,-5.3082
arg,1964,10.1303
arg,1965,10.56943
arg,1966,-0.65973
arg,1967,3.192
arg,1968,4.8225
arg,1969,9.67953
arg,1970,3.04564
arg,1971,5.65813
arg,1972,1.62842
arg,1973,2.81175
arg,1974,5.5338
arg,1975,-0.02841
arg,1976,-2.01825
arg,1977,6.93415
arg,1978,-4.50612
arg,1979,10.22276
arg,1980,1.51878
arg,1981,-5.18979
arg,1982,-0.73566
arg,1983,4.34909
arg,1984,1.57074
arg,1985,-5.18902
arg,1986,6.15338
arg,1987,2.70487
arg,1988,-1.08993
arg,1989,-7.15695
arg,1990,-2.46721
arg,1991,9.13311
arg,1992,7.93729
arg,1993,8.20698
arg,1994,5.8362
arg,1995,-2.84521
arg,1996,5.52669
arg,1997,8.11105
arg,1998,3.85018
arg,1999,-3.38546
arg,2000,-0.789
arg,2001,-4.40884
arg,2002,-10.89448
arg,2003,8.83704
arg,2004,9.02957
arg,2005,8.85166
arg,2006,8.04715
arg,2007,9.00765
arg,2008,4.05723
arg,2009,-5.91853
arg,2010,10.1254
arg,2011,6.00395
arg,2012,-1.02642
arg,2013,2.40532
arg,2014,-2.51262
arg,2015,2.73116
arg,2016,-2.08033
arg,2017,2.8185
arg,2018,-2.6174
arg,2019,-2.02593
arg,2020,-9.89527
arm,1991,-11.7
arm,1992,-41.8
arm,1993,-8.8
arm,1994,5.4
arm,1995,6.9
arm,1996,5.8654
arm,1997,3.32108
arm,1998,7.3
arm,1999,3.3
arm,2000,5.9
arm,2001,9.6
arm,2002,13.2
arm,2003,14
arm,2004,10.5
arm,2005,13.9
arm,2006,13.2
arm,2007,13.7
arm,2008,6.9
arm,2009,-14.1
arm,2010,2.2
arm,2011,4.7
arm,2012,7.2
arm,2013,3.3
arm,2014,3.6
arm,2015,3.2
arm,2016,0.2
arm,2017,7.5
arm,2018,5.2
arm,2019,7.6
arm,2020,-7.4
asm,2003,0.96552
asm,2004,0.40984
asm,2005,-0.40816
asm,2006,-4.09836
asm,2007,1.85185
asm,2008,-2.65734
asm,2009,-4.16667
asm,2010,0.29985
asm,2011,0
asm,2012,-4.33483
asm,2013,-2.5
asm,2014,1.76282
asm,2015,3.14961
asm,2016,-1.67939
asm,2017,-6.98758
asm,2018,2.67112
asm,2019,-0.4878
asm,2020,3.92157
atg,1978,4.38363
atg,1979,8.07975
atg,1980,8.16143
atg,1981,3.81492
atg,1982,-0.08401
atg,1983,5.36402
atg,1984,10.165
atg,1985,7.64379
atg,1986,11.49383
atg,1987,6.62637
atg,1988,5.21327
atg,1989,5.25227
atg,1990,3.01171
atg,1991,2.17658
atg,1992,1.15848
atg,1993,5.27988
atg,1994,6.67671
atg,1995,-4.35959
atg,1996,6.60446
atg,1997,5.47161
atg,1998,4.73113
atg,1999,3.70762
atg,2000,6.20343
