geo,time,nv_srv_totl_cn
abw,1995,1915700000
abw,1996,2000090000
abw,1997,2182310000
abw,1998,2368880000
abw,1999,2493580000
abw,2000,2268220000
abw,2001,2394925000
abw,2002,2432212000
abw,2003,2485262000
abw,2004,2695033000
abw,2005,2810842000
abw,2006,2904719000
abw,2007,3062361000
abw,2008,3237802000
abw,2009,3111878000
afg,2002,65853927000
afg,2003,82887279700
afg,2004,102691703300
afg,2005,120207655300
afg,2006,138631244700
afg,2007,195598080700
afg,2008,233881907400
afg,2009,276756637300
afg,2010,354977247700
afg,2011,422595558200
afg,2012,520357922400
afg,2013,599956241000
afg,2014,623421357400
afg,2015,650938009100
afg,2016,721804877300
afg,2017,749796796700
afg,2018,789676031000
afg,2019,815226317200
afg,2020,846186719200
ago,1995,4964300
ago,1996,210147000
ago,1997,529744000
ago,1998,816106000
ago,1999,3604600000
ago,2000,20361200000
ago,2001,53140700000
ago,2002,252231344300
ago,2003,547297193600
ago,2004,793865180200
ago,2005,1144796160200
ago,2006,1564214818600
ago,2007,1732786579800
ago,2008,2281207956700
ago,2009,2732376802500
ago,2010,3225992542700
ago,2011,4103330322800
ago,2012,4841684790800
ago,2013,5645471202600
ago,2014,6705560971700
ago,2015,6788196055600
ago,2016,7775150392500
ago,2017,9475181459700
ago,2018,11072955321600
ago,2019,12673642620400
ago,2020,13374318000000
alb,1996,132983000000
alb,1997,140203000000
alb,1998,169311000000
alb,1999,207753000000
alb,2000,222046000000
alb,2001,253231000000
alb,2002,267253000000
alb,2003,284050000000
alb,2004,314097000000
alb,2005,350249000000
alb,2006,379844000000
alb,2007,431010000000
alb,2008,483053000000
alb,2009,518400000000
alb,2010,545761000000
alb,2011,575609000000
alb,2012,599161000000
alb,2013,602218000000
alb,2014,638804000000
alb,2015,663861000000
alb,2016,687606000000
alb,2017,743837000000
alb,2018,781629000000
alb,2019,819059000000
alb,2020,782215970000
are,1975,14849000000
are,1976,20993000000
are,1977,30613000000
are,1978,28820000000
are,1979,33477000000
are,1980,43393000000
are,1981,56302000000
are,1982,61970000000
are,1983,59498000000
are,1984,55784000000
are,1985,56376000000
are,1986,58143000000
are,1987,59005000000
are,1988,60975000000
are,1989,66564999900
are,1990,74523000000
are,1991,98265000000
are,1992,86262000000
are,1993,96054000000
are,1994,113011000000
are,1995,127111000000
are,1996,140011000000
are,1997,152140000000
are,1998,160622000000
are,1999,172573000000
are,2000,188602000000
are,2001,182442000000
are,2002,202662000000
are,2003,223542000000
are,2004,253290000000
are,2005,284967000000
are,2006,334468000000
are,2007,418501000000
are,2008,476810526300
are,2009,436879675000
are,2010,497063001600
are,2011,531773248400
are,2012,576576282700
are,2013,635390269000
are,2014,689861997400
are,2015,728189840000
are,2016,757577676500
are,2017,802309704700
are,2018,810154684600
are,2019,839553998204.23694
are,2020,767236989170.74304
arg,1965,0.18639
arg,1966,0.2412
arg,1967,0.34129
arg,1968,0.40012
arg,1969,0.47508
arg,1970,0.5771
arg,1971,0.71878
arg,1972,1.20686
arg,1973,2.11361
arg,1974,3.01038
arg,1975,8.3963
arg,1976,41.912
arg,1977,125.221
arg,1978,328.78101
arg,1979,930.82001
arg,1980,2013.40002
arg,1981,3975.30005
arg,1982,10773.5
arg,1983,54510
arg,1984,410850
arg,1985,2816400
arg,1986,5473200
arg,1987,12617400
arg,1988,58347000
arg,1989,1558310016
arg,1990,38496002048
arg,1991,109553999900
arg,1992,143519006700
arg,1993,144402599400
arg,1994,158559337300
arg,1995,160660320300
arg,1996,166966581000
arg,1997,178202602000
arg,1998,183971813200
arg,1999,180002318200
arg,2000,180382168900
arg,2001,174871223300
arg,2002,171220213800
arg,2003,191832986700
arg,2004,232064498900
arg,2005,282450308600
arg,2006,348997128200
arg,2007,444079911600
arg,2008,577756852500
arg,2009,665221188600
arg,2010,855706185300
arg,2011,1128993805900
arg,2012,1415454923200
arg,2013,1805377590000
arg,2014,2424193239400
arg,2015,3323504378400
arg,2016,4617827112800
arg,2017,6113634366500
arg,2018,8311612956900
arg,2019,11982267791900
arg,2020,15008349356200
arm,2012,1949726900000
arm,2013,2084193400000
arm,2014,2289398700000
arm,2015,2431670200000
arm,2016,2529112000000
arm,2017,2824829400000
arm,2018,3165941600000
arm,2019,3531639200000
arm,2020,3285925100000
atg,1977,157046605
atg,1978,179419423
atg,1979,221203052
atg,1980,261023528
atg,1981,291944727
atg,1982,335943656
atg,1983,376329522
atg,1984,432043231
atg,1985,493170833
atg,1986,567438546
atg,1987,654133253
atg,1988,772175371
atg,1989,847270299
atg,1990,899320000
atg,1991,940510000
atg,1992,987310000
atg,1993,1072410000
atg,1994,1181050000
atg,1995,1148330000
atg,1996,1260640000
atg,1997,1360290000
atg,1998,1462790000
atg,1999,1534030000
atg,2000,1700320000
atg,2001,1639290000
atg,2002,1648830000
atg,2003,1722170000
atg,2004,1816960000
atg,2005,2005620000
atg,2006,2134130000
atg,2007,2397500000
atg,2008,2488410000
atg,2009,2269050000
atg,2010,2192370000
atg,2011,2214030000
atg,2012,2320250000
atg,2013,2263190000
atg,2014,2375060000
atg,2015,2522050000
atg,2016,2658160000
atg,2017,2671020000
atg,2018,2854190000
atg,2019,3046390000
atg,2020,2416240000
aus,1990,240719000000
aus,1991,254325000000
aus,1992,261947000000
aus,1993,277901000000
aus,1994,291756000000
aus,1995,309361000000
aus,1996,330304000000
aus,1997,352875000000
aus,1998,374540000000
aus,1999,399621000000
aus,2000,426021000000
aus,2001,453323000000
aus,2002,483390000000
aus,2003,516061000000
aus,2004,555008000000
aus,2005,595088000000
aus,2006,636090000000
aus,2007,699576000000
aus,2008,759730000000
aus,2009,807575000000
aus,2010,855847000000
aus,2011,916332000000
aus,2012,977302000000
aus,2013,1017908000000
aus,2014,1050030000000
aus,2015,1091289000000
aus,2016,1130935000000
aus,2017,1178996000000
aus,2018,1228457000000
aus,2019,1285770000000
aus,2020,1312934000000
aut,1976,27781629000
aut,1977,31282713000
aut,1978,33086789000
aut,1979,37125917000
aut,1980,39807165000
aut,1981,42916878000
aut,1982,47223947000
aut,1983,50843111000
aut,1984,53601860000
aut,1985,56951893000
aut,1986,60473976000
aut,1987,63417945000
aut,1988,66681812000
aut,1989,71755301000
aut,1990,77176735000
aut,1991,83242601000
aut,1992,89343289000
aut,1993,93974464000
aut,1994,98288996000
aut,1995,104054030000
aut,1996,107116620000
aut,1997,110387540000
aut,1998,115575100000
aut,1999,119723930000
aut,2000,126687900000
aut,2001,131184920000
aut,2002,136711580000
aut,2003,140030020000
aut,2004,146180270000
aut,2005,153899410000
aut,2006,162578490000
aut,2007,171282200000
aut,2008,179273000000
aut,2009,179072880000
aut,2010,184326320000
aut,2011,193136480000
aut,2012,197567610000
aut,2013,201882160000
aut,2014,208728650000
aut,2015,216478680000
aut,2016,223875060000
aut,2017,231083800000
aut,2018,242293790000
aut,2019,251265240000
aut,2020,239524490000
aze,1990,101900
aze,1991,183000
aze,1992,1389300
aze,1993,11272900
aze,1994,142546300
aze,1995,809600000
aze,1996,843000000
aze,1997,1131200000
aze,1998,1491200000
aze,1999,1474000000
aze,2000,1688400000
aze,2001,1832800000
aze,2002,1967600000
aze,2003,2281500000
aze,2004,2712500000
aze,2005,3181900000
aze,2006,4370500000
aze,2007,6135000000
aze,2008,9409000000
aze,2009,11116400000
aze,2010,11862000000
aze,2011,14230800000
aze,2012,15989700000
aze,2013,17986400000
aze,2014,19838100000
aze,2015,21749800000
aze,2016,23380000000
aze,2017,26430200000
aze,2018,27870400000
aze,2019,29884800000
aze,2020,30445200000
bdi,1970,3772100000
bdi,1971,4200200000
bdi,1972,4635500000
bdi,1973,4439300000
bdi,1974,5304100000
bdi,1975,6452800000
bdi,1976,7958900000
bdi,1977,9507710000
bdi,1978,11319600000
bdi,1979,14262500000
bdi,1980,19239100000
bdi,1981,20897300000
bdi,1982,23371100000
bdi,1983,25629100000
bdi,1984,27959900000
bdi,1985,32130000000
bdi,1986,34424700000
bdi,1987,35604100000
bdi,1988,39289600000
bdi,1989,41359000000
bdi,1990,44567000000
bdi,1991,49475000000
bdi,1992,51169371900
bdi,1993,50938742800
bdi,1994,62568000100
bdi,1995,71114001200
bdi,1996,73995695500
bdi,1997,111657100000
bdi,1998,134059900000
bdi,1999,162638800000
bdi,2000,201555867200
bdi,2001,254806174700
bdi,2002,272769210000
bdi,2003,287350745500
bdi,2004,342387261900
bdi,2005,410980000000
bdi,2006,467664000000
bdi,2007,585702000000
bdi,2008,732376000000
bdi,2009,829255000000
bdi,2010,924165000000
bdi,2011,1071258000000
bdi,2012,1307622000000
bdi,2013,1373396000000
bdi,2014,1637499000000
bdi,2015,2408930000000
bdi,2016,2334598800000
bdi,2017,2705987070700
bdi,2018,2659323400000
bdi,2019,2665521139200
bdi,2020,2820848026800
bel,1995,132168900000
bel,1996,134072700000
bel,1997,139098500000
bel,1998,145710000000
bel,1999,153657000000
bel,2000,161660300000
bel,2001,169606300000
bel,2002,176737300000
bel,2003,183657600000
bel,2004,193659400000
bel,2005,204235200000
bel,2006,215084300000
bel,2007,226974200000
bel,2008,235517900000
bel,2009,235902500000
bel,2010,245692000000
bel,2011,255555600000
bel,2012,264526200000
bel,2013,270191000000
bel,2014,278721700000
bel,2015,288476600000
bel,2016,298374100000
bel,2017,308467300000
bel,2018,320303100000
bel,2019,331995000000
bel,2020,317912500000
ben,1960,24189939700
ben,1961,25427908600
ben,1962,26357739500
ben,1963,27880561200
ben,1964,28877103600
ben,1965,33674563000
ben,1966,32407568400
ben,1967,35033325600
ben,1968,40605601800
ben,1969,43369304000
ben,1970,47923046400
ben,1971,48126521300
ben,1972,53652565000
ben,1973,58548269100
ben,1974,68599193600
ben,1975,77313701900
ben,1976,89940099200
ben,1977,102432983000
ben,1978,107843893200
ben,1979,130366810100
