geo,time,ip_tmk_totl
abw,1989,1895
abw,1992,751
abw,2002,580
ago,1992,1976
ago,2016,3604
ago,2017,3346
ago,2018,4117
ago,2019,4333
alb,1994,34
alb,1995,1258
alb,1996,2094
alb,1997,2416
alb,1998,2364
alb,1999,2316
alb,2000,2534
alb,2001,2524
alb,2002,2224
alb,2003,2344
alb,2004,2710
alb,2005,3209
alb,2006,3460
alb,2007,3671
alb,2008,4024
alb,2009,3456
alb,2010,3365
alb,2011,3396
alb,2013,2941
alb,2014,3012
alb,2015,3030
alb,2016,3285
alb,2017,3497
alb,2018,3713
and,1996,2449
and,1997,7643
and,1998,2404
and,1999,1141
and,2000,1620
and,2001,1578
and,2002,725
and,2003,859
and,2004,741
and,2005,806
and,2006,876
and,2007,1071
and,2008,1021
and,2009,785
and,2010,948
and,2011,803
and,2012,620
and,2014,896
and,2015,1053
and,2016,991
and,2017,977
and,2018,1180
and,2019,1060
are,1993,4174
are,1994,4772
are,1995,5344
are,1996,5524
are,1997,5050
are,1998,4602
are,1999,4764
are,2000,5680
are,2001,5555
are,2002,5392
are,2003,7102
are,2004,8101
are,2005,10262
are,2006,12476
are,2007,15695
are,2008,19282
are,2009,13297
are,2010,13497
are,2011,16059
are,2012,16798
are,2013,18747
are,2014,20321
are,2015,21415
are,2016,18777
are,2017,19042
are,2018,18450
are,2019,18686
arg,1980,25316
arg,1981,29742
arg,1982,24616
arg,1983,28363
arg,1984,55090
arg,1986,58650
arg,1987,53717
arg,1988,45257
arg,1989,41605
arg,1990,67053
arg,1991,44357
arg,1992,37345
arg,1993,37687
arg,1994,49867
arg,1995,60884
arg,1996,47972
arg,1997,60194
arg,1998,72008
arg,1999,64719
arg,2000,61847
arg,2001,40583
arg,2002,42812
arg,2003,81216
arg,2004,76431
arg,2005,79018
arg,2006,77711
arg,2007,71559
arg,2008,89629
arg,2009,83683
arg,2010,88428
arg,2011,77494
arg,2012,60170
arg,2013,55295
arg,2014,58486
arg,2015,66278
arg,2016,71058
arg,2017,74722
arg,2018,71712
arg,2019,64385
arm,1995,3399
arm,1996,3928
arm,1997,2494
arm,1998,3179
arm,1999,2983
arm,2000,2886
arm,2001,2843
arm,2002,2328
arm,2003,2841
arm,2004,4169
arm,2005,3566
arm,2006,3800
arm,2007,4422
arm,2008,4191
arm,2009,3951
arm,2010,4308
arm,2011,4378
arm,2012,4513
arm,2013,4537
arm,2014,4506
arm,2015,4361
arm,2016,4015
arm,2017,4539
arm,2018,4715
arm,2019,5467
atg,2011,828
atg,2012,810
atg,2013,771
atg,2014,784
atg,2015,903
atg,2016,864
atg,2017,833
atg,2018,766
aus,1980,13567
aus,1981,14929
aus,1982,15737
aus,1983,13818
aus,1984,15415
aus,1985,18459
aus,1986,19194
aus,1987,21150
aus,1988,22256
aus,1989,23821
aus,1990,22015
aus,1991,21810
aus,1992,23460
aus,1993,26126
aus,1994,30051
aus,1995,32382
aus,1996,24926
aus,1997,26997
aus,1998,30171
aus,1999,36733
aus,2000,42890
aus,2001,37841
aus,2002,39595
aus,2003,44202
aus,2004,53280
aus,2005,55906
aus,2006,59280
aus,2007,60316
aus,2008,57841
aus,2009,55649
aus,2010,58913
aus,2011,60613
aus,2012,62759
aus,2013,61730
aus,2014,64653
aus,2015,70760
aus,2016,72325
aus,2017,74609
aus,2018,79135
aus,2019,73646
aut,1980,6590
aut,1981,5862
aut,1982,6864
aut,1983,5770
aut,1984,6366
aut,1985,14492
aut,1986,10769
aut,1987,12259
aut,1988,15174
aut,1989,16329
aut,1990,17154
aut,1991,15968
aut,1992,15796
aut,1993,16235
aut,1994,17664
aut,1995,19793
aut,1996,17198
aut,1997,17589
aut,1998,18322
aut,1999,18488
aut,2000,20665
aut,2001,19086
aut,2002,16962
aut,2003,17076
aut,2004,16617
aut,2005,15267
aut,2006,14619
aut,2007,14142
aut,2008,13335
aut,2009,11251
aut,2010,10162
aut,2011,9367
aut,2012,9482
aut,2013,8959
aut,2014,8718
aut,2015,8126
aut,2016,8189
aut,2017,8195
aut,2018,8633
aut,2019,8856
aze,1995,1101
aze,1996,1992
aze,2001,4427
aze,2002,2378
aze,2003,2797
aze,2004,3496
aze,2005,4202
aze,2006,4762
aze,2007,4586
aze,2008,5839
aze,2009,4357
aze,2010,4412
aze,2011,5106
aze,2012,5225
aze,2013,5719
aze,2014,5301
aze,2015,4952
aze,2016,4702
aze,2017,4925
aze,2018,5002
aze,2019,5431
bdi,1980,110
bdi,1981,75
bdi,1982,97
bdi,1983,86
bdi,1984,107
bdi,1986,38
bdi,1989,65
bdi,1990,101
bdi,1991,90
bdi,1992,77
bdi,1993,138
bdi,1994,100
bdi,1995,117
bdi,1996,78
bdi,2002,152
bel,1980,8048
bel,1981,8656
bel,1982,9289
bel,1983,10165
bel,1984,10732
bel,1985,18104
bel,1986,18994
bel,1987,33062
bel,1988,27845
bel,1989,30495
bel,1990,33102
bel,1991,28975
bel,1992,29705
bel,1993,30386
bel,1994,33775
bel,1995,37262
bel,1996,34981
bel,1997,34286
bel,1998,34497
bel,1999,36262
bel,2000,37104
bel,2001,33673
bel,2002,31505
bel,2003,32016
bel,2004,31124
bel,2005,37444
bel,2006,33313
bel,2007,30322
bel,2008,28538
bel,2009,25166
bel,2010,25671
bel,2011,25758
bel,2012,24460
bel,2013,23753
bel,2014,23127
bel,2015,24618
bel,2016,24336
bel,2017,24419
bel,2018,23572
bel,2019,23246
bfa,1998,5
bfa,1999,1
bfa,2000,5
bfa,2001,15
bfa,2003,35
bfa,2004,42
bfa,2005,30
bfa,2010,34
bgd,1980,1193
bgd,1981,1141
bgd,1982,1406
bgd,1983,1858
bgd,1984,1863
bgd,1985,2045
bgd,1986,1784
bgd,1987,1749
bgd,1988,2049
bgd,1989,2309
bgd,1990,2474
bgd,1991,2434
bgd,1992,3102
bgd,1993,3274
bgd,1994,3605
bgd,1995,3766
bgd,1996,4444
bgd,1997,5066
bgd,1998,5243
bgd,1999,5435
bgd,2000,6170
bgd,2001,5369
bgd,2002,5411
bgd,2003,6004
bgd,2004,6357
bgd,2005,7425
bgd,2006,6940
bgd,2007,8913
bgd,2008,9862
bgd,2009,9306
bgd,2010,10231
bgd,2011,11645
bgd,2012,11429
bgd,2013,11581
bgd,2014,11541
bgd,2015,12809
bgd,2016,12375
bgd,2017,13090
bgd,2018,12080
bgd,2019,12435
bgr,1980,495
bgr,1981,564
bgr,1982,544
bgr,1983,518
bgr,1984,512
bgr,1985,1110
bgr,1986,1824
bgr,1987,2028
bgr,1988,2369
bgr,1989,2941
bgr,1990,4830
bgr,1991,5433
bgr,1992,5667
bgr,1993,5595
bgr,1994,7320
bgr,1995,7966
bgr,1996,7285
bgr,1997,7970
bgr,1998,7407
bgr,1999,8294
bgr,2000,8982
bgr,2001,8820
bgr,2002,9293
bgr,2003,11197
bgr,2004,12510
bgr,2005,13587
bgr,2006,14906
bgr,2007,11348
bgr,2008,10282
bgr,2009,7391
bgr,2010,6921
bgr,2011,6374
bgr,2012,6124
bgr,2013,5868
bgr,2014,6178
bgr,2015,5836
bgr,2016,5965
bgr,2017,5989
bgr,2018,5815
bgr,2019,5387
bhr,1980,790
bhr,1981,779
bhr,1982,807
