geo,time,en_atm_meth_zg
abw,1991,2.03732
abw,1992,4.75199
abw,1993,7.96808
abw,1994,11.20131
abw,1995,13.96605
abw,1996,11.77587
abw,1997,41.78417
abw,1998,14.30473
abw,1999,15.66733
abw,2000,18.94075
abw,2001,21.34771
abw,2002,24.53811
abw,2003,27.29166
abw,2004,30.48205
abw,2005,32.98324
abw,2006,36.23359
abw,2007,39.99394
abw,2008,43.26933
abw,2009,46.58031
abw,2010,49.83857
abw,2011,51.33696
abw,2012,52.83534
afg,1991,0.97672
afg,1992,-3.17335
afg,1993,-2.00181
afg,1994,0.51589
afg,1995,3.38587
afg,1996,12.90186
afg,1997,20.79323
afg,1998,27.17231
afg,1999,35.11363
afg,2000,23.02958
afg,2001,13.62057
afg,2002,30.17799
afg,2003,35.69966
afg,2004,37.9389
afg,2005,40.26336
afg,2006,42.50785
afg,2007,44.86508
afg,2008,47.15545
afg,2009,50.73326
afg,2010,76.90145
afg,2011,78.67047
afg,2012,80.43948
ago,1991,-13.09824
ago,1992,28.25076
ago,1993,-20.44259
ago,1994,-10.1848
ago,1995,-2.88306
ago,1996,-5.22977
ago,1997,-31.67063
ago,1998,-27.06425
ago,1999,-27.04158
ago,2000,-28.55452
ago,2001,-29.73967
ago,2002,-28.84242
ago,2003,-29.31847
ago,2004,-28.32466
ago,2005,-25.83286
ago,2006,-24.72162
ago,2007,-24.96056
ago,2008,-21.59827
ago,2009,-18.40055
ago,2010,-15.65985
ago,2011,-14.81645
ago,2012,-13.97305
alb,1991,-5.86856
alb,1992,-10.91458
alb,1993,-7.95301
alb,1994,9.30521
alb,1995,8.70724
alb,1996,2.80531
alb,1997,-3.47473
alb,1998,-6.88939
alb,1999,-7.46341
alb,2000,2.42799
alb,2001,-7.92042
alb,2002,-8.39197
alb,2003,-2.89639
alb,2004,-3.02086
alb,2005,-2.74484
alb,2006,-2.42171
alb,2007,-1.6184
alb,2008,-1.19083
alb,2009,-2.81748
alb,2010,1.78291
alb,2011,2.80074
alb,2012,3.81857
are,1991,7.70469
are,1992,10.96061
are,1993,9.07467
are,1994,15.73203
are,1995,25.01176
are,1996,36.89696
are,1997,37.56725
are,1998,38.88064
are,1999,37.55917
are,2000,49.43922
are,2001,46.89696
are,2002,52.42246
are,2003,61.40306
are,2004,65.7504
are,2005,67.34823
are,2006,75.86653
are,2007,80.34029
are,2008,79.75452
are,2009,84.0879
are,2010,88.20667
are,2011,90.08874
are,2012,91.97081
arg,1991,-1.40572
arg,1992,0.06171
arg,1993,-0.50449
arg,1994,-0.99331
arg,1995,0.10971
arg,1996,-0.66906
arg,1997,0.48392
arg,1998,-1.77699
arg,1999,-3.70453
arg,2000,-2.81036
arg,2001,-3.4951
arg,2002,-6.0634
arg,2003,-0.99625
arg,2004,-0.57012
arg,2005,-1.91707
arg,2006,-2.01601
arg,2007,-4.21167
arg,2008,-4.10098
arg,2009,-8.78677
arg,2010,-15.02836
arg,2011,-14.17864
arg,2012,-13.32893
arm,1991,-4.99325
arm,1992,-9.84497
arm,1993,-16.91317
arm,1994,-12.19988
arm,1995,-15.99751
arm,1996,-11.35654
arm,1997,-9.56189
arm,1998,-11.6808
arm,1999,-9.35945
arm,2000,-11.224
arm,2001,-12.31962
arm,2002,-9.87853
arm,2003,-6.11897
arm,2004,-2.1805
arm,2005,2.44074
arm,2006,6.72907
arm,2007,7.47586
arm,2008,11.94622
arm,2009,12.48399
arm,2010,15.19258
arm,2011,16.87042
arm,2012,18.54788
asm,1991,3.11917
asm,1992,5.8686
asm,1993,8.36987
asm,1994,10.60069
asm,1995,12.63516
asm,1996,14.464
asm,1997,16.069
asm,1998,17.277
asm,1999,18.44992
asm,2000,19.54594
asm,2001,20.95074
asm,2002,22.32274
asm,2003,23.58276
asm,2004,25.12329
asm,2005,26.86176
asm,2006,28.75179
asm,2007,31.91768
asm,2008,36.09475
asm,2009,40.3804
asm,2010,45.43406
asm,2011,46.8884
asm,2012,48.34274
atg,1991,0.71161
atg,1992,1.39704
atg,1993,2.70312
atg,1994,4.44766
atg,1995,5.56366
atg,1996,4.56002
atg,1997,4.13761
atg,1998,3.49781
atg,1999,3.3173
atg,2000,3.28323
atg,2001,5.56788
atg,2002,7.20429
atg,2003,8.74832
atg,2004,10.95779
atg,2005,11.62773
atg,2006,13.18078
atg,2007,14.64963
atg,2008,16.41726
atg,2009,17.9506
atg,2010,19.47041
atg,2011,20.66512
atg,2012,21.85982
aus,1991,4.73383
aus,1992,1.17499
aus,1993,-2.00955
aus,1994,7.06296
aus,1995,-2.18237
aus,1996,-1.41989
aus,1997,3.0178
aus,1998,1.53191
aus,1999,5.76031
aus,2000,11.27486
aus,2001,18.23448
aus,2002,14.89796
aus,2003,9.01346
aus,2004,10.05818
aus,2005,6.09813
aus,2006,3.41728
aus,2007,17.76987
aus,2008,6.16153
aus,2009,10.75293
aus,2010,6.44724
aus,2011,7.77277
aus,2012,9.06487
aut,1991,0.10469
aut,1992,-1.44317
aut,1993,-0.92878
aut,1994,-4.00925
aut,1995,-4.67151
aut,1996,-5.73579
aut,1997,-7.79446
aut,1998,-8.71985
aut,1999,-9.20074
aut,2000,-10.41449
aut,2001,-11.33668
aut,2002,-12.33486
aut,2003,-13.21329
aut,2004,-14.5402
aut,2005,-15.68195
aut,2006,-15.92404
aut,2007,-16.40374
aut,2008,-17.19322
aut,2009,-17.57162
aut,2010,-16.33025
aut,2011,-18.86066
aut,2012,-20.16578
aze,1991,-3.60257
aze,1992,-8.40773
aze,1993,-13.614
aze,1994,-17.32426
aze,1995,-20.43034
aze,1996,-22.3428
aze,1997,-22.54117
aze,1998,-20.43103
aze,1999,-15.34625
aze,2000,-13.12449
aze,2001,-10.33556
aze,2002,-7.63014
aze,2003,-3.47864
aze,2004,-1.1162
aze,2005,5.61854
aze,2006,14.12576
aze,2007,29.2211
aze,2008,47.88934
aze,2009,56.40965
aze,2010,60.58385
aze,2011,67.3684
aze,2012,74.15337
bdi,1991,1.88997
bdi,1992,4.49829
bdi,1993,7.43403
bdi,1994,8.11335
bdi,1995,7.64785
bdi,1996,10.523
bdi,1997,11.95505
bdi,1998,14.67173
bdi,1999,-12.79516
bdi,2000,-12.32733
bdi,2001,21.75446
bdi,2002,24.12391
bdi,2003,24.31267
bdi,2004,30.00472
bdi,2005,32.8152
bdi,2006,37.0921
bdi,2007,40.61803
bdi,2008,44.64907
bdi,2009,50.77457
bdi,2010,55.29617
bdi,2011,56.84913
bdi,2012,58.40209
bel,1991,0.53837
bel,1992,-1.1828
bel,1993,-3.14745
bel,1994,-3.51949
bel,1995,-2.30856
bel,1996,-5.85938
bel,1997,-8.65488
bel,1998,-10.70229
bel,1999,-9.01808
bel,2000,-10.9763
bel,2001,-13.94215
bel,2002,-17.6368
bel,2003,-20.3182
bel,2004,-20.40145
bel,2005,-22.67023
bel,2006,-22.98795
bel,2007,-23.28405
bel,2008,-23.35966
bel,2009,-22.97228
bel,2010,-22.60064
bel,2011,-24.34934
bel,2012,-25.7264
ben,1991,-19.30599
ben,1992,-6.63912
ben,1993,-12.29671
ben,1994,-10.05586
ben,1995,-3.35755
ben,1996,-3.69665
ben,1997,-1.56031
ben,1998,-17.06456
ben,1999,-9.00967
ben,2000,-12.02715
ben,2001,-13.40502
ben,2002,-2.45043
ben,2003,-19.43178
ben,2004,-14.64127
ben,2005,-14.49731
ben,2006,-11.59098
ben,2007,9.34837
ben,2008,38.42348
ben,2009,40.28147
ben,2010,33.71677
ben,2011,35.05394
ben,2012,36.3911
bfa,1991,-1.34095
bfa,1992,4.6918
bfa,1993,6.79979
bfa,1994,10.65367
bfa,1995,16.49452
bfa,1996,19.92247
bfa,1997,24.42402
bfa,1998,27.24781
bfa,1999,19.20032
bfa,2000,24.88989
bfa,2001,38.7604
bfa,2002,38.59047
bfa,2003,44.42068
bfa,2004,52.79712
bfa,2005,62.28157
bfa,2006,68.94763
bfa,2007,85.07742
bfa,2008,87.39569
bfa,2009,95.45299
bfa,2010,102.59154
bfa,2011,104.61746
