geo,time,dc_dac_ausl_cd
afg,1965,29999.99933
afg,1966,39999.99911
afg,1967,39999.99911
afg,1968,59999.99866
afg,1969,740000.00954
afg,1970,100000.00149
afg,1971,119999.99732
afg,1972,150000.00596
afg,1973,579999.98331
afg,1974,150000.00596
afg,1975,250000
afg,1976,259999.99046
afg,1977,649999.97616
afg,1978,1029999.97139
afg,1979,200000.00298
afg,1980,50000.00075
afg,1981,9999.99978
afg,1985,19999.99955
afg,1987,19999.99955
afg,1988,29999.99933
afg,1989,430000.00715
afg,1990,1230000.01907
afg,1991,4750000
afg,1992,439999.99762
afg,1993,759999.99046
afg,1994,2900000.09537
afg,1995,2900000.09537
afg,1996,2029999.97139
afg,1997,4079999.92371
afg,1998,3079999.92371
afg,1999,79999.99821
afg,2000,2150000.09537
afg,2001,6179999.82834
afg,2002,12770000.45776
afg,2003,8310000.41962
afg,2004,21090000.15259
afg,2005,15850000.38147
afg,2006,21149999.61853
afg,2007,50250000
afg,2008,138440002.44141
afg,2009,96739997.86377
afg,2010,99180000.30518
afg,2011,159389999.38965
afg,2012,226679992.67578
afg,2013,104440002.44141
afg,2014,148779998.7793
afg,2015,79129997.25342
afg,2016,61259998.32153
afg,2017,60849998.47412
afg,2018,75029998.7793
afg,2019,60880001.06812
ago,1981,200000.00298
ago,1983,9999.99978
ago,1987,9999.99978
ago,1988,9999.99978
ago,1990,1340000.03338
ago,1991,259999.99046
ago,1992,300000.01192
ago,1993,209999.99344
ago,1994,1929999.94755
ago,1995,1990000.00954
ago,1996,1049999.95232
ago,1997,1490000.00954
ago,1998,1289999.96185
ago,1999,800000.01192
ago,2000,899999.97616
ago,2006,50000.00075
ago,2007,889999.98569
ago,2011,219999.99881
ago,2012,189999.99762
ago,2013,230000.00417
ago,2014,119999.99732
ago,2015,50000.00075
ago,2016,19999.99955
ago,2018,0
ago,2019,19999.99955
alb,1993,9999.99978
alb,1994,9999.99978
alb,1996,0
alb,2001,9999.99978
alb,2008,9999.99978
alb,2009,9999.99978
alb,2010,9999.99978
alb,2011,9999.99978
alb,2012,19999.99955
alb,2013,9999.99978
alb,2015,119999.99732
alb,2016,230000.00417
alb,2017,180000.00715
alb,2018,50000.00075
alb,2019,39999.99911
arg,1977,9999.99978
arg,1981,9999.99978
arg,1982,29999.99933
arg,1991,9999.99978
arg,1992,19999.99955
arg,1993,9999.99978
arg,1994,19999.99955
arg,2000,19999.99955
arg,2001,29999.99933
arg,2002,29999.99933
arg,2004,29999.99933
arg,2008,29999.99933
arg,2009,70000.0003
arg,2010,180000.00715
arg,2011,370000.00477
arg,2012,1379999.99523
arg,2013,819999.99285
arg,2014,1009999.99046
arg,2015,370000.00477
arg,2016,150000.00596
arg,2017,460000.00834
arg,2018,109999.9994
arg,2019,140000.0006
arm,1991,9999.99978
arm,1992,19999.99955
arm,1993,29999.99933
arm,1996,0
arm,2003,19999.99955
arm,2016,29999.99933
arm,2017,140000.0006
atg,1983,39999.99911
atg,1984,9999.99978
atg,1986,9999.99978
