geo,time,sn_itk_msfi_zs
afg,2015,45.1
afg,2016,49.6
afg,2017,54.3
afg,2018,57.5
afg,2019,63.1
ago,2015,66.5
ago,2018,70.1
ago,2019,73.5
alb,2015,38.8
alb,2016,39
alb,2017,38.6
alb,2018,37.1
alb,2019,33.8
arg,2015,19.2
arg,2016,25.9
arg,2017,32.3
arg,2018,35.8
arg,2019,35.8
arm,2017,17.1
arm,2018,14.8
arm,2019,12.7
aus,2015,10.8
aus,2016,11.8
aus,2017,12.7
aus,2018,13.3
aus,2019,12.3
aut,2015,5.5
aut,2016,5.2
aut,2017,4.4
aut,2018,3.6
aut,2019,3
aze,2015,5.9
aze,2016,7.7
aze,2017,8.6
aze,2018,9.6
aze,2019,8.9
bel,2019,3.7
bfa,2015,41.8
bfa,2016,43
bfa,2017,42.9
bfa,2018,42.8
bfa,2019,47.9
bgd,2015,32.2
bgd,2016,31.9
bgd,2017,31.5
bgd,2018,31.5
bgd,2019,31.9
bgr,2015,14.9
bgr,2016,13.6
bgr,2017,12
bgr,2018,12.5
bgr,2019,13.2
bih,2015,9.6
bih,2016,10.3
bih,2017,8.7
bih,2018,9.2
bih,2019,10
bra,2015,18.3
bra,2016,21.5
bra,2017,21.8
bra,2018,20.6
bra,2019,23.5
bwa,2015,45.9
bwa,2016,47.1
bwa,2017,48.3
bwa,2018,49.5
bwa,2019,50.8
caf,2019,81.3
can,2015,5
can,2016,5
can,2017,5
can,2018,5.1
can,2019,5.8
che,2015,4.8
che,2016,4.2
che,2017,3.1
che,2018,2.6
che,2019,2
chl,2015,10.8
chl,2016,12.2
chl,2017,13.7
chl,2018,15.3
chl,2019,17.9
cmr,2019,55.8
cod,2019,69.2
cog,2015,82
cog,2016,85.3
cog,2017,87.9
cog,2018,88.2
cog,2019,88.3
cpv,2018,36.4
cpv,2019,35.1
cri,2015,12.2
cri,2016,12.9
cri,2017,13.7
cri,2018,14.5
cri,2019,15.3
cze,2015,5.8
cze,2016,5.1
cze,2017,3.9
cze,2018,3.8
cze,2019,4.2
deu,2015,4.1
deu,2016,3.8
deu,2017,3.6
deu,2018,3.5
deu,2019,3.4
dnk,2015,5.9
dnk,2016,5.8
dnk,2017,5.4
dnk,2018,5.2
dnk,2019,5
dza,2015,22.9
dza,2016,21.5
dza,2017,19.7
dza,2018,17.6
dza,2019,17.6
ecu,2015,20.7
ecu,2016,23.3
ecu,2017,26.2
ecu,2018,29.2
ecu,2019,32.7
egy,2015,27.8
egy,2016,29.9
egy,2017,33.1
egy,2018,31.2
egy,2019,27.8
esp,2015,7.1
esp,2016,7.5
esp,2017,7.5
esp,2018,8.6
esp,2019,8.8
est,2015,9.5
est,2016,8.3
est,2017,8.2
est,2018,7.4
est,2019,7.9
eth,2015,56.2
eth,2016,58.3
eth,2017,59.4
eth,2018,57.9
eth,2019,56.3
fin,2015,9.3
fin,2016,8.4
fin,2017,8.3
fin,2018,7.7
fin,2019,8
fji,2018,14.3
fji,2019,14.3
fra,2015,6.8
fra,2016,6.3
fra,2017,6.3
fra,2018,6
fra,2019,5.8
gbr,2015,6.3
gbr,2016,6.1
gbr,2017,5.6
gbr,2018,4.9
gbr,2019,3.9
geo,2015,31.8
geo,2016,33.8
geo,2017,35.5
geo,2018,38.3
geo,2019,39.7
gha,2015,49.3
gha,2016,49.6
gha,2017,49.8
gha,2018,50
gha,2019,50.2
gin,2015,72.5
gin,2016,73.4
gin,2017,74.1
gin,2018,74.1
gin,2019,74.1
gmb,2015,52.7
gmb,2016,52.7
gmb,2017,52.7
gmb,2018,54.3
gmb,2019,56
grc,2015,15.8
grc,2016,16.4
grc,2017,16.6
grc,2018,13.3
grc,2019,8.6
gtm,2015,42.7
gtm,2016,44.2
gtm,2017,43.5
gtm,2018,45.2
gtm,2019,49.7
hnd,2015,41.6
hnd,2016,41.4
hnd,2017,41.1
hnd,2018,40.9
hnd,2019,45.6
hrv,2015,6.5
hrv,2016,6.9
hrv,2017,7.8
hrv,2018,10
hrv,2019,11
hun,2015,11.3
hun,2016,9.4
hun,2017,8.8
hun,2018,6.9
hun,2019,8.6
idn,2015,6
idn,2016,7.3
idn,2017,7.6
idn,2018,7
idn,2019,6.2
irl,2015,8.9
irl,2016,7.2
irl,2017,6.6
irl,2018,7.2
irl,2019,8.3
irn,2015,48
irn,2016,45.3
irn,2017,42.4
irn,2018,40.6
irn,2019,42.5
isl,2015,6.4
isl,2016,7.2
isl,2017,6.8
isl,2018,7.2
isl,2019,6.6
isr,2015,11
isr,2016,11.6
isr,2017,12.3
isr,2018,12.9
isr,2019,13.7
ita,2015,8.6
ita,2016,7.6
ita,2017,7.5
ita,2018,7.2
ita,2019,6.7
jpn,2015,2.6
jpn,2016,2.7
jpn,2017,3.2
jpn,2018,3.2
jpn,2019,3.4
kaz,2017,2.1
kaz,2018,2.1
kaz,2019,2.3
ken,2015,53
ken,2016,56.6
ken,2017,60.4
ken,2018,64.3
ken,2019,68.5
kgz,2017,6.3
kgz,2018,6.3
kgz,2019,7
khm,2015,48.9
khm,2016,45.4
khm,2017,44.9
khm,2018,44.1
khm,2019,44.8
kir,2018,40.9
kir,2019,40.9
kor,2015,4.8
kor,2016,5
kor,2017,5.4
kor,2018,5.2
kor,2019,5.1
kwt,2015,12.6
kwt,2016,12.4
kwt,2017,12.3
kwt,2018,12.3
kwt,2019,12.2
lao,2019,29.4
lbr,2019,80.6
lby,2015,29.1
lby,2016,30.9
lby,2017,33.2
lby,2018,35.7
lby,2019,37.4
lca,2015,22.2
lca,2016,22.2
lca,2017,22.2
lso,2019,49.7
ltu,2015,15.3
ltu,2016,13.3
ltu,2017,12.3
ltu,2018,10.7
ltu,2019,11.3
lux,2015,4.7
lux,2016,4
lux,2017,3.3
lux,2018,3.3
lux,2019,3.1
lva,2015,9.9
lva,2016,9.5
lva,2017,9.4
lva,2018,9.5
lva,2019,10.2
mar,2018,26.7
mar,2019,28
mda,2015,19.3
mda,2016,21
mda,2017,24.6
mda,2018,27.5
mda,2019,27.2
mex,2015,25.6
mex,2016,24.3
mex,2017,23
mex,2018,23
mex,2019,26.1
mkd,2015,15.1
mkd,2016,13.7
mkd,2017,14.3
mkd,2018,14.4
mkd,2019,17.7
mlt,2015,5.9
mlt,2016,5.6
mlt,2017,5.1
mlt,2018,4.4
mlt,2019,4.3
mmr,2019,22.2
mne,2015,12.6
mne,2016,11.3
mne,2017,12
mne,2018,12.9
mne,2019,13.5
mng,2015,21
mng,2016,25.7
mng,2017,27.1
mng,2018,27.5
mng,2019,26.2
moz,2018,68.4
moz,2019,71.1
mrt,2015,26.3
mrt,2016,29.2
mrt,2017,32.3
mrt,2018,35.9
mrt,2019,39.8
mus,2015,13
mus,2016,16.6
mus,2017,18.5
mus,2018,20.7
mus,2019,24.2
mwi,2015,81.9
mwi,2016,81.9
mwi,2017,81.8
mwi,2018,81.8
mwi,2019,81.8
mys,2015,17.4
mys,2016,15.1
mys,2017,15.1
mys,2018,15.1
mys,2019,18.7
nam,2015,53.2
nam,2016,54.2
nam,2017,55.3
nam,2018,56.4
nam,2019,57.6
nga,2015,36.5
nga,2016,40.1
nga,2017,43.6
nga,2018,47.1
nga,2019,57.7
nld,2015,5.7
nld,2016,5.5
nld,2017,5.1
nld,2018,5.1
nld,2019,4.7
nor,2015,4.8
nor,2016,5
nor,2017,4.8
nor,2018,4.8
nor,2019,4.1
npl,2015,29.5
npl,2016,31.2
npl,2017,31.6
npl,2018,33.8
npl,2019,36.4
nzl,2015,10
nzl,2016,11.3
nzl,2017,13.3
nzl,2018,13.9
nzl,2019,14
per,2015,37.2
per,2016,42.6
per,2017,42.9
per,2018,44.9
per,2019,47.8
phl,2015,41.2
phl,2018,41.2
phl,2019,42.7
pol,2015,8.9
pol,2016,6.3
pol,2017,5.3
pol,2018,4.3
pol,2019,5.8
prt,2015,14.7
prt,2016,13.2
prt,2017,11.6
prt,2018,10.7
prt,2019,11.5
pse,2017,26.3
pse,2018,26.3
pse,2019,26.3
rou,2015,19.3
rou,2016,16.6
rou,2017,14.7
rou,2018,14.5
rou,2019,13.9
rus,2015,8.2
rus,2016,8.9
rus,2017,7.9
rus,2018,7.1
rus,2019,6
sdn,2015,41.4
sdn,2016,43.9
sdn,2017,46.4
sdn,2018,48.9
sdn,2019,49.4
sen,2015,39.3
sen,2016,40.8
sen,2017,38
sen,2018,39.7
sen,2019,40.9
sgp,2015,2.8
sgp,2016,3.1
sgp,2017,4.1
sgp,2018,4.7
sgp,2019,4.5
sle,2015,78.4
sle,2016,79.2
sle,2017,79.9
sle,2018,80.6
sle,2019,83.9
slv,2015,42.2
slv,2016,41.6
slv,2017,41.6
slv,2018,42.2
slv,2019,47.1
som,2019,79.1
srb,2015,11.4
srb,2016,12.8
srb,2017,12.5
srb,2018,12.4
srb,2019,12
ssd,2015,85.1
ssd,2017,85.1
ssd,2018,84.9
ssd,2019,84.8
svk,2015,6.2
svk,2016,5.3
svk,2017,5
svk,2018,5
svk,2019,6
svn,2015,12.3
svn,2016,11.8
svn,2017,11.2
svn,2018,10.2
svn,2019,8.2
swe,2015,4.5
swe,2016,5.3
swe,2017,5.4
swe,2018,5.7
swe,2019,5.3
swz,2015,62.6
swz,2016,62.6
swz,2017,62.6
swz,2018,63.3
swz,2019,64.1
syc,2015,14.3
syc,2016,14.3
syc,2017,14.3
syc,2019,14.7
tha,2015,15.1
tha,2016,19.7
tha,2017,24.8
tha,2018,26.4
tha,2019,29.8
ton,2018,23.2
ton,2019,23.2
tun,2015,18.2
tun,2016,19.4
tun,2017,20
tun,2018,22.1
tun,2019,25.1
tza,2016,55
tza,2017,55
tza,2018,55
tza,2019,56.4
uga,2015,58
uga,2016,60.7
uga,2017,63.4
uga,2018,66.3
uga,2019,69.2
ury,2015,21.6
ury,2016,23.4
ury,2017,25.1
ury,2018,23.2
ury,2019,23.5
usa,2015,10.5
usa,2016,9.8
usa,2017,8.9
usa,2018,8.4
usa,2019,8
uzb,2015,11.2
uzb,2016,13.4
uzb,2017,14.9
uzb,2018,17.2
uzb,2019,19.7
vnm,2017,6.2
vnm,2018,6.2
vnm,2019,6.5
vut,2018,23.3
vut,2019,23.3
wsm,2017,23.6
wsm,2018,23.6
wsm,2019,23.6
zaf,2015,42.9
zaf,2019,44.9
zmb,2015,48.8
zmb,2016,49.4
zmb,2017,50.1
zmb,2018,50.8
zmb,2019,51.4
zwe,2015,64.7
zwe,2016,66.7
zwe,2017,67
zwe,2018,66.7
zwe,2019,69.8
