global,time,sh_mmr_dths
world,2000,451000
world,2001,443000
world,2002,435000
world,2003,426000
world,2004,414000
world,2005,399000
world,2006,386000
world,2007,373000
world,2008,363000
world,2009,354000
world,2010,343000
world,2011,334000
world,2012,326000
world,2013,319000
world,2014,313000
world,2015,306000
world,2016,300000
world,2017,295000
