global,time,dc_dac_jpnl_cd
world,1960,83440002.44141
world,1961,92199996.94824
world,1962,84620002.74658
world,1963,134470001.2207
world,1964,115409996.03271
world,1965,235539993.28613
world,1966,234760009.76562
world,1967,345839996.33789
world,1968,307529998.7793
world,1969,341679992.67578
world,1970,373489990.23438
world,1971,434000000
world,1972,480619995.11719
world,1973,765119995.11719
world,1974,880399963.37891
world,1975,850250000
world,1976,752799987.79297
world,1977,897640014.64844
world,1978,1529140014.64844
world,1979,1968189941.40625
world,1980,2002900024.41406
world,1981,2256179931.64063
world,1982,2367719970.70313
world,1983,2422159912.10938
world,1984,2426040039.0625
world,1985,2551830078.125
world,1986,3838939941.40625
world,1987,5123930175.78125
world,1988,6399819824.21875
world,1989,6760490234.375
world,1990,6928620117.1875
world,1991,8878889648.4375
world,1992,8518790039.0625
world,1993,8146100097.65625
world,1994,9685979492.1875
world,1995,10550910156.25
world,1996,8386040039.0625
world,1997,6651410156.25
world,1998,8656229492.1875
world,1999,10501379882.8125
world,2000,9678209960.9375
world,2001,7486939941.40625
world,2002,6778410156.25
world,2003,6109089843.75
world,2004,6005979980.46875
world,2005,10398950195.3125
world,2006,7266899902.34375
world,2007,5773620117.1875
world,2008,6833239746.09375
world,2009,6204959960.9375
world,2010,7403850097.65625
world,2011,7250270019.53125
world,2012,6413790039.0625
world,2013,8512320312.5
world,2014,6120970214.84375
world,2015,6147399902.34375
world,2016,7062910156.25
world,2017,8089760253.90625
world,2018,6126359863.28125
world,2019,7489500000
