geo,time,is_air_dprt
abw,2017,2132
abw,2018,2276
afg,1970,4000
afg,1971,4700
afg,1972,4800
afg,1973,3700
afg,1974,4300
afg,1975,4700
afg,1976,4500
afg,1977,4900
afg,1978,4800
afg,1979,4900
afg,1980,4200
afg,1981,4200
afg,1982,5400
afg,1983,5700
afg,1984,6200
afg,1985,6400
afg,1986,5800
afg,1987,6000
afg,1988,5900
afg,1989,5200
afg,1990,5300
afg,1991,5300
afg,1992,5300
afg,1993,5100
afg,1994,7000
afg,1995,7300
afg,1996,7500
afg,1997,4600
afg,1998,1900
afg,1999,3400
afg,2000,3409
afg,2010,21677
afg,2011,25021
afg,2012,17775
afg,2013,21696
afg,2014,25920
afg,2015,23532
afg,2016,22770
afg,2017,24207
afg,2018,10454
afg,2019,7334
afg,2020,4635.714
ago,1976,2600
ago,1977,4800
ago,1978,5000
ago,1979,11900
ago,1980,12800
ago,1981,15000
ago,1982,13900
ago,1983,22400
ago,1984,10700
ago,1985,13100
ago,1986,11100
ago,1987,11100
ago,1988,11000
ago,1989,6800
ago,1990,6900
ago,1991,7000
ago,1992,6900
ago,1993,5600
ago,1994,7600
ago,1995,7300
ago,1996,7700
ago,1997,7300
ago,1998,7400
ago,1999,5100
ago,2000,4399
ago,2001,4354
ago,2002,4343
ago,2003,4633
ago,2004,4849
ago,2005,4948
ago,2006,4965
ago,2007,5277
ago,2008,3361
ago,2009,3236
ago,2010,17060
ago,2011,12282
ago,2012,13072
ago,2013,14496
ago,2014,13716
ago,2015,13116
ago,2016,15482
ago,2017,13494
ago,2018,13978
ago,2019,13647
ago,2020,3792
alb,1994,600
alb,1995,600
alb,1996,1400
alb,1997,1900
alb,1998,1100
alb,1999,2700
alb,2000,3885
alb,2001,3974
alb,2002,3762
alb,2003,3800
alb,2004,4104
alb,2005,4309
alb,2006,4481
alb,2007,4930
alb,2008,5058
alb,2009,5140
alb,2010,9412
alb,2011,10373.21094
alb,2012,10309.17914
alb,2013,11196
alb,2014,1992
alb,2016,306
alb,2017,1904
alb,2018,2935
alb,2019,2558
alb,2020,1274
are,1974,4700
are,1975,5400
are,1976,6200
are,1977,6300
are,1978,7200
are,1979,8300
are,1980,9500
are,1981,10000
are,1982,8700
are,1983,9500
are,1984,10100
are,1985,10500
are,1986,12200
are,1987,12800
are,1988,15100
are,1989,16000
are,1990,18800
are,1991,19400
are,1992,26300
are,1993,30100
are,1994,34000
are,1995,34200
are,1996,38000
are,1997,39000
are,1998,41100
are,1999,44400
are,2000,48330
are,2001,50783
are,2002,54952
are,2003,71224
are,2004,87217
are,2009,170588
are,2010,240855.10702
are,2011,269521
are,2012,311758
are,2013,327076
are,2014,352224
are,2015,437638
are,2016,463947
are,2017,459137
are,2018,455956
are,2019,426157.272
are,2020,185260
arg,1970,71700
arg,1971,75600
arg,1972,79000
arg,1973,71100
arg,1974,79000
arg,1975,89800
arg,1976,90000
arg,1977,93600
arg,1978,96500
arg,1979,103700
arg,1980,114400
arg,1981,113800
arg,1982,103900
arg,1983,109100
arg,1984,101400
arg,1985,100500
arg,1986,102300
arg,1987,111800
arg,1988,106200
arg,1989,101600
arg,1990,114000
arg,1991,78500
arg,1992,86300
arg,1993,83300
arg,1994,99500
arg,1995,112400
arg,1996,131400
arg,1997,171600
arg,1998,144600
arg,1999,183600
arg,2000,168815
arg,2001,124493
arg,2002,113178
arg,2003,91657
arg,2004,90518
arg,2005,81298
arg,2006,74162
arg,2007,79465
arg,2008,74649
arg,2009,74546
arg,2010,92847.50654
arg,2011,90214.52053
arg,2012,101716.26891
arg,2013,145136.02072
arg,2014,134521
arg,2015,145585
arg,2016,149334
arg,2017,146631
arg,2018,161862
arg,2019,163106
arg,2020,27447
arm,1996,2200
arm,1997,4300
arm,1998,4500
arm,1999,2900
arm,2000,4406
arm,2001,2804
arm,2002,2997
arm,2003,3842
arm,2004,5657
arm,2005,5939
arm,2006,6177
arm,2007,5975
arm,2008,6681
arm,2009,7632
arm,2010,8761
arm,2011,5561
arm,2012,6043
arm,2013,852
arm,2014,0
arm,2018,814
arm,2019,2133
arm,2020,705
asm,2010,3420.57075
asm,2011,3577.61386
asm,2012,3963.00365
asm,2013,8580
asm,2014,9144
atg,1981,21300
atg,1982,35800
atg,1983,40200
atg,1984,45900
atg,1985,55500
atg,1986,65000
atg,1987,65000
atg,1988,61700
atg,1989,58000
atg,1990,58000
atg,1991,67300
atg,1992,68200
atg,1993,70800
atg,1994,74000
atg,1995,77700
atg,1996,77700
atg,1997,69300
atg,1998,70100
atg,1999,68200
atg,2000,62070
atg,2001,72001
atg,2002,63361
atg,2003,67163
atg,2004,25700
atg,2005,26985
atg,2006,26175
atg,2007,27746
atg,2008,28356
atg,2009,26371
atg,2010,39865
atg,2011,36533.604
atg,2012,33606.03922
atg,2013,52572
atg,2014,46404
