global,time,bx_gsr_fcty_cd
world,1994,635062089222.73291
world,1995,783458382109.85583
world,1996,946605137123.44604
world,1997,1000483933331.03003
world,1998,1067465862794.21997
world,1999,1212251319524.29004
world,2000,1396120668126.94995
world,2001,1284937304630.87012
world,2002,1279780042648.86011
world,2003,1514104352207.96997
world,2004,1985586467132.6897
world,2005,2596659968553.00977
world,2006,3326323624055.25977
world,2007,4308421999448.10938
world,2008,4241775016783.44971
world,2009,3234677025846.27002
world,2010,3558005058806.74023
world,2011,3984569778027.44971
world,2012,3841462694314.83057
world,2013,3934550299281.87988
world,2014,4158617853189.52002
world,2015,3799256360290.20947
world,2016,3911808226909.80957
world,2017,4392685765814.47021
world,2018,4899214910414.0498
world,2019,4904938053742.37988
world,2020,4234478535483.31982
