geo,time,sl_tlf_0714_wk_tm
afg,2011,13.3
ago,2001,14.6
alb,2010,27.9
aze,2005,16.4
bdi,2010,15
ben,2012,20.4
bfa,2010,22.1
bgd,2006,36.9
bgd,2013,36.08768
bol,2009,44.4
bol,2013,40.54026
bol,2015,36.77
bra,2011,32.8
bra,2013,30.54158
bra,2014,29.35436
bra,2015,26.16
caf,2010,16.7
chl,2012,11.6
civ,2012,22.4
cmr,2011,21.1
cod,2010,11
cod,2014,9.1828
cog,2012,16.2
col,2012,28.9
col,2014,29.18947
col,2015,27.2
cri,2011,28.1
cri,2016,33.2
dom,2009,17.9
dom,2012,25.14386
dom,2014,10.74994
dza,2013,12.7
ecu,2011,32.4
ecu,2015,26.50288
egy,2009,48.8
eth,2011,29.1
gab,2012,8.8
geo,2006,6.4
gha,2006,20.2
gin,2012,18.1
gmb,2008,20.9
gmb,2015,13.45
gnb,2006,13.1
gnb,2014,7.16167
gtm,2012,34.7
gtm,2014,38.76818
gtm,2015,34.4458
hnd,2013,30.9
hnd,2014,33.24963
hti,2012,7.5
idn,2010,30
irq,2011,22.2
jor,2007,52.7
jor,2016,49.88
kaz,2006,15.3
ken,2000,23.4
ken,2009,45.34397
kgz,2007,26.2
kgz,2014,22.80746
khm,2012,40.4
lao,2010,43.7
lbr,2010,38.5
lka,2009,24.4
lso,2000,20.3
mdg,2007,34.5
mex,2011,35.3
mex,2013,35.87426
mkd,2011,3.4
mli,2013,24.4
mng,2012,31.1
mng,2013,29.3319
moz,2008,14
mrt,2007,14.1
mrt,2011,21.75705
mwi,2011,11.9
mwi,2014,11.31903
mwi,2015,16.8
nam,1999,32.9
ner,2012,9.4
nga,2010,32.4
nga,2011,10.03187
nic,2010,30.7
nic,2012,26.23394
npl,2008,29.2
npl,2014,14.21787
pak,2011,31.8
pan,2012,30
pan,2014,21.2865
per,2015,18.9714
phl,2011,21.9
pry,2005,39.7
pry,2014,43.94261
rou,2000,22.1
rwa,2010,24.4
rwa,2011,30.23446
rwa,2014,21.8
sdn,2014,11.68546
sen,2011,44.2
sen,2015,24.44787
sle,2013,10.4
slv,2012,30.8
slv,2013,34.45089
som,2006,33.5
srb,2005,16.4
swz,2010,8.7
syr,2006,29
tcd,2010,7.9
tcd,2015,12.05316
tgo,2010,31.6
tgo,2014,17.34562
tha,2005,30.3
tjk,2005,20.3
tls,2007,24.4
tto,2006,8
tun,2012,13.7
tur,2006,45.4
tza,2014,31.64403
uga,2012,33.2
ukr,2012,1.9
ury,2009,21.9
ven,2006,35
ven,2013,34.37214
vnm,2012,34.2
yem,2010,30
zmb,2008,4.8
zwe,1999,43.3
