geo,time,bn_cab_xoka_cd
abw,1986,-18659217.87709
abw,1987,-22569832.40223
abw,1988,-44301675.97765
abw,1989,-46703910.61453
abw,1990,-158156424.58101
abw,1991,-209497206.70391
abw,1992,43798882.68156
abw,1993,41731843.57542
abw,1994,81061452.51397
abw,1995,-279329.60894
abw,1996,-69106145.2514
abw,1997,-195810055.86592
abw,1998,-18770949.72067
abw,1999,-435513966.48045
abw,2000,207145251.39665
abw,2001,308759776.53631
abw,2002,-340251396.64805
abw,2003,-165553072.6257
abw,2004,270888268.15642
abw,2005,104963491.34143
abw,2006,310555693.72256
abw,2007,258268156.42458
abw,2008,111731.84358
abw,2009,171675977.65363
abw,2010,-460111731.84358
abw,2011,-260558659.21788
abw,2012,90837988.82682
abw,2013,-331240424.58101
abw,2014,-135498655.86592
abw,2015,110690101.67598
abw,2016,135986923.91509
abw,2017,29520988.71806
abw,2018,-14737534.26126
abw,2019,84796821.75574
abw,2020,-325985679.30113
afg,1979,-99600000
afg,1980,53600000
afg,1981,-205800000
afg,1982,-67300000
afg,1983,-138800000
afg,1984,-450600000
afg,1985,-243200000
afg,1986,-537200000
afg,1987,-166900000
afg,1988,26200000
afg,1989,-143300000
afg,2008,-238376258.64006
afg,2009,277627586.22144
afg,2010,-577708206.77232
afg,2011,-2246921171.24519
afg,2012,-5150161881.41159
afg,2013,-5095040596.60647
afg,2014,-3232893168.37268
afg,2015,-4192816422.82819
afg,2016,-2708462935.14897
afg,2017,-3554897942.49064
afg,2018,-3896837603.93392
afg,2019,-3791935256.04003
afg,2020,-3136733353.20761
ago,1985,195000000
ago,1986,-303000000
ago,1987,447000000
ago,1988,-469000000
ago,1989,-132000000
ago,1990,-235500000
ago,1991,-579600000
ago,1992,-734776000
ago,1993,-668500000
ago,1994,-339800000
ago,1995,-295047000
ago,1996,3266378000
ago,1997,-883540000
ago,1998,-1867130000
ago,1999,-1710410000
ago,2000,795650000
ago,2001,-1430930000
ago,2002,-150093385.26
ago,2003,-719558880.5
ago,2004,681237662.03
ago,2005,5137882651.4822
ago,2006,10689818935.61
ago,2007,10581250704.88
ago,2008,7194246953.019
ago,2009,-7571651745.69
ago,2010,7505954235.08
ago,2011,13084636207.4109
ago,2012,13841185161.0098
ago,2013,8145070111.69022
ago,2014,-3747517596.21103
ago,2015,-10272841902.6133
ago,2016,-3085195463.21077
ago,2017,-632867147.90334
ago,2018,7402606519.27953
ago,2019,5137394880.2235
ago,2020,871917831.29993
alb,1980,16000000
alb,1981,45000000
alb,1982,-66800000
alb,1983,-38300000
alb,1984,-28100000
alb,1985,-36400000
alb,1986,-3200000
alb,1987,5200000
alb,1988,-27100000
alb,1989,-39300000
alb,1990,-118300000
alb,1991,-168000000
alb,1992,-50700000
alb,1993,14900000
alb,1994,-157300000
alb,1995,-11500000
alb,1996,-107300000
alb,1997,-272232500
alb,1998,-65070000
alb,1999,-155400000
alb,2000,-156300000
alb,2001,-217400000
alb,2002,-407520000
alb,2003,-406814698.25908
alb,2004,-357925427.32632
alb,2005,-571475353.65042
alb,2006,-670904254.71947
alb,2007,-1150813004.28052
alb,2008,-2013166061.36354
alb,2009,-1852457561.90294
alb,2010,-1355598479.39827
alb,2011,-1667175109.43642
alb,2012,-1256644799.54907
alb,2013,-1184891052.23519
alb,2014,-1425385680.43297
alb,2015,-979825099.40046
alb,2016,-900363040.50195
alb,2017,-982237928.30134
alb,2018,-1016226360.01795
alb,2019,-1218856026.94156
alb,2020,-1314583005.68533
and,2019,568257241.75678
arg,1976,651000000
arg,1977,1126000000
arg,1978,1856000000
arg,1979,-513000000
arg,1980,-4774000000
arg,1981,-4712000000
arg,1982,-2353000000
arg,1983,-2436000000
arg,1984,-2495000000
arg,1985,-952000000
arg,1986,-2859000000
arg,1987,-4235000000
arg,1988,-1572000000
arg,1989,-1305000000
arg,1990,4552000000
arg,1991,-647000000
arg,1992,-5547754558.62268
arg,1993,-8205889940.16498
arg,1994,-10979452970.0946
arg,1995,-5117957254.29083
arg,1996,-6769978160.48526
arg,1997,-12138068595.3394
arg,1998,-14481998042.2511
arg,1999,-11942825328.0158
arg,2000,-8980617892.62762
arg,2001,-3780423241.19359
arg,2002,8766610000
arg,2003,8139930000
