global,time,iq_cpa_soci_xq
world,2005,3.29459
world,2006,3.26184
world,2007,3.28243
world,2008,3.29467
world,2009,3.3
world,2010,3.33247
world,2011,3.32821
world,2012,3.315
world,2013,3.3
world,2014,3.28816
world,2015,3.28289
world,2016,3.25068
world,2017,3.23108
world,2018,3.26164
world,2019,3.26667
world,2020,3.27671
