geo,time,en_atm_noxe_kt_ce
afg,1990,3250
afg,1991,3290
afg,1992,3200
afg,1993,3200
afg,1994,2990
afg,1995,3060
afg,1996,3290
afg,1997,3590
afg,1998,3880
afg,1999,4150
afg,2000,3620
afg,2001,3220
afg,2002,3700
afg,2003,3840
afg,2004,3810
afg,2005,3970
afg,2006,4060
afg,2007,4250
afg,2008,4790
afg,2009,5320
afg,2010,5990
afg,2011,6610
afg,2012,7160
afg,2013,7720
afg,2014,8550
afg,2015,8590
afg,2016,9120
afg,2017,9450
afg,2018,8960
ago,1990,15240
ago,1991,15270
ago,1992,15320
ago,1993,15270
ago,1994,15220
ago,1995,15210
ago,1996,13680
ago,1997,13440
ago,1998,14860
ago,1999,13740
ago,2000,14160
ago,2001,14500
ago,2002,15700
ago,2003,18000
ago,2004,18110
ago,2005,17820
ago,2006,16460
ago,2007,17620
ago,2008,16700
ago,2009,16790
ago,2010,17680
ago,2011,18270
ago,2012,17330
ago,2013,17900
ago,2014,17350
ago,2015,17950
ago,2016,18070
ago,2017,18490
ago,2018,16440
alb,1990,1590
alb,1991,1210
alb,1992,1130
alb,1993,1170
alb,1994,1370
alb,1995,1330
alb,1996,1190
alb,1997,1130
alb,1998,1170
alb,1999,1120
alb,2000,1180
alb,2001,1150
alb,2002,1290
alb,2003,1310
alb,2004,1270
alb,2005,1280
alb,2006,1220
alb,2007,1220
alb,2008,1140
alb,2009,1140
alb,2010,1130
alb,2011,1170
alb,2012,1180
alb,2013,1150
alb,2014,1170
alb,2015,1210
alb,2016,1250
alb,2017,1210
alb,2018,1100
and,1990,0
and,1991,0
and,1992,0
and,1993,0
and,1994,0
and,1995,0
and,1996,0
and,1997,0
and,1998,0
and,1999,0
and,2000,0
and,2001,0
and,2002,0
and,2003,0
and,2004,0
and,2005,0
and,2006,0
and,2007,0
and,2008,0
and,2009,0
and,2010,0
and,2011,0
and,2012,0
and,2013,0
and,2014,0
and,2015,0
and,2016,0
and,2017,0
and,2018,0
are,1990,1560
are,1991,1670
are,1992,1780
are,1993,1870
are,1994,1980
are,1995,2300
are,1996,2620
are,1997,2920
are,1998,3230
are,1999,3550
are,2000,3850
are,2001,3930
are,2002,4070
are,2003,4160
are,2004,4230
are,2005,4330
are,2006,4540
are,2007,4760
are,2008,5010
are,2009,5230
are,2010,5430
are,2011,5680
are,2012,5900
are,2013,6200
are,2014,6470
are,2015,6770
are,2016,6890
are,2017,7020
are,2018,7140
arg,1990,35510
arg,1991,35380
arg,1992,36100
arg,1993,35620
arg,1994,36630
arg,1995,36720
arg,1996,37020
arg,1997,37410
arg,1998,37040
arg,1999,37320
arg,2000,39450
arg,2001,39310
arg,2002,39890
arg,2003,43790
arg,2004,43980
arg,2005,43540
arg,2006,44930
arg,2007,47340
arg,2008,45970
arg,2009,40510
arg,2010,41650
arg,2011,42640
arg,2012,42120
arg,2013,43470
arg,2014,43850
arg,2015,43430
arg,2016,46380
arg,2017,48340
arg,2018,47930
arm,1990,880
arm,1991,830
arm,1992,750
arm,1993,650
arm,1994,580
arm,1995,570
arm,1996,570
arm,1997,560
arm,1998,540
arm,1999,520
arm,2000,530
arm,2001,540
arm,2002,630
arm,2003,610
arm,2004,660
arm,2005,640
arm,2006,950
arm,2007,790
arm,2008,780
arm,2009,840
arm,2010,790
arm,2011,820
arm,2012,970
arm,2013,1040
arm,2014,990
arm,2015,1090
arm,2016,1620
arm,2017,1220
arm,2018,1170
atg,1990,20
atg,1991,20
atg,1992,20
atg,1993,20
atg,1994,20
atg,1995,20
atg,1996,20
atg,1997,20
atg,1998,20
atg,1999,20
atg,2000,20
atg,2001,20
atg,2002,20
atg,2003,20
atg,2004,20
atg,2005,30
atg,2006,30
atg,2007,30
atg,2008,30
atg,2009,30
atg,2010,20
atg,2011,20
atg,2012,20
atg,2013,20
atg,2014,20
atg,2015,20
atg,2016,20
atg,2017,20
atg,2018,20
aus,1990,77930
aus,1991,77010
aus,1992,76180
aus,1993,75990
aus,1994,75850
aus,1995,75720
aus,1996,69980
aus,1997,69010
aus,1998,73520
aus,1999,90540
aus,2000,98660
aus,2001,109130
aus,2002,102140
aus,2003,62120
aus,2004,85890
aus,2005,63080
aus,2006,82530
aus,2007,77640
aus,2008,62100
aus,2009,65750
