geo,time,ne_gdi_totl_kd_zg
ago,2001,115.03129
ago,2002,6.98867
ago,2003,13.966
ago,2004,17.14
ago,2005,12.196
ago,2006,4.24
ago,2007,12.13
ago,2008,26.43509
ago,2009,3.66623
ago,2010,-9.05384
ago,2011,10.56118
ago,2012,7.1662
ago,2013,1.64642
ago,2014,3.45168
ago,2015,-1.90682
ago,2016,-19.53692
ago,2017,3
ago,2018,-5.54188
ago,2019,-0.94826
ago,2020,-1.43143
alb,1998,109.78478
alb,1999,37.54711
alb,2000,66.20445
alb,2001,24.48044
alb,2002,5.8188
alb,2003,-7.75392
alb,2004,5.93984
alb,2005,7.66671
alb,2006,3.01924
alb,2007,1.21615
alb,2008,16.10873
alb,2009,1.28106
alb,2010,-7.47027
alb,2011,6.25737
alb,2012,-7.91215
alb,2013,-1.77752
alb,2014,-5.64557
alb,2015,3.17902
alb,2016,0.30873
alb,2017,4.37379
alb,2018,0.60014
alb,2019,1.77731
are,2002,5.5626
are,2003,6.90359
are,2004,2.88915
are,2005,18.22389
are,2006,14.85884
are,2007,39.43636
are,2008,0.0244
are,2009,8.93777
are,2010,-9.16281
are,2011,-1.64903
are,2012,-1.01886
are,2013,-1.38457
are,2014,23.15463
are,2015,13.61971
are,2016,3.77353
are,2017,9.85888
are,2018,-11.5434
are,2019,-14.43994
are,2020,3.90225
arg,1961,9.67737
arg,1962,-8.82349
arg,1963,-17.74201
arg,1964,28.43138
arg,1965,3.81684
arg,1966,-3.6764
arg,1967,3.81711
arg,1968,8.82365
arg,1969,22.97304
arg,1970,2.23076
arg,1971,10.93183
arg,1972,1.01719
arg,1973,-4.70004
arg,1974,1.10725
arg,1975,1.79206
arg,1976,6.94339
arg,1977,20.89644
arg,1978,-15.92291
arg,1979,10.21156
arg,1980,8.10701
arg,1981,-14.97594
arg,1982,-19.94288
arg,1983,0.39951
arg,1984,-4.13439
arg,1985,-14.10471
arg,1986,11.04078
arg,1987,12.93592
arg,1988,-3.51973
arg,1989,-21.60156
arg,1990,-16.85009
arg,1991,29.94168
arg,1992,32.64347
arg,1993,14.36393
arg,1994,12.63553
arg,1995,-12.63544
arg,1996,13.10325
arg,1997,16.59277
arg,1998,4.89938
arg,1999,-16.92167
arg,2000,-3.80791
arg,2001,-11.93355
arg,2002,-37.59449
arg,2003,40.19153
arg,2004,29.61341
arg,2005,14.79633
arg,2006,6.86651
arg,2007,20.33006
arg,2008,6.68345
arg,2009,-23.07154
arg,2010,32.54212
arg,2011,16.09274
arg,2012,-11.18507
arg,2013,4.66903
arg,2014,-6.22353
arg,2015,4.55671
arg,2016,-5.08399
arg,2017,15.45235
arg,2018,-9.8471
arg,2019,-16.70537
arg,2020,-11.20876
arm,1995,-10.96178
arm,1996,2.9061
arm,1997,15.05796
arm,1998,-2.01711
arm,1999,-2.88537
arm,2000,-10.69015
arm,2001,-1.01411
arm,2002,37.02701
arm,2003,49.25048
arm,2004,5.35204
arm,2005,25.34204
arm,2006,32.54366
arm,2007,28.98271
arm,2008,23.13906
arm,2009,-38.67538
arm,2010,-3.03516
arm,2011,-8.01286
arm,2012,-11.52684
arm,2013,-7.2
arm,2014,-0.7
arm,2015,-3.2
arm,2016,-8.7
arm,2017,10.3
arm,2018,34.5
arm,2019,-14.3
arm,2020,-6.6
aut,1971,3.03673
aut,1972,9.79787
aut,1973,9.37001
aut,1974,1.09358
aut,1975,-12.26321
aut,1976,12.40341
aut,1977,10.61338
aut,1978,-9.83197
aut,1979,16.3402
aut,1980,-1.15151
aut,1981,-6.03144
aut,1982,-6.95072
aut,1983,-3.14369
aut,1984,5.21165
aut,1985,6.41954
aut,1986,0.14535
aut,1987,3.34548
aut,1988,10.36166
aut,1989,6.84793
aut,1990,5.63203
aut,1991,4.80013
aut,1992,-0.81873
aut,1993,-2.78822
aut,1994,5.97814
aut,1995,6.4247
aut,1996,0.7636
aut,1997,1.76608
aut,1998,2.83925
aut,1999,3.41819
aut,2000,2.50519
aut,2001,-0.85278
aut,2002,-3.82946
aut,2003,4.64819
aut,2004,1.66444
aut,2005,1.56455
aut,2006,2.22556
aut,2007,7.45944
aut,2008,-0.5404
aut,2009,-10.35672
aut,2010,-0.17818
aut,2011,8.80565
aut,2012,-0.70234
aut,2013,-0.7347
aut,2014,0.70342
aut,2015,3.24158
aut,2016,4.46645
aut,2017,4.4769
aut,2018,6.08681
aut,2019,-0.17498
aut,2020,-4.64638
aze,1994,45.60003
aze,1995,55.10001
aze,1996,111.39999
aze,1997,39
aze,1998,22.99999
aze,1999,24.68597
aze,2000,-11.73966
aze,2001,12.90537
aze,2002,87.65746
aze,2003,72.52733
aze,2004,25.0512
aze,2005,-1.30194
aze,2006,2.69053
aze,2007,-9.30662
aze,2008,1.59955
aze,2009,-8.96097
aze,2010,4.31451
aze,2011,11.26977
aze,2012,2.2
aze,2013,19.44732
aze,2014,1.47873
bdi,1998,12.78412
bdi,1999,-12.35744
bdi,2000,114.33746
bdi,2001,1.6652
bdi,2002,2.35326
bdi,2003,2.46951
bdi,2004,19.31843
bdi,2005,1.53531
bdi,2006,8.30979
bdi,2007,-7.05921
bdi,2008,-8.87018
bdi,2009,13.76739
bdi,2010,16.95061
bdi,2011,-1.22748
bdi,2012,2.59263
bdi,2013,-0.13241
bdi,2014,-9.5952
bdi,2015,-4.9922
bdi,2016,-27.32056
bdi,2017,-2.61313
bdi,2018,25.4571
bdi,2019,15.10027
bdi,2020,-3.65924
bel,1971,-2.04689
bel,1972,-0.08039
bel,1973,11.83558
bel,1974,10.2888
bel,1975,-13.34446
bel,1976,8.28817
bel,1977,0.75537
bel,1978,2.28594
bel,1979,0.32133
bel,1980,15.18254
bel,1981,-18.30569
bel,1982,-7.52735
bel,1983,-11.10869
bel,1984,12.68474
bel,1985,-3.15568
bel,1986,5.56678
bel,1987,9.23878
bel,1988,18.8678
bel,1989,10.86215
bel,1990,7.67091
bel,1991,-3.62622
bel,1992,1.82914
bel,1993,-2.95653
bel,1994,3.76444
bel,1995,4.11374
bel,1996,0.41544
bel,1997,7.67936
bel,1998,1.53593
bel,1999,3.81136
bel,2000,7.18973
bel,2001,-2.70388
bel,2002,-4.71402
bel,2003,0.303
bel,2004,10.61885
bel,2005,8.16133
bel,2006,3.69265
bel,2007,8.72658
bel,2008,2.03589
bel,2009,-8.73377
bel,2010,2.22063
bel,2011,7.74829
bel,2012,-1.85436
bel,2013,-3.78597
bel,2014,5.41128
bel,2015,5.50522
bel,2016,5.15255
bel,2017,1.42266
bel,2018,4.66954
bel,2019,2.11351
bel,2020,-7.33947
ben,1961,-0.87675
ben,1962,-1.76954
ben,1963,9.00858
ben,1964,-9.91729
ben,1965,-5.49551
ben,1966,3.88414
ben,1967,35.51325
ben,1968,8.9661
ben,1969,5.0632
ben,1970,-6.62716
ben,1971,-3.01415
ben,1972,44.85301
ben,1973,1.28867
ben,1974,46.49164
ben,1975,0.07897
ben,1976,1.89339
ben,1977,-7.97429
ben,1978,-5.58045
ben,1979,43.15414
ben,1980,36.68025
ben,1981,13.79804
ben,1982,43.09503
ben,1983,-41.43606
ben,1984,-26.18134
ben,1985,-27.33564
ben,1986,48.09524
ben,1987,-7.23472
ben,1988,5.19931
ben,1989,-23.30066
ben,1990,46.21353
ben,1991,9.36427
ben,1992,-2.4277
ben,1993,5.80003
ben,1994,0.73202
ben,1995,38.13271
ben,1996,-18.27798
ben,1997,16.71198
ben,1998,-6.14644
ben,1999,17.55382
ben,2000,-5.82767
ben,2001,22.51968
ben,2002,-12.12144
ben,2003,6.42348
ben,2004,6.68844
ben,2005,-22.65141
ben,2006,10.45264
ben,2007,30.94743
ben,2008,-8.79298
ben,2009,11.80074
ben,2010,8.67083
ben,2011,5.11348
ben,2012,4.98452
ben,2013,40.66841
ben,2014,9.23229
ben,2015,13.94551
ben,2016,1.56874
ben,2017,24.74144
ben,2018,15.91704
ben,2019,10.02044
ben,2020,1.86097
bfa,1966,0.00384
bfa,1967,-6.33111
bfa,1968,5.40442
bfa,1969,20.51445
bfa,1970,4.25452
bfa,1971,40.95996
bfa,1972,27.53561
bfa,1973,17.04674
bfa,1974,10.67787
bfa,1975,-0.87677
bfa,1976,0.88452
bfa,1977,-8.77094
bfa,1978,3.36473
bfa,1979,-16.81214
bfa,1980,2.04575
bfa,1981,-0.20216
bfa,1982,30.76117
bfa,1983,-7.75967
bfa,1984,1.63217
bfa,1985,76.87249
bfa,1986,-11.90191
bfa,1987,-4.93457
bfa,1988,7.34744
bfa,1989,5.25972
bfa,1990,1.11298
bfa,1991,14.18091
bfa,1992,-10.28515
bfa,1993,0.93323
bfa,1994,24.97112
bfa,1995,-7.86244
bfa,1996,13.04477
bfa,1997,17.40841
bfa,1998,-3.4572
bfa,1999,-14.08784
bfa,2000,-11.59119
bfa,2001,6.62853
bfa,2002,1.66434
bfa,2003,19.58273
bfa,2004,5.02932
bfa,2005,25.89316
bfa,2006,-3.40044
bfa,2007,12.16106
bfa,2008,20.72911
bfa,2009,4.7204
bfa,2010,21.35743
bfa,2011,10.87926
bfa,2012,21.28504
bfa,2013,-2.04856
bfa,2014,-10.89307
bfa,2015,13.74057
bfa,2016,15.21982
bfa,2017,12.83152
bfa,2018,11.22455
bfa,2019,19.90133
bgd,1961,18.76494
bgd,1962,61.88864
bgd,1963,-23.49338
bgd,1964,25.29793
bgd,1965,11.85287
bgd,1966,4.24195
bgd,1967,12.88469
bgd,1968,34.92363
bgd,1969,-7.88348
bgd,1970,-7.07798
bgd,1971,-24.08474
bgd,1972,-55.64297
bgd,1973,96.48085
bgd,1974,147.33165
bgd,1975,-22.08893
bgd,1976,18.25109
bgd,1977,26.22434
bgd,1978,25.81065
bgd,1979,11.37852
bgd,1980,17.44724
bgd,1981,22.85634
bgd,1982,8.59009
bgd,1983,4.51216
bgd,1984,9.95604
bgd,1985,5.92378
bgd,1986,5.61379
bgd,1987,10.29012
bgd,1988,1.53196
bgd,1989,4.92562
bgd,1990,5.51541
bgd,1991,2.4592
bgd,1992,4.00749
bgd,1993,11.164
bgd,1994,9.23754
bgd,1995,9.60816
bgd,1996,11.95168
bgd,1997,6.45945
bgd,1998,9.11316
bgd,1999,8.5866
bgd,2000,7.11769
bgd,2001,7.93472
bgd,2002,7.42011
bgd,2003,7.65735
bgd,2004,8.20858
bgd,2005,9.76364
bgd,2006,9.88795
bgd,2007,7.14687
bgd,2008,9.81511
bgd,2009,7.38814
bgd,2010,8.56462
bgd,2011,9.56095
bgd,2012,10.56773
bgd,2013,5.36464
bgd,2014,9.85505
bgd,2015,7.1188
bgd,2016,8.90937
bgd,2017,10.14876
bgd,2018,10.50174
bgd,2019,8.44167
bgd,2020,1.93673
bgr,1981,11.40129
bgr,1982,-2.42272
bgr,1983,-0.58769
bgr,1984,5.81864
bgr,1985,-2.02248
bgr,1986,18.73623
bgr,1987,-4.75624
bgr,1988,20.35987
bgr,1989,-1.84367
bgr,1990,-36.11253
bgr,1991,-16.89583
bgr,1992,-11.88296
bgr,1993,-20.5345
bgr,1994,-11.72214
bgr,1995,3.16771
bgr,1996,-17.79124
bgr,1997,887.5752
bgr,1998,82.64605
bgr,1999,10.70971
bgr,2000,5.33178
bgr,2001,17.33607
bgr,2002,7.30876
bgr,2003,16.5081
bgr,2004,10.7718
bgr,2005,24.18101
bgr,2006,20.74842
bgr,2007,13.80078
bgr,2008,16.62125
bgr,2009,-24.171
bgr,2010,-17.88336
bgr,2011,-3.27379
bgr,2012,3.08539
bgr,2013,-5.32371
bgr,2014,6.87087
bgr,2015,1.27373
bgr,2016,-4.51835
bgr,2017,6.47062
bgr,2018,10.43334
bgr,2019,3.92109
bgr,2020,-5.27953
bhr,2001,-0.2529
bhr,2002,-0.60765
bhr,2003,19.01991
bhr,2004,13.74244
bhr,2005,28.09624
bhr,2006,23.96331
bhr,2007,29.45419
bhr,2008,18.20837
bhr,2009,-28.81574
bhr,2010,18.75408
bhr,2011,-11.52113
bhr,2012,8.64633
bhr,2013,15.99809
bhr,2014,4.86623
bhr,2015,-8.61047
bhr,2016,16.56374
bhr,2017,14.40418
bhr,2018,6.8463
bhr,2019,-4.42949
bhs,1990,-3.09379
bhs,1991,-4.05085
bhs,1992,-7.66856
bhs,1993,-18.59007
bhs,1994,16.49163
bhs,1995,12.30634
bhs,1996,15.11185
bhs,1997,78.16188
bhs,1998,-19.57656
bhs,1999,18.78814
bhs,2000,11.45693
bhs,2001,-9.94863
bhs,2002,4.06246
bhs,2003,4.82243
bhs,2004,-8.22326
bhs,2005,22.01631
bhs,2006,19.39468
bhs,2007,-3.26725
bhs,2008,-7.47433
bhs,2009,-13.17183
bhs,2010,-7.3316
bhs,2011,14.83461
bhs,2012,21.04239
bhs,2013,-10.66713
bhs,2014,13.07727
bhs,2015,-17.84983
