geo,time,se_sec_enrl_up_tc_zs
btn,2010,14.59868
btn,2011,16.57551
btn,2012,14.23343
btn,2013,9.50526
btn,2014,10.55754
btn,2015,9.91451
btn,2016,8.01059
btn,2017,7.90193
btn,2018,7.85949
can,1993,17.67472
can,1994,18.04931
can,1995,18.29626
can,1996,18.57341
can,2008,12.6773
can,2009,12.55378
can,2010,12.31476
can,2011,12.19469
can,2012,10.42194
can,2013,9.9993
can,2014,9.43018
can,2015,8.80186
can,2016,8.82475
can,2017,9.6802
che,2012,10.65232
che,2013,11.23989
che,2014,11.25744
che,2016,11.24635
che,2017,11.18412
chl,1999,27.35891
chl,2000,27.50516
chl,2002,31.13854
chl,2004,24.3312
chl,2005,24.17941
chl,2006,23.88166
chl,2007,23.34791
chl,2008,22.94874
chl,2009,22.42523
chl,2010,21.17509
chl,2011,20.64739
chl,2012,19.56647
chl,2013,21.00627
chl,2014,20.15025
chl,2015,19.56051
chl,2017,18.39238
chn,1996,14.20779
chn,1997,14.52137
chn,2000,16.06467
chn,2001,19.90202
chn,2002,19.90201
chn,2003,16.67206
chn,2006,18.41153
chn,2007,16.3188
chn,2008,16.19805
chn,2009,16.05899
chn,2010,16.19732
chn,2011,16.05266
chn,2012,15.33779
chn,2013,17.50026
chn,2014,16.52553
chn,2015,15.63285
chn,2016,15.08454
chn,2017,14.67719
chn,2018,14.49161
civ,1999,20.60998
cmr,2013,19.26365
cmr,2015,13.47404
cmr,2016,13.10652
cog,1996,21.41005
cog,2004,18.30865
cog,2012,16.8374
col,2002,20.45743
col,2004,24.3252
col,2007,19.33686
col,2009,20.79199
col,2010,21.56648
col,2011,23.37541
col,2012,22.516
col,2013,22.94237
col,2014,21.90267
col,2015,25.93847
col,2016,26.03456
col,2017,25.05716
col,2018,24.95251
com,2002,10.38545
com,2003,8.96864
com,2004,10.55038
com,2013,6.42101
com,2014,6.4337
com,2017,4.32233
com,2018,6.88475
cpv,2002,14.1799
cpv,2003,15.67521
cpv,2004,14.9444
cpv,2005,21.65063
cpv,2007,17.5272
cpv,2008,16.92761
cpv,2009,17.1603
cpv,2010,16.09738
cpv,2011,16.08926
cpv,2012,15.86743
cpv,2013,15.951
cpv,2014,15.28372
cpv,2017,15.19149
cpv,2018,15.03683
cri,1998,19.89791
cri,1999,19.13223
cri,2000,18.84143
cri,2001,18.15185
cri,2002,18.24083
cri,2006,17.04506
cri,2007,17.29549
cri,2008,15.23911
cri,2009,15.42198
cri,2010,15.11143
cri,2011,14.40379
cri,2013,13.81234
cri,2014,14.28597
cri,2015,13.85848
cri,2016,12.60779
cri,2017,13.16249
cri,2018,12.28011
cub,1996,8.74688
cub,1997,9.14643
cub,1999,9.95225
cub,2000,10.66403
cub,2001,11.06429
cub,2002,11.14739
cub,2003,10.22303
cub,2004,10.32484
cub,2005,11.63381
cub,2006,11.13881
cub,2007,9.73278
cub,2008,9.90712
cub,2009,9.73173
cub,2010,8.81581
cub,2011,7.93203
cub,2012,7.51182
cub,2013,7.60096
cub,2014,8.87554
cub,2015,8.68249
cub,2016,9.00349
cub,2017,9.24966
cub,2018,9.56116
cym,1999,7.49254
cym,2000,8.125
cym,2001,8.89256
cym,2002,8.77119
cym,2004,8.56923
cym,2005,8.71852
cym,2006,7.32571
cym,2011,8.52809
cym,2012,4.60123
cym,2018,10.31373
cyp,2001,10.87548
cyp,2002,11.5037
cyp,2003,11.75886
cyp,2004,10.7477
cyp,2005,10.97453
cyp,2006,10.78255
cyp,2007,10.47352
cyp,2008,10.01707
cyp,2009,9.82749
cyp,2010,9.72254
cyp,2011,9.65467
cyp,2012,9.58565
cyp,2013,9.62781
cyp,2014,9.77062
cyp,2015,10.20707
cyp,2016,7.88667
cyp,2017,7.79718
cze,1993,10.17016
cze,1994,9.86275
cze,1995,10.78188
cze,1996,9.30167
cze,2001,8.98544
cze,2002,9.13058
cze,2003,9.15198
cze,2004,8.83518
cze,2005,9.02799
cze,2006,9.91762
cze,2007,10.95131
cze,2008,10.87977
cze,2009,10.87816
cze,2010,10.76398
cze,2011,11.51356
cze,2012,11.26857
cze,2013,11.79291
deu,1993,16.7045
deu,1994,16.81102
deu,1995,16.08921
deu,1996,16.07632
deu,1997,16.60853
deu,1998,15.50295
deu,1999,15.94615
deu,2000,16.04047
deu,2001,16.04122
deu,2002,15.99484
deu,2003,15.89761
deu,2004,16.21055
deu,2005,16.05287
deu,2006,16.09276
deu,2007,15.69711
deu,2008,15.52709
deu,2009,15.72033
deu,2010,14.95304
deu,2011,15.01985
deu,2012,14.8059
deu,2013,14.33652
deu,2014,14.35103
deu,2015,14.69959
deu,2016,14.46607
deu,2017,14.01868
dji,1996,10.65366
dji,1999,15.79817
dji,2009,23.51859
dji,2011,21.99714
dji,2012,20.04527
dji,2013,19.53378
dji,2014,19.74006
dji,2015,17.14638
dji,2016,18.11717
dji,2017,16.55454
dji,2018,21.21135
dji,2019,22.64559
dma,1999,15.14167
dma,2000,21.46739
dma,2001,19.93519
dma,2002,17.75781
dma,2003,17.35766
dma,2004,17.45802
dma,2005,16.38298
dma,2006,10.71154
dma,2007,10.38785
dma,2008,10.42727
dma,2009,10.17917
dma,2010,11.08636
dma,2011,9.39764
dma,2012,10.05645
dma,2013,8.88372
dma,2014,7.93359
dma,2016,7.31541
dnk,1993,9.03646
dnk,1994,8.74176
dnk,1995,9.003
dnk,1998,8.75986
dnk,1999,8.81991
dnk,2000,9.0752
dnk,2001,10.06155
dnk,2014,12.37762
dom,1999,27.64967
dom,2000,28.259
dom,2002,32.55076
dom,2004,27.7888
dom,2005,27.0541
dom,2007,31.71879
dom,2008,26.19809
dom,2009,28.00102
dom,2010,27.19938
dom,2011,28.67077
dom,2012,30.39243
dom,2013,27.84059
dom,2015,22.76252
dza,1994,15.98197
dza,1995,16.31416
dza,1996,16.34367
dza,1997,16.15822
ecu,2000,13.96158
ecu,2001,13.96149
ecu,2002,13.9617
ecu,2003,13.6882
ecu,2004,13.72318
ecu,2005,13.88453
ecu,2006,14.33426
ecu,2007,14.6211
ecu,2009,17.3603
ecu,2010,17.47959
ecu,2011,19.22197
ecu,2012,20.58451
ecu,2013,21.44423
ecu,2014,21.46926
ecu,2015,20.88135
ecu,2016,20.30561
ecu,2017,19.377
ecu,2018,18.71403
egy,1995,15.9686
egy,1996,13.39494
egy,1999,12.57887
egy,2000,12.79928
egy,2001,13.23314
egy,2002,13.22446
egy,2003,14.5393
egy,2004,14.38266
egy,2009,8.29902
egy,2010,8.82194
egy,2016,12.63283
egy,2017,13.26065
egy,2018,13.44803
eri,1996,33.66445
eri,1997,39.49431
eri,1999,45.20748
eri,2000,51.21278
eri,2001,49.1823
eri,2002,45.81696
eri,2003,53.30643
eri,2004,39.16236
eri,2005,43.87106
eri,2006,46.96759
eri,2007,30.01476
eri,2009,39.69634
eri,2010,35.26528
eri,2011,36.57999
eri,2012,31.07604
eri,2013,36.77113
eri,2014,40.45324
eri,2015,35.80101
eri,2017,31.37772
eri,2018,27.63809
esp,1995,15.04647
esp,1996,14.57471
esp,2002,8.94335
esp,2003,8.69365
esp,2004,8.82359
esp,2005,9.38638
esp,2006,9.18959
esp,2007,9.29593
esp,2008,11.40172
esp,2009,10.78836
esp,2010,11.04787
esp,2011,11.34874
esp,2012,11.58455
esp,2013,11.48407
esp,2014,11.48738
esp,2015,11.69287
esp,2016,11.34203
esp,2017,11.2862
est,1996,9.88842
est,1999,9.8188
est,2000,9.37814
est,2001,9.74983
est,2007,9.87799
est,2008,9.45816
est,2009,9.77538
est,2010,9.07026
est,2011,9.16883
est,2012,8.69207
est,2013,8.26007
eth,1994,30.8273
eth,1995,31.50808
eth,1996,31.51938
eth,2008,29.47671
eth,2009,35.61279
eth,2010,32.57152
eth,2011,27.2558
eth,2012,28.69726
eth,2015,43.66559
fin,1999,14.10637
fin,2000,15.0297
fin,2001,15.54699
fin,2002,14.91578
fin,2003,14.78718
fin,2004,10.75398
fin,2005,10.96387
fin,2007,9.82606
fin,2008,9.63935
fin,2009,9.84034
fin,2010,10.13101
fin,2011,9.76867
fin,2012,9.659
fin,2013,15.99444
fin,2014,16.24415
fin,2016,17.21309
fin,2017,18.21405
fji,2003,24.34349
fji,2004,22.38607
fji,2008,17.12738
fji,2012,13.34818
fra,1999,11.01464
fra,2000,10.00528
fra,2001,10.12187
fra,2002,9.90552
fra,2003,9.98708
fra,2004,9.67055
fra,2005,9.75965
fra,2006,10.93305
fra,2007,10.82505
fra,2008,10.9359
fra,2009,11.03543
fra,2010,11.23197
fra,2011,11.18343
fra,2012,10.99938
fra,2013,11.22372
gbr,1993,10.67038
gbr,1994,10.51223
gbr,1995,9.28802
gbr,1996,8.70494
gbr,1997,8.80452
gbr,1999,13.91563
gbr,2000,14.35753
gbr,2001,14.20736
gbr,2002,15.04905
gbr,2003,14.95238
gbr,2004,15.03623
gbr,2005,14.52616
gbr,2006,13.88775
gbr,2007,13.20056
gbr,2008,13.60017
gbr,2013,15.63258
gbr,2014,16.16583
gbr,2016,18.22702
gbr,2017,16.14119
geo,2000,5.1859
geo,2008,7.9407
geo,2009,7.56452
geo,2013,7.64122
geo,2014,7.30735
geo,2015,7.30959
geo,2016,7.48329
geo,2017,7.23696
geo,2018,6.92304
gha,1999,18.79335
gha,2000,18.47298
gha,2001,20.03743
gha,2002,20.05477
gha,2003,18.66596
gha,2004,21.62135
gha,2005,21.27628
gha,2006,15.48962
gha,2007,19.79364
gha,2008,19.65812
gha,2009,20.83217
gha,2011,25.19684
gha,2012,21.7278
gha,2013,22.24559
gha,2014,18.7034
gha,2015,19.50429
gha,2016,22.13073
gha,2017,21.69872
gha,2018,23.37084
gha,2019,19.60274
gib,1999,28.75
gib,2000,19.21053
gib,2001,16.29545
gib,2008,5.35526
gib,2009,5.67606
gib,2016,15.39286
gib,2017,14.4
gin,2003,27.78159
gin,2008,27.0338
gin,2011,26.66493
gnb,2000,10.60682
gnq,1999,14.90226
gnq,2000,14.87218
grc,1993,10.91401
grc,1994,10.44891
grc,1995,12.56295
grc,1996,9.57481
grc,1997,11.65906
grc,1998,11.00959
grc,1999,10.31114
grc,2000,9.59555
grc,2001,9.25406
grc,2002,8.83918
grc,2003,8.58556
grc,2004,8.46036
grc,2005,8.86159
grc,2006,8.40865
grc,2007,7.68323
grc,2013,8.06837
grc,2014,8.77611
grc,2015,9.23166
grc,2016,9.20859
grc,2017,9.42086
grd,2003,21.52917
grd,2014,12.5541
grd,2015,11.8642
grd,2016,11.86452
grd,2017,11.80858
grd,2018,12.83636
gtm,1996,16.15041
gtm,1998,14.7
gtm,1999,11.16299
gtm,2000,12.10043
gtm,2001,11.59896
gtm,2002,11.34335
gtm,2004,13.17971
gtm,2005,13.65695
gtm,2006,14.4091
gtm,2007,14.47653
gtm,2008,14.47621
gtm,2009,13.89325
gtm,2010,11.73788
gtm,2011,11.5775
gtm,2012,11.82618
gtm,2013,10.25111
gtm,2014,10.41592
gtm,2016,9.84971
gtm,2017,8.22526
gtm,2018,8.15275
guy,2003,16.47281
guy,2005,17.82742
guy,2008,23.43517
guy,2009,25.25725
guy,2010,21.19147
guy,2011,20.12509
guy,2012,21.7405
hnd,2008,11.32261
hnd,2015,13.23276
hnd,2016,10.90475
hnd,2017,14.24104
hrv,1996,12.84635
hrv,1997,12.24591
hrv,1998,11.7969
hrv,1999,11.2366
hrv,2000,10.63262
hrv,2001,10.09677
hrv,2002,9.88944
hrv,2003,9.94005
hrv,2004,9.73148
hrv,2005,8.76059
hrv,2006,8.07549
hrv,2007,7.81187
hrv,2008,7.5349
hrv,2009,7.14283
hrv,2010,7.04985
hrv,2011,7.00051
hrv,2012,7.0019
hrv,2013,7.09336
hrv,2014,7.94166
hrv,2015,6.43401
hrv,2016,6.06323
hun,1994,10.4122
hun,1997,11.52765
hun,1998,9.65963
hun,1999,9.45671
hun,2000,9.09197
hun,2001,10.81139
hun,2002,11.93287
hun,2003,12.56847
hun,2004,10.03875
hun,2005,10.02108
hun,2006,10.04757
hun,2007,9.93432
hun,2008,10.20534
hun,2009,10.40291
hun,2010,10.20815
hun,2011,10.12842
hun,2012,10.13401
hun,2013,11.2015
hun,2014,11.53472
hun,2015,10.66445
hun,2016,10.30027
idn,1995,12.02628
idn,1998,12.67088
idn,1999,12.98911
idn,2000,13.11259
idn,2001,13.0122
idn,2002,13.13552
idn,2003,13.13813
idn,2004,13.20882
idn,2005,11.89517
idn,2006,11.39496
idn,2007,12.16664
idn,2008,11.23606
idn,2009,12.00535
idn,2010,11.27575
idn,2011,15.51582
idn,2012,17.41974
idn,2013,16.85029
idn,2014,16.57657
idn,2016,14.41713
idn,2017,15.49818
idn,2018,14.95484
ind,2000,31.0589
ind,2001,30.85899
ind,2002,28.43367
ind,2004,28.06378
ind,2009,21.15715
ind,2010,20.63462
ind,2011,20.66773
ind,2013,32.05593
ind,2014,33.29242
