geo,time,tm_qty_mrch_xd_wd
abw,2000,100
abw,2001,93.18608
abw,2002,80.10139
abw,2003,86.0568
abw,2004,105.93649
abw,2005,96.23404
abw,2006,91.80723
abw,2007,91.34444
abw,2008,87.73238
abw,2009,39.69573
abw,2010,20.86888
abw,2011,71.74601
abw,2012,24.63698
abw,2013,16.65827
abw,2014,16.33867
abw,2015,21.4745
abw,2016,21.43729
abw,2017,19.25859
abw,2018,19.42433
abw,2019,19.38777
abw,2020,14.10403
afg,2000,100
afg,2001,151.27387
afg,2002,221.80396
afg,2003,179.64
afg,2004,172.60134
afg,2005,182.06906
afg,2006,191.394
afg,2007,194.20991
afg,2008,168.89869
afg,2009,204.00718
afg,2010,293.25157
afg,2011,323.87626
afg,2012,455.77557
afg,2013,436.99703
afg,2014,403.67903
afg,2015,451.76718
afg,2016,400.1422
afg,2017,414.07199
afg,2018,408.5466
afg,2019,385.24419
afg,2020,415.64408
ago,1985,86.96784
ago,1986,52.5433
ago,1987,58.72432
ago,1988,75.23142
ago,1989,72.16435
ago,1990,59.68143
ago,1991,29.35294
ago,1992,90.84204
ago,1993,51.19106
ago,1994,68.34278
ago,1995,61.90564
ago,1996,64.54925
ago,1997,84.59545
ago,1998,70.52649
ago,1999,97.41796
ago,2000,100
ago,2001,108.97581
ago,2002,128.30955
ago,2003,178.48307
ago,2004,180.02805
ago,2005,251.90254
ago,2006,251.02618
ago,2007,361.60842
ago,2008,505.63958
ago,2009,581.39174
ago,2010,407.14025
ago,2011,438.87329
ago,2012,516.63576
ago,2013,598.69804
ago,2014,653.24544
ago,2015,515.68693
ago,2016,339.65999
ago,2017,366.38121
ago,2018,382.81659
ago,2019,348.30244
ago,2020,233.05739
alb,2000,100
alb,2001,121.67718
alb,2002,138.705
alb,2003,160.67475
alb,2004,183.85314
alb,2005,196.34368
alb,2006,216.67652
alb,2007,276.48532
alb,2008,302.68554
alb,2009,287.21017
alb,2010,261.99508
alb,2011,279.01922
alb,2012,260.16425
alb,2013,265.23382
alb,2014,284.26511
alb,2015,262.90244
alb,2016,291.35891
alb,2017,324.6098
alb,2018,345.39409
alb,2019,349.86289
alb,2020,332.02693
and,2000,100
and,2001,104.46403
and,2002,122.60239
and,2003,149.23418
and,2004,164.86873
are,2000,100
are,2001,108.23614
are,2002,124.66932
are,2003,147.20752
are,2004,190.93205
are,2005,214.69346
are,2006,235.91653
are,2007,292.34611
are,2008,404.49397
are,2009,312.01704
are,2010,326.8363
are,2011,406.00695
are,2012,456.53359
are,2013,503.79299
are,2014,523.34392
are,2015,535.3022
are,2016,550.50696
are,2017,552.26065
are,2018,505.32576
are,2019,520.85491
are,2020,426.36787
arg,1980,52.14217
arg,1981,40.99514
arg,1982,24.56035
arg,1983,20.47927
arg,1984,21.08813
arg,1985,17.75009
arg,1986,20.31304
arg,1987,22.78993
arg,1988,20.24029
arg,1989,15.11915
arg,1990,13.66873
arg,1991,31.79248
arg,1992,56.56442
arg,1993,65.08762
arg,1994,78.3513
arg,1995,66.88544
arg,1996,81.02843
arg,1997,110.50407
arg,1998,119.34337
arg,1999,100.9007
arg,2000,100
arg,2001,83.47513
arg,2002,38.93408
arg,2003,58.5042
arg,2004,88.06793
arg,2005,104.23019
arg,2006,117.60901
arg,2007,144.15324
arg,2008,164.388
arg,2009,125.27018
arg,2010,175.53174
arg,2011,213.98362
arg,2012,198.86057
arg,2013,206.87718
arg,2014,183.46238
arg,2015,189.17963
arg,2016,195.65183
arg,2017,224.24448
arg,2018,209.89088
arg,2019,166.24184
arg,2020,148.36779
arm,2000,100
arm,2001,99.95152
arm,2002,117.25083
arm,2003,142.27999
arm,2004,138.39205
arm,2005,165.80608
arm,2006,184.54666
arm,2007,255.05107
arm,2008,301.37938
arm,2009,249.80211
arm,2010,269.40755
arm,2011,256.64243
arm,2012,262.90421
arm,2013,284.86494
arm,2014,284.67561
arm,2015,241.65644
arm,2016,263.23408
arm,2017,319.17089
arm,2018,353.16724
arm,2019,410.59803
arm,2020,350.4927
asm,2000,100
asm,2001,106.88687
asm,2002,105.14985
asm,2003,123.09153
asm,2004,113.63291
asm,2005,92.60057
asm,2006,99.01971
asm,2007,74.63669
asm,2008,72.56974
asm,2009,65.02349
asm,2010,45.32957
asm,2011,35.03593
asm,2012,40.102
asm,2013,48.57808
asm,2014,62.79622
asm,2015,86.4079
asm,2016,91.96628
asm,2017,75.11125
asm,2018,69.17657
asm,2019,74.51676
asm,2020,75.92147
atg,2000,100
atg,2001,96.89998
atg,2002,102.03284
atg,2003,103.00443
atg,2004,103.47162
atg,2005,105.40259
atg,2006,119.44996
atg,2007,126.63412
atg,2008,108.71253
atg,2009,77.88205
atg,2010,64.57327
atg,2011,44.86632
atg,2012,50.39879
atg,2013,55.46466
atg,2014,59.12648
atg,2015,60.58478
atg,2016,68.02966
atg,2017,75.4326
atg,2018,89.00405
atg,2019,91.57053
atg,2020,64.39116
aus,2000,100
aus,2001,94.65174
aus,2002,107.53973
aus,2003,119.94343
aus,2004,137.46685
aus,2005,150.02902
aus,2006,162.45485
aus,2007,180.88894
aus,2008,200.24367
aus,2009,178.1099
aus,2010,194.881
aus,2011,208.39421
aus,2012,218.96171
aus,2013,213.02692
aus,2014,216.65324
aus,2015,226.00491
aus,2016,222.28895
aus,2017,250.58887
aus,2018,248.18452
aus,2019,244.655
aus,2020,244.31488
aut,2000,100
aut,2001,104.0989
aut,2002,104.33875
aut,2003,111.20181
aut,2004,119.00151
aut,2005,120.01585
aut,2006,122.17949
aut,2007,129.61815
aut,2008,128.96728
aut,2009,110.50879
aut,2010,123.28579
aut,2011,131.04272
aut,2012,128.28717
aut,2013,127.8436
aut,2014,127.04018
aut,2015,128.6589
aut,2016,129.27562
aut,2017,135.03717
aut,2018,136.38021
aut,2019,135.42553
aut,2020,124.07193
aze,2000,100
aze,2001,119.98317
aze,2002,144.64256
aze,2003,211.2421
aze,2004,259.67407
aze,2005,293.53826
aze,2006,327.09642
aze,2007,348.64367
aze,2008,400.33915
aze,2009,350.83852
aze,2010,351.4146
aze,2011,481.01615
aze,2012,502.31457
aze,2013,513.51938
aze,2014,464.63666
aze,2015,505.46627
aze,2016,482.73203
aze,2017,484.1287
aze,2018,599.82798
aze,2019,715.33357
aze,2020,551.583
bdi,1980,37.3605
bdi,1981,36.09544
bdi,1982,48.45959
bdi,1983,45.14053
bdi,1984,55.19297
bdi,1985,50.73439
bdi,1986,51.41586
bdi,1987,46.75106
bdi,1988,44.11464
bdi,1989,39.44909
bdi,1990,45.47335
bdi,1991,52.77648
bdi,1992,51.26625
bdi,1993,54.07738
bdi,1994,62.98815
bdi,1995,58.86469
bdi,1996,37.84563
bdi,1997,34.06098
bdi,1998,62.68361
bdi,1999,70.65574
bdi,2000,100
bdi,2001,96.69029
bdi,2002,89.83799
bdi,2003,100.6891
bdi,2004,104.18394
bdi,2005,148.68824
bdi,2006,225.20769
bdi,2007,152.90973
bdi,2008,176.37498
bdi,2009,186.33708
bdi,2010,229.88216
bdi,2011,287.95038
bdi,2012,288.80676
bdi,2013,319.39194
bdi,2014,308.44576
bdi,2015,389.43472
bdi,2016,293.54769
bdi,2017,347.15366
bdi,2018,340.31123
bdi,2019,389.2645
bdi,2020,400.15225
bel,2000,100
bel,2001,102.54305
bel,2002,109.59202
bel,2003,109.78548
bel,2004,118.25519
bel,2005,123.27051
bel,2006,128.84258
bel,2007,136.56358
bel,2008,134.777
bel,2009,117.58698
bel,2010,126.34207
bel,2011,131.74088
bel,2012,129.57183
bel,2013,130.22484
bel,2014,133.11682
bel,2015,134.08001
bel,2016,141.24803
bel,2017,140.6004
bel,2018,142.74275
bel,2019,141.88232
bel,2020,132.4695
ben,1980,81.84782
ben,1981,136.21934
ben,1982,99.64017
ben,1983,74.00328
ben,1984,71.19842
ben,1985,81.84535
ben,1986,73.30992
ben,1987,54.7872
ben,1988,48.86695
ben,1989,33.4806
ben,1990,43.25163
ben,1991,37.8356
