geo,time,ip_pat_resd
abw,2002,1
ago,1992,4
ago,2018,6
ago,2019,2
ago,2020,85
alb,2011,3
alb,2014,10
alb,2015,14
alb,2016,20
alb,2017,16
alb,2018,15
alb,2019,4
and,2018,1
and,2019,3
and,2020,3
are,2010,25
are,2011,33
are,2012,23
are,2013,21
are,2014,29
are,2015,35
are,2016,57
are,2017,63
are,2018,57
are,2019,55
are,2020,39
arg,1980,1269
arg,1981,954
arg,1982,951
arg,1983,1102
arg,1984,1182
arg,1990,955
arg,1991,943
arg,1992,503
arg,1993,787
arg,1994,694
arg,1995,676
arg,1996,1097
arg,1997,824
arg,1998,861
arg,1999,899
arg,2000,1062
arg,2001,691
arg,2002,718
arg,2003,792
arg,2004,786
arg,2005,1054
arg,2006,1020
arg,2007,937
arg,2008,801
arg,2009,640
arg,2010,552
arg,2011,688
arg,2012,735
arg,2013,643
arg,2014,509
arg,2015,546
arg,2016,884
arg,2017,393
arg,2018,425
arg,2019,442
arg,2020,930
arm,1993,184
arm,1994,154
arm,1995,187
arm,1996,162
arm,1997,62
arm,1998,75
arm,1999,109
arm,2000,119
arm,2001,140
arm,2002,200
arm,2003,151
arm,2005,206
arm,2006,192
arm,2007,135
arm,2008,226
arm,2009,116
arm,2010,136
arm,2011,121
arm,2012,137
arm,2013,125
arm,2014,121
arm,2015,113
arm,2016,125
arm,2017,107
arm,2018,101
arm,2019,112
arm,2020,63
atg,2018,5
aus,1980,6582
aus,1981,6341
aus,1982,6603
aus,1983,6930
aus,1984,7170
aus,1995,1784
aus,1996,1797
aus,1997,1760
aus,1998,1862
aus,1999,1858
aus,2000,1928
aus,2001,2187
aus,2002,2364
aus,2003,2418
aus,2004,2559
aus,2005,2555
aus,2006,2837
aus,2007,2718
aus,2008,2821
aus,2009,2494
aus,2010,2409
aus,2011,2383
aus,2012,2627
aus,2013,3061
aus,2014,1988
aus,2015,2291
aus,2016,2620
aus,2017,2503
aus,2018,2757
aus,2019,2637
aus,2020,2368
aut,1980,2327
aut,1981,2390
aut,1982,2233
aut,1983,2345
aut,1984,2324
aut,1985,2269
aut,1986,2210
aut,1987,2249
aut,1988,2212
aut,1989,2105
aut,1990,2025
aut,1991,2076
aut,1992,2117
aut,1993,2190
aut,1994,1989
aut,1995,1728
aut,1996,1909
aut,1997,1910
aut,1998,1957
aut,1999,2028
aut,2000,1961
aut,2001,1815
aut,2002,1932
aut,2003,2120
aut,2004,2248
aut,2005,2270
aut,2006,2271
aut,2007,2385
aut,2008,2298
aut,2009,2263
aut,2010,2424
aut,2011,2154
aut,2012,2258
aut,2013,2162
aut,2014,2092
aut,2015,2205
aut,2016,2078
aut,2017,2073
aut,2018,2039
aut,2019,2066
aut,2020,2124
aze,1995,221
aze,1996,165
aze,2001,203
aze,2002,234
aze,2003,246
aze,2004,270
aze,2005,281
aze,2006,246
aze,2007,287
aze,2008,226
aze,2009,264
aze,2010,254
aze,2011,193
aze,2012,144
aze,2013,156
aze,2014,168
aze,2015,184
aze,2016,144
aze,2017,204
aze,2018,155
aze,2019,147
aze,2020,90
bdi,1989,1
bdi,1996,1
bdi,2017,3
bdi,2018,2
bdi,2020,2
bel,1980,865
bel,1981,806
bel,1982,914
bel,1983,805
bel,1984,869
bel,1985,771
bel,1986,794
bel,1987,548
bel,1988,636
bel,1989,681
bel,1990,643
bel,1991,625
bel,1992,675
bel,1993,809
bel,1994,744
bel,1995,732
bel,1996,776
bel,1997,792
bel,1998,690
bel,1999,591
bel,2000,577
bel,2001,571
bel,2002,601
bel,2003,519
bel,2004,514
bel,2005,517
bel,2006,490
bel,2007,454
bel,2008,575
bel,2009,669
bel,2010,620
bel,2011,636
bel,2012,755
bel,2013,715
bel,2014,889
bel,2015,949
bel,2016,1054
bel,2017,1001
bel,2018,892
bel,2019,876
bel,2020,862
bfa,1998,2
bfa,1999,4
bfa,2000,2
bfa,2003,1
bfa,2004,2
bfa,2005,1
bfa,2010,2
bgd,1980,34
bgd,1981,39
bgd,1982,40
bgd,1983,40
bgd,1984,62
bgd,1985,40
bgd,1986,16
bgd,1987,23
bgd,1988,24
bgd,1989,32
bgd,1990,32
bgd,1991,36
bgd,1992,72
bgd,1993,36
bgd,1994,39
bgd,1995,70
bgd,1996,22
bgd,1997,46
bgd,1998,32
bgd,1999,49
bgd,2000,70
bgd,2001,59
bgd,2002,43
bgd,2003,58
bgd,2004,48
bgd,2005,50
bgd,2006,22
bgd,2007,29
bgd,2008,60
bgd,2009,55
bgd,2010,66
bgd,2011,37
bgd,2012,67
bgd,2013,60
bgd,2014,44
bgd,2015,41
bgd,2016,77
bgd,2017,61
bgd,2018,69
bgd,2019,68
bgd,2020,40
bgr,1980,3297
bgr,1981,3673
bgr,1982,3628
bgr,1983,3811
bgr,1984,3843
bgr,1985,2
bgr,1986,1
bgr,1987,3
bgr,1988,6
bgr,1989,63
bgr,1990,198
bgr,1991,422
bgr,1992,329
bgr,1993,412
bgr,1994,319
bgr,1995,368
bgr,1996,316
bgr,1997,394
bgr,1998,274
bgr,1999,282
bgr,2000,231
bgr,2001,283
bgr,2002,289
bgr,2003,278
bgr,2004,263
bgr,2005,261
bgr,2006,243
bgr,2007,211
bgr,2008,249
bgr,2009,242
bgr,2010,243
bgr,2011,262
bgr,2012,245
bgr,2013,282
bgr,2014,218
bgr,2015,280
bgr,2016,230
bgr,2017,202
bgr,2018,180
bgr,2019,186
bgr,2020,239
bhr,1981,1
bhr,2011,1
bhr,2012,3
bhr,2013,3
bhr,2014,6
bhr,2015,8
bhr,2016,6
bhr,2017,8
bhr,2018,11
bhr,2019,4
bhr,2020,7
bhs,1981,2
bhs,1982,3
bhs,1984,3
bhs,1985,3
bhs,1986,1
bhs,1988,4
bhs,1990,2
bhs,1991,1
bhs,1992,2
bhs,2012,3
bhs,2013,1
bhs,2014,1
bhs,2015,2
bhs,2016,3
bhs,2017,4
bih,1999,23
bih,2000,31
bih,2001,52
bih,2003,32
bih,2004,50
bih,2005,66
bih,2006,55
bih,2008,59
bih,2010,56
bih,2011,43
bih,2012,2
bih,2013,7
bih,2014,41
bih,2016,60
bih,2017,87
bih,2018,84
bih,2019,45
bih,2020,50
blr,1993,828
blr,1994,683
blr,1995,624
blr,1996,698
blr,1997,752
blr,1998,910
blr,1999,993
blr,2000,994
blr,2001,930
blr,2002,895
blr,2003,1082
blr,2004,1065
blr,2005,1166
blr,2006,1188
blr,2007,1405
blr,2008,1510
blr,2009,1753
blr,2010,1759
blr,2011,1725
blr,2012,1681
blr,2013,1489
blr,2014,652
blr,2015,543
blr,2016,455
blr,2017,434
blr,2018,453
blr,2019,298
blr,2020,317
blz,2006,1
bol,1980,8
bol,1981,12
bol,1982,18
bol,1983,11
bol,1984,4
bol,1985,5
bol,1993,26
bol,1994,28
bol,1995,17
bol,2014,9
bol,2016,12
bol,2017,59
bra,1980,2149
bra,1981,2171
bra,1982,2116
bra,1983,2302
bra,1984,2062
bra,1985,1954
bra,1986,1855
bra,1987,2451
bra,1988,2338
bra,1989,2323
bra,1990,2389
bra,1991,2319
bra,1992,2100
bra,1993,2429
bra,1994,2269
bra,1995,2707
bra,1996,2611
bra,1997,2756
bra,1998,2491
bra,1999,2816
bra,2000,3179
bra,2001,3439
bra,2002,3481
bra,2003,3866
bra,2004,4044
bra,2005,4054
bra,2006,3956
bra,2007,4194
bra,2008,4280
bra,2009,4271
bra,2010,4228
bra,2011,4695
bra,2012,4798
bra,2013,4959
bra,2014,4659
bra,2015,4641
bra,2016,5200
bra,2017,5480
bra,2018,4980
bra,2019,5464
bra,2020,5280
brb,1984,3
brb,2003,2
brb,2007,3
brb,2008,1
brb,2013,3
brb,2014,1
brb,2020,29
brn,2012,20
brn,2013,20
brn,2014,26
brn,2016,16
brn,2017,8
brn,2018,26
brn,2019,8
brn,2020,5
btn,2012,3
btn,2013,3
btn,2015,1
btn,2016,4
btn,2018,1
btn,2019,1
bwa,2011,1
bwa,2012,5
bwa,2013,8
bwa,2014,4
bwa,2015,3
bwa,2016,1
bwa,2017,3
bwa,2019,2
bwa,2020,2
can,1980,1648
can,1981,2164
can,1982,2000
can,1983,2017
can,1984,2026
can,1985,2092
can,1986,2161
can,1987,2527
can,1988,2772
can,1989,3031
can,1990,2549
can,1991,2182
can,1992,2807
can,1993,3623
can,1994,2480
can,1995,2431
can,1996,2583
can,1997,3344
can,1998,3809
can,1999,4061
can,2000,4187
can,2001,3963
can,2002,3959
can,2003,3929
can,2004,5231
can,2005,5183
can,2006,5522
can,2007,4998
can,2008,5061
can,2009,5067
can,2010,4550
can,2011,4754
can,2012,4709
can,2013,4567
can,2014,4198
can,2015,4277
can,2016,4078
can,2017,4053
can,2018,4349
can,2019,4238
can,2020,4452
che,1980,4049
che,1981,3712
che,1982,3845
che,1983,3817
che,1984,3393
che,1985,3191
che,1986,3199
che,1987,3298
che,1988,3236
che,1989,3247
che,1990,2987
che,1991,2949
che,1992,3068
che,1993,2999
che,1994,3033
che,1995,2890
che,1996,2504
che,1997,2408
che,1998,2025
che,1999,1916
che,2000,2083
che,2001,1859
che,2002,1827
che,2003,1831
che,2004,1742
che,2005,1643
che,2006,1740
che,2007,1692
che,2008,1594
che,2009,1684
che,2010,1622
che,2011,1597
che,2012,1480
che,2013,1525
che,2014,1480
che,2015,1477
che,2016,1462
che,2017,1337
che,2018,1283
che,2019,1369
che,2020,1384
chl,1980,140
chl,1981,92
chl,1982,96
chl,1983,96
chl,1984,105
chl,1985,122
chl,1986,96
chl,1987,108
chl,1988,111
chl,1989,135
chl,1990,169
chl,1991,151
chl,1992,178
chl,1993,155
chl,1994,219
chl,1995,171
chl,1996,176
chl,1997,161
chl,1998,207
chl,1999,204
chl,2000,241
chl,2001,246
chl,2002,391
chl,2003,329
chl,2004,382
chl,2005,361
chl,2006,291
chl,2007,403
chl,2008,531
chl,2009,343
chl,2010,328
chl,2011,339
chl,2012,336
chl,2013,340
chl,2014,452
chl,2015,443
chl,2016,386
chl,2017,425
chl,2018,406
chl,2019,438
chl,2020,372
chn,1985,4065
chn,1986,3494
chn,1987,3975
chn,1988,4780
chn,1989,4749
chn,1990,5832
chn,1991,7372
chn,1992,10022
chn,1993,12084
chn,1994,11191
chn,1995,10011
chn,1996,11628
chn,1997,12672
chn,1998,13751
chn,1999,15626
chn,2000,25346
chn,2001,30038
chn,2002,39806
chn,2003,56769
chn,2004,65786
chn,2005,93485
chn,2006,122318
chn,2007,153060
chn,2008,194579
chn,2009,229096
chn,2010,293066
chn,2011,415829
chn,2012,535313
chn,2013,704936
chn,2014,801135
chn,2015,968252
chn,2016,1204981
chn,2017,1245709
chn,2018,1393815
chn,2019,1243568
chn,2020,1344817
civ,2012,26
cod,2018,44
cod,2019,42
cod,2020,72
cog,1986,5
cog,1988,19
col,1980,43
col,1981,39
col,1983,82
col,1984,69
col,1985,72
col,1986,81
col,1987,52
col,1988,85
col,1989,90
col,1991,85
col,1992,120
col,1993,138
col,1994,124
col,1995,141
col,1996,87
col,1997,80
col,1998,161
col,1999,68
col,2000,75
col,2001,65
col,2002,54
col,2003,82
col,2004,76
col,2005,99
col,2006,142
col,2007,128
col,2008,126
col,2009,128
col,2010,133
col,2011,183
col,2012,213
col,2013,251
col,2014,260
col,2015,321
col,2016,545
col,2017,595
col,2018,415
col,2019,422
col,2020,369
cpv,2016,2
cpv,2017,2
cpv,2018,3
cpv,2020,1
cri,1980,30
cri,1981,41
cri,1982,39
cri,1983,16
cri,1984,24
cri,1985,16
cri,1986,11
cri,1987,10
cri,1988,10
cri,1989,13
cri,1990,15
cri,1991,63
cri,1992,18
cri,1993,27
cri,1994,32
cri,1995,25
cri,1996,23
cri,1997,25
cri,1998,22
cri,1999,31
cri,2000,28
cri,2001,21
cri,2002,23
cri,2003,33
cri,2004,26
cri,2005,17
cri,2006,22
cri,2007,20
cri,2008,24
cri,2009,16
cri,2010,8
cri,2011,13
cri,2012,9
cri,2013,18
cri,2014,15
cri,2015,17
cri,2016,9
cri,2017,19
cri,2018,8
cri,2019,16
cri,2020,12
cub,1980,129
cub,1981,122
cub,1982,183
cub,1983,166
cub,1984,214
cub,1992,1
cub,1993,1
cub,1994,121
cub,1995,104
cub,1996,83
cub,1997,109
cub,1999,110
cub,2005,105
cub,2006,94
cub,2007,74
cub,2008,69
cub,2009,59
cub,2011,62
cub,2012,38
cub,2013,27
cub,2014,24
cub,2016,32
cub,2017,29
cub,2018,29
cub,2019,27
cub,2020,33
cyp,1980,1
cyp,1983,2
cyp,1984,2
cyp,2003,12
