global,time,se_sec_uner_lo_zs
world,1998,25.75412
world,1999,25.85349
world,2000,25.14187
world,2001,24.67112
world,2002,23.41709
world,2003,21.57948
world,2004,20.69428
world,2005,20.01712
world,2006,19.64809
world,2007,18.88706
world,2008,18.51231
world,2009,18.13376
world,2010,17.3935
world,2011,17.11231
world,2012,16.54644
world,2013,16.42339
world,2014,16.48571
world,2015,15.79346
world,2016,15.61181
world,2017,15.70509
world,2018,15.32196
world,2019,15.50219
world,2020,15.60865
