geo,time,dt_tds_dimf_cd
afg,2006,1635000.1
afg,2007,1640636.9
afg,2008,738776.5
afg,2009,1069033.8
afg,2010,777611.1
afg,2011,261961.8
afg,2012,3813727.1
afg,2013,12954392
afg,2014,19585014.9
afg,2015,20403434.4
afg,2016,21130279.7
afg,2017,20943911
afg,2018,16605785.1
afg,2019,11886621.3
afg,2020,9823909.6
ago,1999,14409764
ago,2000,15628328.7
ago,2001,7750704.8
ago,2002,6752041
ago,2003,5995586.1
ago,2004,8982168.8
ago,2005,12220794.9
ago,2006,16349472.3
ago,2007,14293785.2
ago,2008,3538791.1
ago,2009,984383.6
ago,2010,6980681.5
ago,2011,15405085.1
ago,2012,14239876
ago,2013,276044884.2
ago,2014,510508152.1
ago,2015,349732187.8
ago,2016,125810026.8
ago,2017,30099158.2
ago,2018,365335.8
ago,2019,23588097.1
ago,2020,22928492.4
alb,1992,102828.7
alb,1993,939772.2
alb,1994,1082639.3
alb,1995,2467028.1
alb,1996,9195606.4
alb,1997,8447816.7
alb,1998,1963257.1
alb,1999,6716604.7
alb,2000,10900180
alb,2001,15676658.4
alb,2002,15406592.4
alb,2003,10962772
alb,2004,11475513
alb,2005,11668685.7
alb,2006,14508851.3
alb,2007,17569442.5
alb,2008,16578793.4
alb,2009,14689957.7
alb,2010,12677468.9
alb,2011,12309340.1
alb,2012,10419468.5
alb,2013,10593648.1
alb,2014,9265195.2
alb,2015,7509101.9
alb,2016,6777925.3
alb,2017,9112258.5
alb,2018,16046453.2
alb,2019,29509991.7
alb,2020,47680509.6
arg,1972,0
arg,1973,0
arg,1974,137224250
arg,1975,136270500
arg,1976,92130880
arg,1977,147455306.8
arg,1978,518548256.9
arg,1979,0
arg,1980,0
arg,1981,0
arg,1982,0
arg,1983,48990000
arg,1984,1168544228.6
arg,1985,240295378
arg,1986,1164271286
arg,1987,844061708.6
arg,1988,760909527.8
arg,1989,991902311
arg,1990,974576880.4
arg,1991,1227930612.2
arg,1992,1076663119
arg,1993,589781730.4
arg,1994,617768865.2
arg,1995,758870603.7
arg,1996,700778084.8
arg,1997,754858308.7
arg,1998,920972419
arg,1999,1037741625.1
arg,2000,1492801396.2
arg,2001,1606456419.1
arg,2002,1428182504.6
arg,2003,6254224210.1
arg,2004,6068903156.4
arg,2005,4095472681.3
arg,2006,9895501186.2
arg,2007,17206163.3
arg,2008,4021081.2
arg,2009,7283631.9
arg,2010,9954950.9
arg,2011,3407113.4
