geo,time,ne_exp_gnfs_cn
abw,1995,2007000000
abw,1996,2140000000
abw,1997,2263000000
abw,1998,2374000000
abw,1999,2465000000
abw,2000,2495000000
abw,2001,2423000000
abw,2002,2256000000
abw,2003,2283000000
abw,2004,2596000000
abw,2005,2860000000
abw,2006,2858000000
abw,2007,3097000000
abw,2008,3327000000
abw,2009,2853000000
abw,2010,2612000000
abw,2011,3095000000
abw,2012,2960000000
abw,2013,3737740000
abw,2014,3910346725.42146
abw,2015,3863829557.24381
abw,2016,3835718669.86435
abw,2017,4015895053.9635
abw,2018,4230120638.32774
afg,1960,1000000500
afg,1961,1100000500
afg,1962,1200000600
afg,1963,3100001500
afg,1964,3200001500
afg,1965,5100000300
afg,1966,5400000000
afg,1967,5100000300
afg,1968,5500000300
afg,1969,6400000000
afg,1970,7699999700
afg,1971,8999999500
afg,1972,10599999500
afg,1973,10099999700
afg,1974,13600000000
afg,1975,13500000300
afg,1976,15200000000
afg,1977,15500000300
afg,1978,16099999700
ago,2000,82211503700
ago,2001,148599750100
ago,2002,379835000000
ago,2003,721898000000
ago,2004,1148675000000
ago,2005,2111487000000
ago,2006,2671846000000
ago,2007,3399591000000
ago,2008,4814772000000
ago,2009,3277095000000
ago,2010,4739836000000
ago,2011,6370916000000
ago,2012,6838653000000
ago,2013,6696079588800
ago,2014,6402053256300
ago,2015,4150853170400
ago,2016,4654479972400
ago,2017,5876896635500
ago,2018,10465419062400
ago,2019,12834624000000
ago,2020,12755933000000
alb,1980,3591700000
alb,1981,3694000100
alb,1982,3205400100
alb,1983,3043200000
alb,1984,2874900000
alb,1985,2737799900
alb,1986,2618500100
alb,1987,2668400100
alb,1988,2786299900
alb,1989,3351399900
alb,1990,2500000000
alb,1991,1185120000
alb,1992,6116590100
alb,1993,19330590700
alb,1994,21328799700
alb,1995,28037779500
alb,1996,38853630000
alb,1997,33785530000
alb,1998,44131160000
alb,1999,74709050000
alb,2000,100817610000
alb,2001,120202890000
alb,2002,127871730000
alb,2003,141290660000
alb,2004,163889170000
alb,2005,185061960000
alb,2006,220013070000
