geo,time,se_sec_cuat_lo_zs
abw,1991,46.09238
abw,2000,55.99243
abw,2010,60.76534
afg,1975,4.1
afg,1979,4.14946
afg,2021,11.63192
ago,2014,28.92347
alb,2001,75.73405
alb,2008,81.73395
alb,2011,85.22622
alb,2012,87.2149
and,2014,72.84459
and,2015,72.50061
and,2016,72.32677
are,1975,22.66863
are,2005,62.70005
are,2016,70.71039
are,2017,78.98944
are,2018,82.88562
are,2019,84.16772
arg,1970,19.3
arg,1980,26.5
arg,1991,37.35632
arg,2001,45.89169
arm,2001,91.07919
arm,2011,96.59978
arm,2015,97.22246
arm,2017,96.59277
arm,2020,96.46982
asm,1974,68.34043
asm,1980,64.2
asm,1990,81.3
aus,1971,69.8
aus,2004,89.7376
aus,2005,90.8543
aus,2006,91.14067
aus,2007,91.72464
aus,2008,92.33435
aus,2009,92.23867
aus,2010,93.19953
aus,2011,93.6081
aus,2012,94.44894
aus,2013,91.08141
aus,2014,91.82767
aus,2015,92.67857
aus,2016,92.76399
aus,2017,93.00571
aus,2018,93.43907
aus,2019,93.9455
aus,2020,94.50653
aut,2014,99.55485
aze,1999,92.83788
aze,2007,95.33012
aze,2008,95.40805
aze,2009,95.46668
aze,2010,95.56773
aze,2011,95.55584
aze,2012,95.56986
aze,2013,95.59502
aze,2014,95.60782
aze,2015,95.60849
aze,2016,95.64131
aze,2017,95.51609
aze,2019,95.51906
bdi,1990,3.12327
bdi,2008,10.73125
bdi,2014,5.92903
bdi,2017,9.27594
bel,1970,33.87465
bel,2006,76.78745
bel,2008,78.32391
bel,2009,79.42992
bel,2010,79.64149
bel,2011,80.10137
bel,2012,80.29019
bel,2013,81.58794
bel,2014,82.34053
bel,2015,84.35792
bel,2016,84.78952
bel,2017,86.50417
bel,2019,88.42696
ben,1979,2.50004
ben,1992,9.56084
ben,2002,14.31745
bfa,2006,7.93816
bfa,2007,2.03617
bfa,2014,8.48835
bfa,2018,12.6708
bgd,1974,7.69508
bgd,1981,12.86266
bgd,2001,26.71473
bgd,2011,35.29797
bgd,2012,36.04574
bgd,2013,33.70535
bgd,2014,34.91573
bgd,2015,40.8408
bgd,2016,41.5008
bgd,2017,42.61808
bgd,2018,43.64284
bgd,2019,44.68355
bgd,2020,54.52321
bgr,1975,25.87229
bgr,1992,50.75856
bgr,2001,87.86179
bgr,2006,91.25402
bgr,2007,91.97218
bgr,2008,92.16161
bgr,2009,92.57822
bgr,2010,93.21961
bgr,2011,93.73533
bgr,2012,94.30368
bgr,2013,94.32664
bgr,2014,94.24516
bgr,2015,94.815
bgr,2016,95.14305
bgr,2017,95.38572
bgr,2020,95.67125
bhr,1971,12.98075
bhr,1991,35.4
bhr,2001,68.33723
bhr,2010,54.89627
bhr,2016,69.22395
bhr,2017,72.34711
bhr,2018,79.93612
