global,time,sh_dyn_ncom_zs
world,2000,22.892
world,2001,22.6029
world,2002,22.48569
world,2003,22.27598
world,2004,21.81686
world,2005,21.53421
world,2006,21.09423
world,2007,20.80633
world,2008,20.63601
world,2009,20.39121
world,2010,20.24564
world,2011,20.00647
world,2012,19.74816
world,2013,19.29392
world,2014,19.02681
world,2015,18.96812
world,2016,18.88564
world,2017,18.58773
world,2018,18.40945
world,2019,18.26968
