geo,time,se_prm_prs5_fe_zs
abw,1999,96.05672
abw,2001,98.79518
abw,2002,95.91765
abw,2003,95.0455
abw,2004,95.51022
abw,2006,95.1916
abw,2007,88.33979
abw,2008,99.43503
abw,2013,99.73719
afg,1973,54.73078
afg,1976,79.28393
afg,1977,78.04613
afg,1980,60.71758
ago,2008,35.35583
ago,2009,36.5802
alb,1995,19.04437
alb,2008,92.73838
alb,2009,95.44256
alb,2010,97.8856
alb,2011,99.14433
alb,2012,99.83727
alb,2013,99.14606
alb,2014,96.38993
alb,2015,89.05257
alb,2016,93.68109
alb,2017,93.25993
alb,2018,88.63291
alb,2019,90.06431
and,2006,95.54963
and,2007,94.77561
and,2008,94.68118
and,2009,96.15261
and,2010,90.92229
and,2011,94.3118
and,2012,92.01056
and,2013,99.00823
and,2016,98.8177
are,1973,77.65875
are,1977,96.64333
are,1978,94.07547
are,1982,98.27212
are,1983,91.38143
are,1984,85.07664
are,1985,92.13726
are,1986,90.69326
are,1987,92.89435
are,1988,96.69646
are,1989,96.51406
are,1990,95.50653
are,1991,79.80371
are,1992,89.55767
are,1993,96.79836
are,1994,98.24711
are,1995,82.66197
are,1996,83.64768
are,1997,94.09848
are,1998,97.16983
are,1999,91.64955
are,2000,95.1821
are,2001,95.6952
are,2003,94.79619
are,2004,95.54287
are,2005,98.8541
are,2006,96.68221
are,2010,84.34224
are,2012,93.17481
arg,1970,77.17055
arg,1974,75.53919
arg,1975,77.21027
arg,1996,70.3407
arg,1998,91.47142
arg,1999,94.32265
arg,2000,92.6124
arg,2001,91.37212
arg,2002,82.95161
arg,2003,94.49029
arg,2004,88.75574
arg,2005,94.97391
arg,2006,96.19636
arg,2007,97.24719
arg,2008,94.8125
arg,2009,95.49407
arg,2010,94.99075
arg,2011,96.49144
arg,2012,95.75393
arg,2013,97.41936
arg,2014,96.762
arg,2015,97.90656
arg,2016,95.57314
arg,2017,95.50814
arg,2018,94.99575
atg,2007,95.20088
atg,2014,89.58078
bdi,1972,19.30995
bdi,1973,51.78662
bdi,1974,65.81601
bdi,1975,60.76039
bdi,1976,56.66871
bdi,1977,75.41366
bdi,1978,61.71371
bdi,1979,73.45708
bdi,1980,81.39355
bdi,1982,83.29133
bdi,1983,83.19303
bdi,1984,82.69339
bdi,1986,84.83022
bdi,1987,84.52966
bdi,1988,67.11712
bdi,1989,68.03591
bdi,1991,58.01078
bdi,1992,72.55275
bdi,2000,58.28974
bdi,2001,59.5702
bdi,2002,70.65624
bdi,2003,63.32871
bdi,2004,69.86393
bdi,2006,70.82441
bdi,2007,67.85312
bdi,2009,65.74341
bdi,2010,61.52109
bdi,2011,56.30247
bdi,2012,60.20347
bdi,2013,70.61421
bdi,2014,62.00965
bdi,2015,59.55438
bdi,2016,56.48331
bdi,2017,57.87595
bdi,2018,57.26648
bel,1974,74.37112
bel,1975,72.97165
bel,1976,73.94562
bel,1977,72.44123
bel,1978,75.40681
bel,1979,76.765
bel,1980,78.83788
bel,1981,77.08284
bel,1982,73.27674
bel,1983,72.46489
bel,1984,77.81579
bel,1985,82.08715
bel,1986,83.11846
bel,1987,82.84723
bel,2005,96.94517
bel,2006,97.06746
bel,2007,92.02132
bel,2008,97.49142
bel,2009,100
bel,2012,100
bel,2013,96.62431
bel,2014,97.43264
bel,2015,98.74912
bel,2016,97.0242
bel,2017,97.9397
bel,2018,97.98306
ben,1971,65.10813
ben,1972,58.39741
ben,1973,40.99338
ben,1975,60.23413
ben,1976,46.74705
ben,1977,52.32136
ben,1978,59.42775
ben,1979,69.8994
ben,1980,42.68257
ben,1982,58.61283
ben,1983,42.57192
ben,1984,52.0005
ben,1985,42.59562
ben,1986,49.25572
ben,1987,40.91427
ben,1988,45.21772
ben,1989,13.70314
ben,1991,55.9191
ben,1992,68.01125
ben,1993,54.67053
ben,1994,61.45556
ben,1995,56.67005
ben,1996,62.46539
ben,1997,62.52373
ben,2000,77.71609
ben,2001,67.78078
ben,2002,65.81073
ben,2003,69.58891
ben,2009,58.93843
ben,2010,60.68475
ben,2011,67.27668
ben,2012,60.40785
ben,2013,62.54625
ben,2014,66.05039
ben,2015,57.34407
ben,2018,42.23478
ben,2019,47.70494
bfa,1971,55.39447
bfa,1972,52.41877
bfa,1973,56.48755
bfa,1974,67.81922
bfa,1975,60.73018
bfa,1976,60.77007
bfa,1977,64.3082
bfa,1978,65.47425
bfa,1979,67.91904
bfa,1980,67.8871
bfa,1981,73.80272
bfa,1982,73.41327
bfa,1983,72.30704
bfa,1984,73.6852
bfa,1986,74.96856
bfa,1987,72.66971
bfa,1988,72.47888
bfa,1989,71.47372
bfa,1990,77.33518
bfa,1991,67.81607
