geo,time,fb_atm_totl_p5
abw,2011,110.98
abw,2012,119.57
abw,2013,124.17
abw,2014,117.94
abw,2015,119.07
abw,2016,125.99
abw,2017,124.98
abw,2018,126.43
abw,2019,126.74
abw,2020,125.84
afg,2004,0.02
afg,2005,0.06
afg,2006,0.12
afg,2007,0.21
afg,2008,0.3
afg,2009,0.45
afg,2010,0.53
afg,2011,0.62
afg,2012,0.64
afg,2013,0.71
afg,2014,0.75
afg,2015,0.92
afg,2016,1.06
afg,2017,1.21
afg,2018,1.61
afg,2019,1.64
ago,2004,0.85
ago,2005,1.45
ago,2006,3.04
ago,2007,4.4
ago,2008,6.24
ago,2009,8.34
ago,2010,10.42
ago,2011,12.72
ago,2012,15.19
ago,2013,16.99
ago,2014,18.19
ago,2015,18.82
ago,2016,19.06
ago,2017,19.13
ago,2018,18.92
ago,2019,18.4
alb,2004,4.23
alb,2005,9.26
alb,2006,13.87
alb,2007,19.37
alb,2008,28.63
alb,2009,32.94
alb,2010,34.13
alb,2011,35.29
alb,2012,35.74
alb,2013,35.43
alb,2014,34.75
alb,2015,35.26
alb,2016,34.08
alb,2017,31.71
alb,2018,30.64
alb,2019,29.99
alb,2020,31.42
are,2004,18.29
are,2005,42.06
are,2006,38.21
are,2007,39.32
are,2008,40.36
are,2009,52.65
are,2010,50.61
are,2011,53.86
are,2012,56.86
are,2013,58.78
are,2014,61.12
are,2015,64.38
are,2016,65.42
are,2017,65.37
are,2018,64.48
are,2019,60.91
are,2020,52.49
arg,2004,1.87
arg,2005,2.1
arg,2006,2.88
arg,2007,4.96
arg,2008,9.99
arg,2009,13.86
arg,2010,19.29
arg,2011,27.05
arg,2012,34.53
arg,2013,43.34
arg,2014,45.67
arg,2015,47.51
arg,2016,50.35
arg,2017,53.12
arg,2018,58.98
arg,2019,60.75
arg,2020,62.45
arm,2004,3.04
arm,2005,4.95
arm,2006,7.69
arm,2007,14.48
arm,2008,23.11
arm,2009,30.24
arm,2010,34.05
arm,2011,43.54
arm,2012,50.4
arm,2013,53.91
arm,2014,59.43
arm,2015,60.56
arm,2016,61.16
arm,2017,63.74
arm,2018,64.11
arm,2019,65.54
arm,2020,65.52
atg,2004,52.83
atg,2005,65.14
atg,2006,63.85
atg,2007,60.92
atg,2008,67.43
atg,2009,69.03
atg,2010,72.07
atg,2011,73.75
atg,2012,75.34
atg,2013,79.74
atg,2014,77.06
atg,2015,74.54
atg,2016,68.17
atg,2017,66.03
atg,2018,66.65
atg,2019,65.97
atg,2020,61.41
aus,2004,139.58
aus,2005,146.46
aus,2006,154.73
aus,2007,155.28
aus,2008,157.84
aus,2009,154.32
aus,2010,168.69
aus,2011,170.51
aus,2012,164.7
aus,2013,161.17
