geo,time,ny_gdy_totl_kn
ago,2000,563262441873.41199
ago,2001,588103240354.16199
ago,2002,665384986900
ago,2003,695951509682.36206
ago,2004,823312065572.47583
ago,2005,1026891927890.69995
ago,2006,1294272135819.03003
ago,2007,1234744682861
ago,2008,1314502732312.19995
ago,2009,1023455998948
ago,2010,1296738549528.87988
ago,2011,1513167172385.12988
ago,2012,1600748141868.93994
ago,2013,1631043972736.13989
ago,2014,1593647544155.03003
ago,2015,1381352572223.16992
ago,2016,1428294914756.6499
ago,2017,1494735420513.19995
ago,2018,1483039556434.03003
ago,2019,1463542847146.55005
ago,2020,1256162314681.40991
alb,1996,625935147777.17102
alb,1997,553763642963.56299
alb,1998,601956350911.95996
alb,1999,686982202007.98206
alb,2000,740649876958.39905
alb,2001,805812257440.89185
alb,2002,840308896792.24304
alb,2003,882305512253.30896
alb,2004,934235140120.04797
alb,2005,968319454616.94812
alb,2006,1024904546866.87
alb,2007,1088294914245.30005
alb,2008,1175807726792.69995
alb,2009,1210895532663.43994
alb,2010,1239645000000
alb,2011,1260844922812.18994
alb,2012,1280954500129.86011
alb,2013,1290097451024.12012
alb,2014,1313277451276.80005
alb,2015,1337059794947.71997
alb,2016,1376546847501.03003
alb,2017,1438064187495.17993
alb,2018,1503023492926.6499
alb,2019,1531645023407.5
alb,2020,1452407472381.81006
are,2001,692953849397.15918
are,2002,719212015780.34998
are,2003,777908439168.69604
are,2004,863492226933.04382
are,2005,972956669240.099
are,2006,1142503911923.18994
are,2007,1209886480808.57007
are,2008,1350845381384.37988
are,2009,1112880732654.56006
are,2010,1064244419899.40002
are,2011,1263793849739.75
are,2012,1323208590684.48999
are,2013,1405315217460.3501
are,2014,1468203719385.98999
are,2015,1301054878152.81006
are,2016,1307317046122.61011
are,2017,1401697229732.33008
are,2018,1489534491802.40991
are,2019,1606267623318.76001
arg,1960,186371440902.202
arg,1961,200126385722.608
arg,1962,185397940652.77399
arg,1963,179874775770.022
arg,1964,202045147896.26801
arg,1965,229874303084.53296
arg,1966,221649120789.44901
arg,1967,231065017812.14999
arg,1968,240369110877.457
arg,1969,260786207856.69601
arg,1970,267678492637.37296
arg,1971,282067001165.13501
arg,1972,287986798288.28003
arg,1973,298124960789.81201
arg,1974,311456481594.104
arg,1975,311351953411.19397
arg,1976,303850533526.30902
arg,1977,322084185460.36102
arg,1978,306914133945.62097
arg,1979,341444735203.242
arg,1980,351609587120.68597
arg,1981,335307833024.453
arg,1982,326248258580.48901
arg,1983,341134107465.04498
arg,1984,349532208720.99799
arg,1985,326949133517.453
arg,1986,344639923227.54401
arg,1987,352394174119.61499
arg,1988,350985268017.53497
arg,1989,325309529885.45001
arg,1990,313421274436.60101
arg,1991,345369716653.81097
arg,1992,376499897055.07001
arg,1993,407983002212.65198
arg,1994,431810213782.73102
arg,1995,418345982271.77197
arg,1996,446455007248.89899
arg,1997,482100854165.79797
arg,1998,496399749196.47107
arg,1999,474992981418.03107
arg,2000,477782610042.63
arg,2001,456549290725.32397
arg,2002,397853912219.37299
arg,2003,440712254592.42096
arg,2004,485115195200
arg,2005,524624774063.21399
arg,2006,571688158324.27502
arg,2007,628658116831.88599
arg,2008,668665522552.64697
arg,2009,629858061629.01294
arg,2010,701335701295.07104
arg,2011,760811079823.98706
arg,2012,756633951639.60193
arg,2013,759855690006.95105
arg,2014,736498325588.40698
arg,2015,746527494202.22498
arg,2016,736387011118.89294
arg,2017,755055357165.09485
arg,2018,742530673173.2019
arg,2019,736061081871.20386
arg,2020,659628343138.047
arm,1994,1416441503126.72998
arm,1995,1434400505704.65991
arm,1996,1518060314510.72998
arm,1997,1565001046388.44995
arm,1998,1667816193461.1001
arm,1999,1730180964412.33008
arm,2000,1818845350744.83008
arm,2001,2003694881095.96948
arm,2002,2285821349776.75977
arm,2003,2616043500086.83984
arm,2004,2889480707132.66943
arm,2005,3290163354126.9502
arm,2006,3695062045042.52002
arm,2007,4139844855703.5
arm,2008,4346206635009.58984
arm,2009,3641468257129.33984
arm,2010,3819325671693.68018
arm,2011,3921690454221.91992
arm,2012,4266460500000
arm,2013,4320190657204.2002
arm,2014,4422422624050.83984
arm,2015,4492358062219.5
arm,2016,4434462424312.66016
arm,2017,4771366622583.72949
arm,2018,5068997738873.82031
arm,2019,5385015360205.08008
arm,2020,5111734437604.66016
asm,2002,722558718.86121
asm,2003,712839721.25435
asm,2004,672192982.45614
asm,2005,627912621.35922
asm,2006,600206896.55172
asm,2007,604760000
asm,2008,635792875.98945
asm,2009,758039355.99284
asm,2010,596449168.20702
asm,2011,577511545.29307
asm,2012,640000000
asm,2013,616477726.5745
asm,2014,596801438.84892
asm,2015,617015037.59398
asm,2016,616877934.2723
asm,2017,568287539.9361
asm,2018,579317220.54381
asm,2019,572097719.86971
asm,2020,608917050.69124
aus,1960,265390650085.763
aus,1961,271169159332.32199
aus,1962,273855352652.69696
aus,1963,291982819653.61401
aus,1964,313511330479.45203
aus,1965,331757937765.20502
aus,1966,339737016562.58502
aus,1967,360605798408.48798
aus,1968,378069869791.66693
aus,1969,405372768348.62402
aus,1970,433923740915.62299
aus,1971,448534902186.42096
aus,1972,463461184037.55902
aus,1973,481568458675.42401
aus,1974,505331099573.07898
aus,1975,507533039969.474
aus,1976,518724393193.85797
aus,1977,535482489023.09106
aus,1978,536488080023.51697
aus,1979,557744058481.13794
aus,1980,575137619032.03198
aus,1981,596127305233.81396
aus,1982,615540774995.771
aus,1983,600542493723.14099
aus,1984,628363114435.63
aus,1985,657733954651.64893
aus,1986,679420093109.75098
aus,1987,690992387721.66895
aus,1988,734010068620.17798
aus,1989,772247120069.21484
aus,1990,799680757414.47083
aus,1991,787931739857.86902
aus,1992,784453019232.98706
aus,1993,810800752984.03101
aus,1994,837215559087.43103
aus,1995,871839322046.30701
aus,1996,904413996696.573
aus,1997,938067172024.77405
aus,1998,980682011576.9187
aus,1999,1025345957760.68005
aus,2000,1065372875214.5
aus,2001,1083391103537.52002
aus,2002,1133603398394.93994
aus,2003,1173692142863.87012
aus,2004,1237656025808.03003
aus,2005,1293239246467.16992
aus,2006,1349567139305.61011
aus,2007,1416616087805.13989
aus,2008,1481575603243.31006
aus,2009,1529085711457.70996
aus,2010,1551002387023.22998
aus,2011,1651230063262.92993
aus,2012,1718100474423.86011
aus,2013,1725698714773.1001
aus,2014,1755800715720.53003
aus,2015,1752668855823.31006
aus,2016,1761207250673.97998
aus,2017,1850502395585.45996
aus,2018,1911421812209.93994
aus,2019,1977214060675.44971
aus,2020,1980866000000
aut,1970,124900519786.774
aut,1971,131090486842.91901
aut,1972,139709901731.543
aut,1973,147483803698.483
aut,1974,151798779485.948
