global,time,se_sec_enrl_vo_fe_zs
world,1970,42.48647
world,1971,42.56013
world,1972,42.82168
world,1973,42.97823
world,1974,42.81714
world,1975,42.77727
world,1976,43.50104
world,1977,43.41246
world,1978,43.69074
world,1979,44.30243
world,1980,44.52475
world,1981,45.46326
world,1982,44.9039
world,1983,45.28224
world,1984,45.04342
world,1985,44.46511
world,1986,44.69416
world,1987,45.42964
world,1988,45.36662
world,1989,45.32658
world,1990,44.45768
world,1991,44.27028
world,1992,44.04447
world,1993,43.94374
world,1994,44.78826
world,1995,44.94429
world,1996,45.19909
world,1997,44.67137
world,1998,44.69357
world,1999,44.9142
world,2000,44.88101
world,2001,44.80934
world,2002,44.40095
world,2003,44.49312
world,2004,44.4825
world,2005,45.17038
world,2006,45.39991
world,2007,45.46306
world,2008,45.41816
world,2009,45.3356
world,2010,43.61373
world,2011,43.47067
world,2012,43.395
world,2013,43.46294
world,2014,43.41648
world,2015,43.52328
world,2016,43.36764
world,2017,42.81232
world,2018,42.47584
