global,time,ag_lnd_agri_zs
world,1961,35.96509
world,1962,36.04418
world,1963,36.14665
world,1964,36.23636
world,1965,36.35274
world,1966,36.4088
world,1967,36.5236
world,1968,36.84073
world,1969,36.95174
world,1970,36.82792
world,1971,36.96887
world,1972,37.05108
world,1973,37.19047
world,1974,37.27367
world,1975,37.35701
world,1976,37.35817
world,1977,37.36136
world,1978,37.5073
world,1979,37.5762
world,1980,37.71652
world,1981,37.73489
world,1982,37.87917
world,1983,37.95444
world,1984,38.24015
world,1985,38.51168
world,1986,38.52149
world,1987,38.67249
world,1988,38.8017
world,1989,38.89515
world,1990,38.82763
world,1991,38.75849
world,1992,36.89045
world,1993,36.76112
world,1994,36.91683
world,1995,36.90646
world,1996,36.96043
world,1997,37.09693
world,1998,37.20819
world,1999,37.23255
world,2000,37.25006
world,2001,37.26392
world,2002,37.19059
world,2003,37.0697
world,2004,36.74264
world,2005,36.81363
world,2006,36.82695
world,2007,36.78766
world,2008,36.72872
world,2009,36.70799
world,2010,36.72134
world,2011,36.93198
world,2012,36.9302
world,2013,36.87102
world,2014,36.87993
world,2015,36.71499
world,2016,36.70122
world,2017,37.00841
world,2018,36.90352
