global,time,ag_agr_trac_no
world,1961,9984368
world,1962,10386208
world,1963,10815805
world,1964,11238324
world,1965,11617323
world,1966,12691305
world,1967,13046848
world,1968,13395307.52
world,1969,13769064.12
world,1970,13910617.72
world,1971,14235895.08
world,1972,14534332.08
world,1973,14897742.88
world,1974,15417369.04
world,1975,15689160.48
world,1976,16123128.32
world,1977,16652777.32
world,1978,17179093
world,1979,17619986
world,1980,18305930
world,1981,18650718
world,1982,19081441
world,1983,19459112
world,1984,19863608
world,1985,20392619.57
world,1986,20817633.14
world,1987,21187995.71
world,1988,21330945
world,1989,21651343
world,1990,21313896
world,1991,21182463
world,1992,23795560
world,1993,23989377
world,1994,24117930
world,1995,24271423
world,1996,24269961
world,1997,24422431
world,1998,24542727
world,1999,24791753.5
world,2000,25068731.5
world,2002,23630922
