geo,time,sl_tlf_acti_1524_zs
afg,1990,38.729
afg,1991,38.764
afg,1992,38.757
afg,1993,38.69
afg,1994,38.577
afg,1995,38.443
afg,1996,38.319
afg,1997,38.244
afg,1998,38.226
afg,1999,38.262
afg,2000,38.338
afg,2001,38.565
afg,2002,38.805
afg,2003,39.03
afg,2004,39.221
afg,2005,39.375
afg,2006,39.09
afg,2007,38.825
afg,2008,38.605
afg,2009,38.454
afg,2010,38.387
afg,2011,38.603
afg,2012,38.864
afg,2013,38.987
afg,2014,39.102
afg,2015,39.204
afg,2016,39.287
afg,2017,39.366
afg,2018,39.455
afg,2019,39.537
afg,2020,34.063
ago,1990,57.41
ago,1991,57.592
ago,1992,57.678
ago,1993,57.582
ago,1994,57.58
ago,1995,57.564
ago,1996,57.662
ago,1997,57.633
ago,1998,57.517
ago,1999,57.34
ago,2000,57.143
ago,2001,57.136
ago,2002,57.131
ago,2003,57.036
ago,2004,56.973
ago,2005,56.938
ago,2006,57.062
ago,2007,57.167
ago,2008,57.236
ago,2009,57.221
ago,2010,57.201
ago,2011,57.514
ago,2012,57.577
ago,2013,57.562
ago,2014,57.499
ago,2015,57.366
ago,2016,57.234
ago,2017,57.062
ago,2018,56.825
ago,2019,56.544
ago,2020,55.537
alb,1990,54.09
alb,1991,57.139
alb,1992,57.735
alb,1993,56.79
alb,1994,55.961
alb,1995,54.695
alb,1996,53.718
alb,1997,54.743
alb,1998,53.796
alb,1999,52.476
alb,2000,51.7
alb,2001,50.774
alb,2002,50.287
alb,2003,47.463
alb,2004,44.653
alb,2005,41.868
alb,2006,39.05
alb,2007,36.269
alb,2008,33.55
alb,2009,34.391
alb,2010,33.466
alb,2011,44.104
alb,2012,36.473
alb,2013,27.61
alb,2014,29.088
alb,2015,31.386
alb,2016,31.955
alb,2017,31.833
alb,2018,35.644
alb,2019,36.578
alb,2020,33.327
are,1990,48.452
are,1991,49.262
are,1992,49.479
are,1993,49.452
are,1994,48.784
are,1995,48.008
are,1996,48.488
are,1997,48.848
are,1998,49.046
are,1999,49.108
are,2000,49.096
are,2001,49.719
are,2002,50.044
are,2003,50.097
are,2004,49.952
are,2005,49.702
are,2006,50.37
are,2007,50.699
are,2008,50.781
are,2009,50.725
are,2010,50.628
are,2011,50.966
are,2012,51.259
are,2013,51.473
are,2014,51.612
are,2015,51.711
are,2016,52.238
are,2017,52.703
are,2018,50.686
are,2019,50.514
are,2020,46.04
arg,1990,47.323
arg,1991,47.307
arg,1992,47.308
arg,1993,47.315
arg,1994,47.331
arg,1995,47.377
arg,1996,47.373
arg,1997,47.349
arg,1998,47.333
arg,1999,47.339
arg,2000,47.326
arg,2001,47.32
arg,2002,47.343
arg,2003,47.264
arg,2004,47.183
arg,2005,45.188
arg,2006,45.465
arg,2007,43.997
arg,2008,42.539
arg,2009,42.431
arg,2010,41.094
arg,2011,40.989
arg,2012,40.533
arg,2013,40.082
arg,2014,38.431
arg,2015,38.583
arg,2016,38.738
arg,2017,38.894
arg,2018,39.391
arg,2019,39.071
arg,2020,33.021
arm,1990,32.109
arm,1991,31.983
arm,1992,31.893
arm,1993,31.838
arm,1994,31.81
arm,1995,31.806
arm,1996,31.86
arm,1997,31.928
arm,1998,32.006
arm,1999,32.093
arm,2000,32.185
arm,2001,32.247
arm,2002,32.304
arm,2003,32.351
arm,2004,32.38
arm,2005,32.387
arm,2006,32.369
arm,2007,32.331
arm,2008,31.72
arm,2009,32.778
arm,2010,34.944
arm,2011,38.67
arm,2012,38.874
arm,2013,39.065
arm,2014,38.436
arm,2015,40.347
arm,2016,35.861
arm,2017,36.128
arm,2018,35.474
arm,2019,37.455
arm,2020,33.632
aus,1990,72.092
aus,1991,69.656
aus,1992,69.38
aus,1993,68.726
aus,1994,70.571
aus,1995,71.626
aus,1996,71.647
aus,1997,70.038
aus,1998,69.858
aus,1999,69.916
aus,2000,70.193
aus,2001,70.686
aus,2002,69.974
aus,2003,70.221
aus,2004,70.133
aus,2005,70.807
aus,2006,70.773
aus,2007,70.729
aus,2008,70.715
aus,2009,69.085
aus,2010,68.418
aus,2011,68.122
aus,2012,67.503
aus,2013,66.818
aus,2014,66.55
aus,2015,67.259
aus,2016,66.793
aus,2017,66.898
aus,2018,67.845
aus,2019,68.12
aus,2020,66.193
aut,1990,63.254
aut,1991,63.657
aut,1992,64.395
