global,time,ny_adj_aedu_gn_zs
world,1970,5.13168
world,1971,4.85964
world,1972,4.81881
world,1973,4.6344
world,1974,4.56968
world,1975,4.80805
world,1976,4.90857
world,1977,4.77754
world,1978,4.76204
world,1979,4.62551
world,1980,4.57683
world,1981,4.75484
world,1982,4.78124
world,1983,4.79779
world,1984,4.95525
world,1985,4.81718
world,1986,4.1286
world,1987,4.83786
world,1988,4.12704
world,1989,4.06551
world,1990,4.0767
world,1991,4.12733
world,1992,4.41941
world,1993,4.40489
world,1994,4.55446
world,1995,4.32154
world,1996,4.32385
world,1997,4.38329
world,1998,4.04724
world,1999,3.99808
world,2000,4.04927
world,2001,4.17187
world,2002,4.2077
world,2003,4.30285
world,2004,4.19473
world,2005,4.11793
world,2006,4.15322
world,2007,4.10205
world,2008,4.13738
world,2009,4.23092
world,2010,4.24826
world,2011,4.2405
world,2012,4.12597
world,2013,4.0826
world,2014,4.06171
world,2015,3.9909
world,2016,3.95851
world,2017,3.96095
world,2018,3.93814
world,2019,3.91059
