global,time,ny_adj_nnty_kd_zg
world,1972,5.53332
world,1973,5.91216
world,1974,-1.60213
world,1975,0.49582
world,1976,4.89014
world,1977,3.4998
world,1978,4.52267
world,1979,1.76171
world,1980,0.27537
world,1981,1.95796
world,1982,0.88769
world,1983,3.88436
world,1984,6.16189
world,1985,5.0288
world,1986,3.68938
world,1987,2.68693
world,1988,2.52857
world,1989,3.24563
world,1990,3.03687
world,1991,1.38019
world,1992,2.57184
world,1993,1.43228
world,1994,3.87435
world,1995,3.0443
world,1996,2.47255
world,1997,3.95668
world,1998,1.98507
world,1999,2.99341
world,2000,3.46036
world,2001,2.16612
world,2002,3.70497
world,2003,1.69613
world,2004,5.32244
world,2005,3.71775
world,2006,5.18958
world,2007,5.04577
world,2008,-0.15848
world,2009,-0.60947
world,2010,5.09561
world,2011,2.71396
world,2012,-8.69383
world,2013,2.37004
world,2014,3.4181
world,2015,3.19705
world,2016,2.64562
world,2017,3.71422
world,2018,2.53691
world,2019,2.27829
