global,time,en_atm_co2e_gf_zs
world,1960,10.11044
world,1961,10.72798
world,1962,11.4135
world,1963,11.71181
world,1964,12.2321
world,1965,12.38826
world,1966,12.82673
world,1967,13.24616
world,1968,13.64266
world,1969,13.96822
world,1970,13.32248
world,1971,13.74788
world,1972,13.81451
world,1973,13.54213
world,1974,13.73403
world,1975,13.71827
world,1976,13.79235
world,1977,13.57737
world,1978,13.75652
world,1979,14.11483
world,1980,14.58109
world,1981,15.22112
world,1982,14.96995
world,1983,15.03333
world,1984,15.80259
world,1985,15.86836
world,1986,15.37796
world,1987,16.16028
world,1988,16.34134
world,1989,16.86932
world,1990,20.298
world,1991,20.36573
world,1992,19.46403
world,1993,19.84612
world,1994,19.76521
world,1995,19.78402
world,1996,20.13209
world,1997,19.86786
world,1998,19.88525
world,1999,20.71625
world,2000,20.66207
world,2001,20.43892
world,2002,20.6988
world,2003,20.60269
world,2004,20.23401
world,2005,20.06218
world,2006,19.84047
world,2007,19.85455
world,2008,20.19752
world,2009,20.05727
world,2010,20.3572
world,2011,20.15389
world,2012,20.21612
world,2013,20.17083
world,2014,20.33643
world,2015,20.61821
world,2016,21.12403
